time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,5.05,18.31,13.22,0.06,1.37,4.95,3.62,45.5,4.67,5.44
Food Cooking & Clean-up,4.57,18.40,12.02,0.02,1.89,4.47,2.65,69.0,4.35,4.80
"Pets, Home & Vehicles",3.18,20.06,9.10,0.00,1.32,2.70,1.81,37.3,2.84,3.51
Household Management,1.20,24.72,4.24,0.00,0.58,0.93,0.60,27.2,1.02,1.39
Shopping,2.99,18.13,7.73,0.01,1.47,0.12,1.34,44.2,2.77,3.20
Obtaining Services,0.12,21.87,0.37,0.00,0.04,0.06,0.04,2.8,0.04,0.20
Travel for Household Activity,2.27,24.75,8.03,0.01,1.03,0.02,1.15,48.0,2.09,2.45
Household Production,19.38,19.76,54.72,0.10,7.71,13.25,11.20,92.6,18.63,20.13
Household Children,0.06,18.05,0.16,,0.06,0.05,0.00,0.7,0.02,0.11
Household Adults,0.23,17.91,0.59,0.00,0.19,0.09,0.04,6.0,0.11,0.35
Non-Household Members,1.30,18.09,3.37,0.00,1.12,0.57,0.10,14.0,1.06,1.55
Travel for Household Members,0.16,24.75,0.56,0.00,0.11,0.00,0.04,3.4,0.06,0.25
Travel for Non-Household Members,0.50,24.75,1.78,0.00,0.25,0.00,0.20,10.4,0.38,0.63
Caring and Helping,2.26,20.02,6.45,0.00,1.73,0.71,0.39,19.6,1.95,2.56
Eating & Drinking,7.63,18.25,19.90,0.02,4.86,4.25,1.70,95.9,7.33,7.93
Personal Health Care,1.15,17.95,2.94,0.01,0.30,0.54,0.65,11.8,0.86,1.44
Grooming,5.93,18.17,15.40,0.01,,,,87.1,5.72,6.14
Sleeping,58.29,18.58,154.72,,,,,100.0,57.68,58.90
"Private, Personal, or N/A",1.69,20.56,4.96,0.00,0.62,0.65,0.64,22.8,1.40,1.98
Personal Time,74.69,18.55,197.92,0.04,5.78,5.43,2.99,100.0,73.93,75.46
Socializing,4.63,20.35,13.46,0.02,3.64,2.14,0.43,43.4,4.24,5.01
Passive Leisure,20.31,17.40,50.49,0.07,12.52,19.24,7.53,91.1,18.91,21.72
Active Leisure,1.49,17.40,3.70,0.01,0.66,0.38,0.58,17.8,1.28,1.70
Attendance Leisure,0.76,17.40,1.88,0.00,0.63,0.03,0.04,3.8,0.58,0.93
Religious Activities,0.88,23.41,2.95,0.01,0.48,0.20,0.24,8.1,0.73,1.04
Volunteering,0.68,23.41,2.28,0.00,0.28,0.23,0.20,5.7,0.53,0.84
Travel Related to Leisure,2.38,24.75,8.42,0.01,1.51,0.01,0.71,46.4,2.16,2.61
Leisure,31.13,18.70,83.17,0.12,19.72,22.24,9.73,97.5,29.88,32.39
Working at Job,37.40,30.10,160.83,0.03,1.03,4.91,6.25,67.2,35.88,38.93
Educational Activities,0.38,23.41,1.28,0.00,0.04,0.31,0.28,1.5,0.21,0.55
Commuting to Work or School,2.75,24.75,9.73,0.00,0.27,0.03,2.37,55.7,2.53,2.98
Work and Education,40.54,29.67,171.84,0.03,1.34,5.26,8.91,68.1,38.88,42.20
Total,168.00,21.42,514.10,0.31,36.28,46.89,33.22,,,
