time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.76,18.31,4.60,0.00,0.92,1.72,0.84,16.6,1.22,2.29
Food Cooking & Clean-up,2.23,18.40,5.86,0.00,1.31,2.19,0.91,40.4,1.82,2.64
"Pets, Home & Vehicles",7.17,20.06,20.55,0.00,1.73,6.61,5.35,42.1,6.10,8.24
Household Management,1.64,24.72,5.78,0.00,0.54,1.41,1.06,26.5,1.27,2.01
Shopping,2.09,18.13,5.42,0.00,1.03,0.13,0.94,35.9,1.77,2.42
Obtaining Services,0.23,21.87,0.72,0.00,0.05,0.11,0.08,4.2,0.11,0.34
Travel for Household Activity,2.02,24.75,7.13,0.00,1.00,0.01,0.96,42.3,1.70,2.33
Household Production,17.13,20.45,50.06,0.00,6.58,12.18,10.14,81.0,15.69,18.58
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.33,17.91,0.84,0.00,0.23,0.17,0.10,6.3,0.17,0.49
Non-Household Members,1.74,18.09,4.49,0.00,1.30,0.68,0.24,14.7,1.16,2.31
Travel for Household Members,0.16,24.75,0.56,0.00,0.13,0.01,0.03,3.5,0.08,0.24
Travel for Non-Household Members,0.51,24.75,1.79,0.00,0.26,0.01,0.19,11.6,0.30,0.71
Caring and Helping,2.73,19.69,7.68,0.00,1.91,0.86,0.56,20.5,2.08,3.38
Eating & Drinking,9.88,18.25,25.76,0.00,7.33,7.21,1.82,97.8,9.45,10.31
Personal Health Care,1.09,17.95,2.80,0.00,0.46,0.66,0.56,9.9,0.44,1.74
Grooming,3.76,18.17,9.77,0.00,,,,70.7,3.47,4.06
Sleeping,61.50,18.58,163.23,,,,,100.0,60.20,62.80
"Private, Personal, or N/A",1.94,20.56,5.69,0.00,0.34,0.65,0.68,23.8,1.46,2.41
Personal Time,78.17,18.56,207.24,0.00,8.12,8.53,3.06,100.0,76.68,79.65
Socializing,3.97,20.35,11.53,0.00,2.93,1.73,0.24,33.7,3.31,4.62
Passive Leisure,35.89,17.40,89.21,0.00,22.02,34.91,13.61,95.9,34.14,37.65
Active Leisure,2.43,17.40,6.04,0.00,0.65,0.62,0.97,20.4,1.90,2.96
Attendance Leisure,0.65,17.40,1.62,0.00,0.52,0.01,0.10,3.4,0.38,0.92
Religious Activities,1.35,23.41,4.51,0.00,0.87,0.36,0.33,12.0,1.07,1.63
Volunteering,1.78,23.41,5.97,0.00,0.50,0.55,0.56,10.4,1.29,2.28
Travel Related to Leisure,3.16,24.75,11.16,0.00,1.97,0.04,1.06,50.4,2.59,3.72
Leisure,49.23,18.49,130.03,0.00,29.46,38.22,16.87,98.9,47.36,51.09
Working at Job,18.32,22.02,57.64,0.00,0.81,3.98,6.29,49.7,16.37,20.27
Educational Activities,0.55,23.41,1.84,0.00,0.17,0.47,0.37,1.4,,1.13
Commuting to Work or School,1.87,24.75,6.61,0.00,0.21,0.01,1.60,35.2,1.53,2.21
Work and Education,20.74,22.31,66.09,0.00,1.19,4.47,8.26,51.1,18.63,22.85
Total,168.00,19.21,461.09,0.00,47.25,64.25,38.90,,,
