time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,8.59,18.31,22.47,0.00,2.28,8.44,6.25,64.6,8.18,8.99
Food Cooking & Clean-up,7.93,18.40,20.85,0.00,3.06,7.70,4.82,80.8,7.64,8.23
"Pets, Home & Vehicles",4.03,20.06,11.55,0.00,1.63,3.60,2.33,36.8,3.76,4.31
Household Management,2.17,24.72,7.68,0.00,0.84,1.90,1.30,33.2,1.98,2.37
Shopping,3.81,18.13,9.86,0.00,1.88,0.15,1.66,45.7,3.58,4.04
Obtaining Services,0.23,21.87,0.73,0.00,0.12,0.13,0.07,4.7,0.18,0.28
Travel for Household Activity,2.58,24.75,9.12,0.00,1.52,0.02,0.99,48.5,2.43,2.73
Household Production,29.35,19.62,82.26,0.01,11.34,21.94,17.43,95.5,28.72,29.97
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.74,17.91,1.89,0.00,0.62,0.45,0.09,9.3,0.58,0.89
Non-Household Members,2.30,18.09,5.94,0.00,2.00,1.04,0.15,17.9,2.03,2.57
Travel for Household Members,0.17,24.75,0.60,0.00,0.15,0.00,0.02,3.8,0.12,0.21
Travel for Non-Household Members,0.60,24.75,2.11,0.00,0.37,0.01,0.18,12.7,0.50,0.69
Caring and Helping,3.80,19.40,10.53,0.00,3.13,1.50,0.43,25.5,3.41,4.19
Eating & Drinking,9.12,18.25,23.77,0.00,7.33,6.80,1.41,98.1,8.82,9.42
Personal Health Care,1.91,17.95,4.90,0.00,0.66,0.99,0.94,19.8,1.66,2.16
Grooming,5.02,18.17,13.04,0.00,,,,77.3,4.89,5.16
Sleeping,61.87,18.58,164.21,,,,,99.9,61.25,62.49
"Private, Personal, or N/A",2.63,20.56,7.73,0.00,0.83,0.91,0.77,31.5,2.43,2.84
Personal Time,80.55,18.57,213.66,0.00,8.81,8.71,3.12,100.0,80.00,81.11
Socializing,6.25,20.35,18.18,0.00,4.71,3.44,0.73,50.1,5.85,6.66
Passive Leisure,37.88,17.40,94.16,0.00,22.35,36.58,15.23,97.3,36.85,38.92
Active Leisure,2.00,17.40,4.98,0.00,0.83,0.53,0.77,21.8,1.70,2.30
Attendance Leisure,0.90,17.40,2.24,0.00,0.65,0.06,0.09,4.9,0.66,1.14
Religious Activities,1.68,23.41,5.63,0.00,0.94,0.55,0.49,16.4,1.52,1.84
Volunteering,1.80,23.41,6.03,0.00,0.46,0.68,0.70,10.9,1.57,2.04
Travel Related to Leisure,3.08,24.75,10.89,0.00,2.19,0.03,0.74,50.3,2.72,3.44
Leisure,53.61,18.56,142.10,0.00,32.13,41.86,18.75,99.4,52.92,54.29
Working at Job,0.60,17.62,1.52,0.00,0.05,0.26,0.19,1.9,0.44,0.76
Educational Activities,0.03,23.41,0.11,0.00,0.01,0.03,0.02,0.2,,0.07
Commuting to Work or School,0.05,24.75,0.19,0.00,0.02,0.00,0.03,1.8,0.04,0.07
Work and Education,0.69,18.47,1.82,0.00,0.07,0.29,0.24,2.9,0.52,0.86
Total,168.00,18.77,450.37,0.02,55.49,74.30,39.98,,,
