time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,3.85,18.31,10.07,1.18,1.54,3.81,2.31,36.0,2.89,4.80
Food Cooking & Clean-up,4.23,18.40,11.10,2.17,2.03,4.15,2.16,55.0,3.44,5.01
"Pets, Home & Vehicles",4.18,20.06,11.98,0.98,1.07,3.71,2.88,31.8,2.82,5.54
Household Management,1.23,24.72,4.35,0.31,0.50,0.86,0.64,21.3,0.66,1.81
Shopping,2.14,18.13,5.55,0.54,1.29,0.12,0.51,31.9,1.49,2.79
Obtaining Services,0.75,21.87,2.34,0.03,0.04,0.63,0.13,4.2,,1.83
Travel for Household Activity,1.46,24.75,5.17,0.47,0.83,0.00,0.56,36.7,1.18,1.74
Household Production,17.84,19.84,50.56,5.70,7.30,13.28,9.18,82.0,15.54,20.13
Household Children,6.37,18.05,16.43,,6.11,5.13,0.20,51.7,5.16,7.58
Household Adults,0.28,17.91,0.70,0.08,0.16,0.15,0.11,15.6,0.15,0.40
Non-Household Members,0.78,18.09,2.02,0.02,0.31,0.11,0.15,6.2,0.12,1.45
Travel for Household Members,1.65,24.75,5.83,0.21,1.07,0.03,0.55,30.4,1.11,2.18
Travel for Non-Household Members,0.21,24.75,0.74,0.01,0.07,0.00,0.10,5.6,0.07,0.35
Caring and Helping,9.29,19.39,25.73,0.32,7.73,5.41,1.11,59.7,7.52,11.05
Eating & Drinking,6.48,18.25,16.88,2.79,4.77,5.23,1.42,94.3,5.86,7.09
Personal Health Care,3.97,17.95,10.17,0.92,1.35,2.93,2.39,29.9,2.58,5.35
Grooming,3.14,18.17,8.15,0.66,,,,63.6,2.68,3.61
Sleeping,64.43,18.58,171.02,,,,,99.3,62.10,66.76
"Private, Personal, or N/A",2.25,20.56,6.61,0.70,0.92,0.70,0.56,27.0,1.54,2.96
Personal Time,80.26,18.56,212.83,5.07,7.04,8.86,4.37,100.0,77.31,83.22
Socializing,7.60,20.35,22.10,2.34,6.50,4.20,0.36,45.7,5.53,9.67
Passive Leisure,41.17,17.40,102.33,14.12,21.67,40.24,19.22,94.7,37.16,45.18
Active Leisure,1.54,17.40,3.82,0.36,0.69,0.28,0.63,15.9,0.57,2.51
Attendance Leisure,0.53,17.40,1.32,0.14,0.31,0.16,0.16,3.1,0.18,0.89
Religious Activities,0.85,23.41,2.85,0.32,0.48,0.39,0.32,8.9,0.43,1.27
Volunteering,0.48,23.41,1.60,0.19,0.26,0.10,0.04,2.8,0.19,0.77
Travel Related to Leisure,2.48,24.75,8.77,0.62,1.52,0.03,0.62,38.5,1.73,3.23
Leisure,54.65,18.29,142.78,18.09,31.43,45.40,21.35,98.1,50.42,58.88
Working at Job,5.12,23.78,17.39,0.17,0.00,0.55,1.35,10.1,1.85,8.39
Educational Activities,0.36,23.41,1.20,0.06,0.00,0.23,0.36,1.0,0.04,0.67
Commuting to Work or School,0.48,24.75,1.70,0.01,0.02,0.00,0.44,9.8,0.20,0.76
Work and Education,5.96,23.84,20.29,0.24,0.02,0.78,2.16,11.5,2.42,9.50
Total,168.00,18.84,452.19,29.42,53.53,73.74,38.17,,,
