time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.73,18.31,4.53,0.02,0.63,1.72,1.08,20.3,0.81,2.65
Food Cooking & Clean-up,2.43,18.40,6.39,0.00,0.82,2.34,1.61,40.2,1.76,3.10
"Pets, Home & Vehicles",4.79,20.06,13.72,0.00,1.03,4.64,3.76,38.4,2.86,6.72
Household Management,0.62,24.72,2.20,0.00,0.39,0.54,0.21,12.9,,1.31
Shopping,1.75,18.13,4.54,0.00,0.85,0.14,0.83,29.0,1.21,2.29
Obtaining Services,0.14,21.87,0.45,0.00,0.00,0.00,0.14,1.0,,0.32
Travel for Household Activity,1.13,24.75,3.99,0.00,0.51,0.01,0.60,30.8,0.81,1.45
Household Production,12.60,19.90,35.82,0.02,4.23,9.38,8.24,71.7,10.16,15.04
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.94,17.91,2.40,0.00,0.87,0.15,0.07,9.6,,2.01
Non-Household Members,1.74,18.09,4.51,0.00,1.61,0.76,0.08,11.3,0.53,2.96
Travel for Household Members,0.36,24.75,1.26,0.00,0.22,0.01,0.14,5.8,0.08,0.64
Travel for Non-Household Members,0.38,24.75,1.35,0.00,0.27,0.00,0.10,7.8,0.08,0.68
Caring and Helping,3.42,19.48,9.52,0.00,2.96,0.92,0.39,19.3,1.67,5.17
Eating & Drinking,6.93,18.25,18.06,0.08,4.28,6.01,2.49,96.2,6.10,7.76
Personal Health Care,4.25,17.95,10.90,0.00,0.85,2.70,3.12,40.7,2.66,5.85
Grooming,2.90,18.17,7.52,0.00,,,,57.4,2.38,3.42
Sleeping,66.58,18.58,176.72,,,,,99.4,63.77,69.39
"Private, Personal, or N/A",1.71,20.56,5.02,0.00,0.27,0.41,0.66,23.5,1.01,2.41
Personal Time,82.37,18.55,218.22,0.08,5.39,9.12,6.27,100.0,79.08,85.65
Socializing,5.50,20.35,15.98,0.01,4.20,2.95,0.50,38.8,3.13,7.86
Passive Leisure,57.36,17.40,142.56,0.58,29.61,55.98,26.38,98.2,52.62,62.10
Active Leisure,1.87,17.40,4.65,0.00,0.46,0.44,0.96,16.9,0.87,2.87
Attendance Leisure,0.31,17.40,0.77,0.00,0.21,0.16,0.10,1.3,,0.66
Religious Activities,0.79,23.41,2.64,0.00,0.38,0.31,0.29,5.1,0.30,1.28
Volunteering,1.04,23.41,3.49,0.00,0.25,0.32,0.17,5.4,0.30,1.79
Travel Related to Leisure,1.36,24.75,4.82,0.00,0.79,0.01,0.51,34.7,0.94,1.78
Leisure,68.23,17.94,174.92,0.59,35.90,60.18,28.89,99.7,64.14,72.33
Working at Job,1.28,0.00,0.00,0.00,0.00,0.02,0.82,3.5,0.12,2.43
Educational Activities,0.00,23.41,0.00,0.00,0.00,0.00,0.00,0.0,,
Commuting to Work or School,0.11,24.75,0.37,0.00,0.00,0.00,0.10,4.3,0.03,0.19
Work and Education,1.38,1.89,0.37,0.00,0.00,0.02,0.92,5.2,0.16,2.60
Total,168.00,18.29,438.84,0.69,48.50,79.62,44.72,,,
