time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.51,18.31,3.96,0.00,0.83,1.20,0.68,16.6,0.84,2.19
Food Cooking & Clean-up,2.08,18.40,5.47,0.00,1.18,2.07,0.90,34.6,1.60,2.56
"Pets, Home & Vehicles",4.73,20.06,13.56,0.00,1.55,4.43,3.15,33.3,3.69,5.77
Household Management,1.03,24.72,3.63,0.00,0.32,0.88,0.48,15.9,0.42,1.64
Shopping,1.91,18.13,4.96,0.00,1.40,0.11,0.46,27.6,1.37,2.46
Obtaining Services,0.08,21.87,0.25,0.00,0.03,0.03,0.04,2.1,,0.17
Travel for Household Activity,1.55,24.75,5.47,0.00,1.04,0.02,0.49,31.7,1.10,2.00
Household Production,12.90,20.24,37.30,0.00,6.36,8.74,6.20,68.8,11.04,14.75
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.85,17.91,2.17,0.00,0.60,0.39,0.23,10.7,0.31,1.39
Non-Household Members,1.03,18.09,2.66,0.00,0.79,0.68,0.16,9.9,0.56,1.50
Travel for Household Members,0.22,24.75,0.78,0.00,0.20,0.02,0.02,5.1,0.06,0.38
Travel for Non-Household Members,0.24,24.75,0.85,0.00,0.13,0.01,0.11,5.8,0.12,0.36
Caring and Helping,2.34,19.33,6.45,0.00,1.72,1.09,0.52,18.9,1.44,3.24
Eating & Drinking,8.15,18.25,21.25,0.00,5.73,6.97,2.06,97.0,7.45,8.85
Personal Health Care,2.64,17.95,6.76,0.00,0.70,1.59,1.70,26.0,1.44,3.83
Grooming,2.67,18.17,6.93,0.00,,,,48.5,2.29,3.05
Sleeping,66.87,18.58,177.50,,,,,100.0,64.86,68.89
"Private, Personal, or N/A",1.77,20.56,5.20,0.00,0.75,0.37,0.43,23.0,1.18,2.36
Personal Time,82.10,18.56,217.63,0.00,7.18,8.93,4.20,100.0,79.62,84.58
Socializing,4.48,20.35,13.04,0.00,3.69,2.97,0.21,34.5,3.30,5.66
Passive Leisure,57.18,17.40,142.11,0.00,32.71,56.61,23.98,96.5,53.93,60.43
Active Leisure,1.74,17.40,4.32,0.00,0.61,0.40,0.76,15.1,1.00,2.48
Attendance Leisure,0.35,17.40,0.86,0.00,0.35,0.00,0.00,2.1,,0.69
Religious Activities,1.25,23.41,4.20,0.00,0.73,0.44,0.33,9.8,0.83,1.68
Volunteering,0.81,23.41,2.72,0.00,0.06,0.10,0.23,3.0,,1.80
Travel Related to Leisure,2.37,24.75,8.37,0.00,1.27,0.01,0.98,30.6,1.12,3.62
Leisure,68.18,18.03,175.62,0.00,39.43,60.53,26.49,98.7,64.96,71.41
Working at Job,2.03,0.00,0.00,0.00,0.02,0.51,0.75,3.6,0.51,3.56
Educational Activities,0.27,23.41,0.90,0.00,0.19,0.20,0.07,1.6,,0.60
Commuting to Work or School,0.18,24.75,0.65,0.00,0.06,0.00,0.11,3.5,0.02,0.35
Work and Education,2.49,4.34,1.54,0.00,0.27,0.70,0.93,5.5,0.78,4.19
Total,168.00,18.27,438.54,0.00,54.96,80.00,38.34,,,
