time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,6.75,18.31,17.67,0.00,1.74,6.39,4.94,57.2,5.70,7.81
Food Cooking & Clean-up,6.32,18.40,16.62,0.00,2.58,6.19,3.69,78.4,5.78,6.87
"Pets, Home & Vehicles",3.72,20.06,10.65,0.00,1.50,3.30,2.17,36.8,2.98,4.45
Household Management,1.85,24.72,6.52,0.00,0.68,1.48,1.14,33.0,1.29,2.41
Shopping,3.33,18.13,8.62,0.00,1.38,0.09,1.60,44.0,2.84,3.81
Obtaining Services,0.16,21.87,0.50,0.00,0.09,0.11,0.05,3.9,0.04,0.28
Travel for Household Activity,2.76,24.75,9.76,0.00,1.46,0.01,1.20,48.2,2.34,3.18
Household Production,24.89,19.78,70.34,0.00,9.44,17.58,14.79,94.4,23.47,26.31
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,1.10,17.91,2.83,0.00,0.94,0.47,0.14,11.0,0.49,1.72
Non-Household Members,2.31,18.09,5.97,0.00,1.94,1.09,0.21,20.3,1.58,3.04
Travel for Household Members,0.23,24.75,0.80,0.00,0.19,0.00,0.02,4.2,0.07,0.38
Travel for Non-Household Members,0.69,24.75,2.44,0.00,0.38,0.01,0.25,15.5,0.46,0.93
Caring and Helping,4.33,19.45,12.04,0.00,3.45,1.57,0.62,29.5,3.11,5.55
Eating & Drinking,8.65,18.25,22.54,0.00,6.71,5.86,1.48,96.9,8.18,9.11
Personal Health Care,1.16,17.95,2.98,0.00,0.23,0.23,0.50,14.7,0.80,1.52
Grooming,5.66,18.17,14.70,0.00,,,,85.1,5.21,6.11
Sleeping,60.16,18.58,159.68,,,,,100.0,59.25,61.07
"Private, Personal, or N/A",2.22,20.56,6.51,0.00,0.57,0.69,0.97,29.3,1.79,2.64
Personal Time,77.85,18.56,206.42,0.00,7.51,6.78,2.95,100.0,76.67,79.03
Socializing,5.39,20.35,15.66,0.00,4.45,2.75,0.33,46.6,4.61,6.16
Passive Leisure,28.69,17.40,71.29,0.00,17.92,27.59,10.52,96.5,26.64,30.73
Active Leisure,1.50,17.40,3.72,0.00,0.56,0.52,0.75,18.7,1.15,1.84
Attendance Leisure,0.78,17.40,1.94,0.00,0.52,0.07,0.09,4.9,0.44,1.12
Religious Activities,1.55,23.41,5.18,0.00,0.77,0.41,0.48,16.6,1.27,1.82
Volunteering,1.66,23.41,5.57,0.00,0.49,0.65,0.63,11.8,1.14,2.19
Travel Related to Leisure,3.45,24.75,12.21,0.00,2.44,0.04,0.85,52.0,2.61,4.30
Leisure,43.02,18.81,115.57,0.00,27.14,32.02,13.65,99.6,40.93,45.10
Working at Job,16.49,18.17,42.82,0.00,0.81,2.42,3.61,46.8,14.73,18.26
Educational Activities,0.02,23.41,0.06,0.00,0.00,0.00,0.00,0.3,,0.06
Commuting to Work or School,1.40,24.75,4.93,0.00,0.08,0.04,1.29,36.9,1.17,1.62
Work and Education,17.91,18.69,47.82,0.00,0.89,2.46,4.90,47.4,16.02,19.80
Total,168.00,18.84,452.19,0.00,48.43,60.41,36.91,,,
