time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,10.42,18.31,27.27,0.04,1.20,10.39,9.17,69.8,7.49,13.36
Food Cooking & Clean-up,9.29,18.40,24.43,0.12,2.69,9.10,6.55,80.6,7.87,10.72
"Pets, Home & Vehicles",5.57,20.06,15.96,0.00,1.23,5.09,4.26,45.5,4.15,6.98
Household Management,2.04,24.72,7.22,0.00,0.42,1.88,1.61,31.7,1.27,2.81
Shopping,4.32,18.13,11.20,0.00,1.96,0.27,2.06,47.5,3.05,5.59
Obtaining Services,0.28,21.87,0.89,0.00,0.14,0.12,0.12,6.2,0.10,0.47
Travel for Household Activity,2.75,24.75,9.72,0.00,1.54,0.04,1.13,48.2,1.85,3.65
Household Production,34.69,19.51,96.68,0.16,9.18,26.89,24.89,96.0,31.49,37.89
Household Children,0.16,18.05,0.40,,0.16,0.16,0.00,1.8,,0.39
Household Adults,0.19,17.91,0.48,0.00,0.13,0.13,0.06,8.3,0.01,0.36
Non-Household Members,4.11,18.09,10.61,0.00,2.82,1.87,1.01,25.6,2.51,5.70
Travel for Household Members,0.08,24.75,0.29,0.00,0.06,0.01,0.02,4.0,,0.16
Travel for Non-Household Members,0.65,24.75,2.29,0.00,0.35,0.00,0.22,16.9,0.36,0.93
Caring and Helping,5.18,19.02,14.07,0.00,3.52,2.16,1.32,30.6,3.45,6.91
Eating & Drinking,8.84,18.25,23.05,0.06,6.31,6.56,2.23,96.5,8.12,9.57
Personal Health Care,1.60,17.95,4.09,0.00,0.52,0.68,0.65,17.1,0.78,2.41
Grooming,5.62,18.17,14.59,0.02,,,,83.3,5.02,6.22
Sleeping,60.05,18.58,159.38,,,,,100.0,58.22,61.87
"Private, Personal, or N/A",2.43,20.56,7.12,0.00,0.51,0.98,1.03,28.3,1.69,3.16
Personal Time,78.54,18.56,208.25,0.08,7.33,8.22,3.91,100.0,76.42,80.65
Socializing,7.39,20.35,21.48,0.03,4.75,4.50,1.37,58.2,6.12,8.66
Passive Leisure,31.08,17.40,77.25,0.22,13.43,30.33,17.32,95.0,28.37,33.79
Active Leisure,1.95,17.40,4.85,0.00,0.82,0.62,0.64,21.7,1.36,2.54
Attendance Leisure,0.57,17.40,1.42,0.00,0.46,0.12,0.08,4.9,0.20,0.94
Religious Activities,1.56,23.41,5.23,0.00,0.81,0.38,0.53,15.2,1.06,2.07
Volunteering,1.89,23.41,6.32,0.00,0.54,0.78,0.55,10.2,0.83,2.95
Travel Related to Leisure,2.58,24.75,9.11,0.00,1.56,0.03,0.74,45.9,1.92,3.23
Leisure,47.02,18.71,125.66,0.24,22.38,36.76,21.23,99.3,44.12,49.92
Working at Job,2.39,0.00,0.00,0.00,0.17,1.08,0.69,7.0,1.15,3.63
Educational Activities,0.00,23.41,0.00,0.00,0.00,0.00,0.00,0.0,,
Commuting to Work or School,0.18,24.75,0.65,0.00,0.06,0.00,0.10,3.4,0.06,0.31
Work and Education,2.57,1.76,0.65,0.00,0.22,1.08,0.80,7.3,1.25,3.90
Total,168.00,18.55,445.30,0.48,42.64,75.12,52.15,,,
