time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,8.60,18.31,22.50,0.00,2.64,8.49,5.89,63.7,8.06,9.15
Food Cooking & Clean-up,9.14,18.40,24.01,0.00,3.47,9.07,5.63,83.2,8.53,9.74
"Pets, Home & Vehicles",2.76,20.06,7.91,0.00,1.04,2.51,1.67,27.5,2.40,3.12
Household Management,2.06,24.72,7.28,0.00,0.75,1.87,1.27,30.4,1.76,2.36
Shopping,2.73,18.13,7.07,0.00,1.59,0.14,1.04,37.1,2.41,3.05
Obtaining Services,0.15,21.87,0.48,0.00,0.08,0.11,0.06,3.6,0.09,0.21
Travel for Household Activity,1.85,24.75,6.54,0.00,1.28,0.03,0.52,39.9,1.62,2.08
Household Production,27.29,19.44,75.80,0.00,10.85,22.22,16.09,94.0,26.26,28.32
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,1.10,17.91,2.81,0.00,1.01,0.82,0.08,13.0,0.89,1.31
Non-Household Members,0.74,18.09,1.91,0.00,0.65,0.39,0.06,8.0,0.47,1.01
Travel for Household Members,0.16,24.75,0.57,0.00,0.13,0.00,0.02,4.1,0.11,0.21
Travel for Non-Household Members,0.24,24.75,0.85,0.00,0.16,0.00,0.06,5.9,0.15,0.33
Caring and Helping,2.24,19.20,6.14,0.00,1.96,1.22,0.22,19.9,1.82,2.65
Eating & Drinking,9.82,18.25,25.60,0.00,8.32,8.15,1.15,98.8,9.51,10.13
Personal Health Care,2.27,17.95,5.81,0.00,0.98,1.26,0.92,25.2,1.79,2.74
Grooming,4.88,18.17,12.68,0.00,,,,77.8,4.65,5.12
Sleeping,63.61,18.58,168.82,,,,,99.9,62.98,64.23
"Private, Personal, or N/A",2.79,20.56,8.19,0.00,0.79,0.78,0.64,33.1,2.43,3.14
Personal Time,83.36,18.57,221.10,0.01,10.10,10.19,2.71,100.0,82.58,84.15
Socializing,5.63,20.35,16.37,0.00,4.27,3.51,0.70,46.1,5.19,6.07
Passive Leisure,41.53,17.40,103.23,0.01,27.34,40.61,13.75,97.6,40.46,42.61
Active Leisure,1.52,17.40,3.78,0.00,0.65,0.40,0.55,19.0,1.10,1.94
Attendance Leisure,0.62,17.40,1.54,0.00,0.48,0.02,0.03,3.5,0.41,0.83
Religious Activities,1.92,23.41,6.43,0.00,1.07,0.65,0.57,19.4,1.69,2.16
Volunteering,1.41,23.41,4.72,0.02,0.37,0.66,0.65,8.5,1.12,1.70
Travel Related to Leisure,2.31,24.75,8.18,0.00,1.74,0.03,0.46,41.9,2.01,2.61
Leisure,54.95,18.37,144.25,0.02,35.91,45.88,16.72,99.5,53.86,56.04
Working at Job,0.13,0.00,0.00,0.00,0.08,0.09,0.01,0.5,,0.26
Educational Activities,0.00,23.41,0.01,0.00,0.00,0.00,0.00,0.0,,0.01
Commuting to Work or School,0.02,24.75,0.08,0.00,0.01,0.00,0.01,1.2,0.01,0.04
Work and Education,0.15,4.00,0.09,0.00,0.09,0.10,0.03,1.5,0.02,0.29
Total,168.00,18.64,447.37,0.03,58.90,79.61,35.76,,,
