time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.27,18.31,3.33,0.00,0.57,1.23,0.68,15.6,1.14,1.41
Food Cooking & Clean-up,2.06,18.40,5.41,0.00,1.08,1.99,0.96,41.4,1.92,2.19
"Pets, Home & Vehicles",6.15,20.06,17.62,0.00,1.54,5.60,4.46,40.9,5.60,6.70
Household Management,1.09,24.72,3.85,0.00,0.45,0.85,0.59,21.1,0.99,1.19
Shopping,1.79,18.13,4.64,0.00,0.93,0.05,0.80,33.2,1.64,1.95
Obtaining Services,0.12,21.87,0.38,0.00,0.04,0.05,0.05,2.8,0.09,0.15
Travel for Household Activity,1.92,24.75,6.80,0.00,0.86,0.02,1.03,37.2,1.77,2.08
Household Production,14.41,20.42,42.03,0.00,5.47,9.79,8.56,77.8,13.84,14.97
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.23,17.91,0.59,0.00,0.17,0.12,0.05,6.0,0.15,0.31
Non-Household Members,0.88,18.09,2.26,0.00,0.66,0.34,0.10,9.1,0.74,1.01
Travel for Household Members,0.12,24.75,0.43,0.00,0.08,0.00,0.04,2.9,0.09,0.16
Travel for Non-Household Members,0.33,24.75,1.17,0.00,0.19,0.00,0.11,6.7,0.27,0.39
Caring and Helping,1.56,19.99,4.45,0.00,1.11,0.46,0.29,14.1,1.34,1.78
Eating & Drinking,8.89,18.25,23.17,0.00,5.38,5.50,2.52,96.9,8.70,9.08
Personal Health Care,0.74,17.95,1.89,0.00,0.29,0.40,0.35,7.9,0.57,0.90
Grooming,4.15,18.17,10.77,0.00,,,,79.1,4.04,4.26
Sleeping,56.54,18.58,150.08,,,,,99.9,55.87,57.21
"Private, Personal, or N/A",1.55,20.56,4.57,0.00,0.40,0.59,0.65,20.7,1.43,1.68
Personal Time,71.88,18.55,190.48,0.00,6.08,6.49,3.52,100.0,71.27,72.48
Socializing,3.56,20.35,10.36,0.00,2.90,1.69,0.14,33.2,3.30,3.83
Passive Leisure,25.20,17.40,62.64,0.00,14.60,23.91,10.30,93.5,24.62,25.78
Active Leisure,2.00,17.40,4.96,0.00,0.61,0.41,0.92,18.5,1.82,2.18
Attendance Leisure,0.66,17.40,1.65,0.00,0.46,0.02,0.11,3.4,0.52,0.80
Religious Activities,0.93,23.41,3.12,0.00,0.60,0.24,0.23,8.2,0.80,1.07
Volunteering,0.78,23.41,2.61,0.00,0.22,0.20,0.23,6.0,0.68,0.89
Travel Related to Leisure,2.70,24.75,9.56,0.00,1.47,0.04,1.12,45.8,2.40,3.01
Leisure,35.85,18.53,94.91,0.01,20.86,26.52,13.05,97.6,35.09,36.60
Working at Job,40.81,37.75,220.07,0.00,1.42,6.10,11.52,71.6,39.97,41.65
Educational Activities,0.07,23.41,0.23,0.00,0.00,0.05,0.07,0.2,,0.14
Commuting to Work or School,3.44,24.75,12.15,0.00,0.18,0.04,3.11,56.3,3.18,3.70
Work and Education,44.31,36.72,232.45,0.00,1.59,6.19,14.70,72.3,43.38,45.24
Total,168.00,23.51,564.32,0.01,35.11,49.45,40.13,,,
