time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.86,18.31,7.49,0.00,0.97,2.80,1.89,25.6,1.54,4.19
Food Cooking & Clean-up,3.64,18.40,9.56,0.00,1.73,3.58,1.79,56.9,2.61,4.67
"Pets, Home & Vehicles",10.29,20.06,29.49,0.00,1.96,9.50,8.28,52.8,7.75,12.83
Household Management,1.63,24.72,5.76,0.00,0.38,1.32,1.03,25.4,0.98,2.28
Shopping,2.75,18.13,7.14,0.01,1.22,0.12,1.43,40.5,1.91,3.60
Obtaining Services,0.30,21.87,0.94,0.00,0.02,0.25,0.19,7.5,,0.61
Travel for Household Activity,1.77,24.75,6.25,0.00,0.74,0.03,1.01,42.9,1.32,2.21
Household Production,23.25,20.06,66.63,0.01,7.02,17.59,15.61,87.3,19.68,26.81
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.25,17.91,0.63,0.00,0.20,0.13,0.05,6.1,0.06,0.43
Non-Household Members,1.94,18.09,5.02,0.00,1.39,0.71,0.15,15.0,0.89,3.00
Travel for Household Members,0.11,24.75,0.40,0.00,0.09,0.01,0.03,2.4,,0.23
Travel for Non-Household Members,0.72,24.75,2.54,0.00,0.46,0.01,0.24,12.5,0.30,1.13
Caring and Helping,3.02,19.91,8.60,0.00,2.13,0.85,0.46,19.8,1.64,4.40
Eating & Drinking,9.25,18.25,24.12,0.01,6.74,6.90,2.15,98.8,8.28,10.23
Personal Health Care,1.03,17.95,2.65,0.00,0.34,0.44,0.53,10.5,0.25,1.81
Grooming,3.49,18.17,9.06,0.00,,,,72.4,2.97,4.01
Sleeping,59.45,18.58,157.80,,,,,100.0,57.86,61.04
"Private, Personal, or N/A",4.20,20.56,12.32,0.00,0.50,2.88,3.06,32.6,2.73,5.66
Personal Time,77.42,18.62,205.95,0.01,7.59,10.22,5.73,100.0,75.29,79.56
Socializing,5.50,20.35,15.99,0.04,3.84,3.27,0.43,41.5,3.80,7.20
Passive Leisure,37.14,17.40,92.30,0.06,18.53,35.25,18.13,95.0,33.74,40.53
Active Leisure,2.93,17.40,7.28,0.00,0.96,0.59,1.50,22.7,1.75,4.11
Attendance Leisure,0.71,17.40,1.76,0.00,0.55,0.16,0.13,4.4,0.24,1.18
Religious Activities,1.26,23.41,4.23,0.00,0.58,0.15,0.56,8.9,0.65,1.88
Volunteering,0.38,23.41,1.27,0.00,0.11,0.17,0.17,3.9,0.09,0.67
Travel Related to Leisure,3.25,24.75,11.49,0.01,1.87,0.06,1.23,42.5,2.14,4.36
Leisure,51.16,18.38,134.31,0.11,26.45,39.65,22.15,99.3,47.84,54.49
Working at Job,11.70,24.13,40.32,0.00,0.13,1.10,4.20,23.1,8.09,15.30
Educational Activities,0.35,23.41,1.18,0.00,0.00,0.31,0.31,1.2,,0.86
Commuting to Work or School,1.09,24.75,3.86,0.00,0.06,0.02,1.02,18.1,0.62,1.56
Work and Education,13.14,24.16,45.36,0.00,0.19,1.43,5.54,26.3,9.23,17.05
Total,168.00,19.20,460.85,0.12,43.38,69.74,49.48,,,
