time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,4.25,18.31,11.12,2.03,2.10,4.09,2.12,32.8,2.13,6.37
Food Cooking & Clean-up,4.00,18.40,10.52,2.20,2.36,3.95,1.62,56.5,3.18,4.82
"Pets, Home & Vehicles",6.04,20.06,17.30,1.40,1.48,5.22,3.97,33.1,4.70,7.37
Household Management,0.82,24.72,2.90,0.31,0.37,0.52,0.36,16.0,0.49,1.15
Shopping,2.51,18.13,6.50,1.02,1.60,0.02,0.79,41.1,2.03,2.99
Obtaining Services,0.20,21.87,0.63,0.00,0.01,0.02,0.14,2.3,,0.45
Travel for Household Activity,1.96,24.75,6.93,0.63,1.03,0.03,0.80,47.2,1.67,2.25
Household Production,19.79,19.78,55.91,7.60,8.94,13.85,9.80,83.6,17.16,22.42
Household Children,9.04,18.05,23.31,,8.63,7.53,0.23,60.7,7.59,10.48
Household Adults,0.33,17.91,0.85,0.07,0.22,0.16,0.11,9.9,0.13,0.54
Non-Household Members,1.09,18.09,2.82,0.13,0.56,0.24,0.24,10.3,0.40,1.78
Travel for Household Members,1.51,24.75,5.35,0.11,1.10,0.02,0.39,33.3,1.17,1.86
Travel for Non-Household Members,0.40,24.75,1.42,0.11,0.24,0.00,0.15,8.6,0.18,0.62
Caring and Helping,12.38,19.09,33.75,0.43,10.75,7.95,1.13,68.5,10.78,13.98
Eating & Drinking,7.34,18.25,19.14,3.33,5.16,5.22,1.48,94.3,6.75,7.94
Personal Health Care,0.22,17.95,0.55,0.02,0.04,0.02,0.11,4.1,0.08,0.35
Grooming,3.27,18.17,8.49,0.93,,,,66.8,2.96,3.59
Sleeping,58.84,18.58,156.18,,,,,100.0,57.53,60.15
"Private, Personal, or N/A",5.28,20.56,15.50,1.98,1.61,3.65,2.95,36.2,4.00,6.56
Personal Time,74.95,18.67,199.87,6.27,6.81,8.89,4.55,100.0,72.88,77.02
Socializing,6.66,20.35,19.37,2.96,5.79,2.69,0.25,41.5,5.18,8.15
Passive Leisure,26.37,17.40,65.53,10.74,16.98,25.29,8.68,92.0,24.05,28.68
Active Leisure,2.58,17.40,6.42,0.55,0.93,0.37,0.76,16.9,1.64,3.52
Attendance Leisure,0.97,17.40,2.42,0.45,0.66,0.15,0.18,5.9,0.59,1.36
Religious Activities,0.74,23.41,2.47,0.39,0.58,0.20,0.15,6.6,0.46,1.02
Volunteering,1.46,23.41,4.89,0.41,0.55,0.22,0.39,7.1,0.73,2.19
Travel Related to Leisure,2.69,24.75,9.53,0.96,1.61,0.03,0.83,47.4,2.26,3.12
Leisure,41.48,18.67,110.62,16.47,27.10,28.95,11.24,98.1,38.31,44.64
Working at Job,16.89,27.26,65.77,0.32,0.61,1.99,3.48,31.2,13.59,20.19
Educational Activities,0.61,23.41,2.03,0.25,0.11,0.37,0.37,2.5,0.16,1.05
Commuting to Work or School,1.91,24.75,6.75,0.03,0.19,0.01,1.54,31.7,1.50,2.32
Work and Education,19.41,26.89,74.56,0.60,0.91,2.37,5.38,37.3,16.01,22.80
Total,168.00,19.78,474.71,31.37,54.51,62.02,32.10,,,
