time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,5.59,18.31,14.63,0.00,1.85,5.52,3.69,51.0,5.00,6.18
Food Cooking & Clean-up,5.99,18.40,15.74,0.00,2.70,5.86,3.22,75.2,5.71,6.27
"Pets, Home & Vehicles",2.12,20.06,6.06,0.00,1.03,1.76,1.06,29.1,1.87,2.36
Household Management,1.15,24.72,4.08,0.00,0.57,0.93,0.55,27.6,1.01,1.30
Shopping,3.24,18.13,8.40,0.00,1.87,0.14,1.24,49.4,3.01,3.47
Obtaining Services,0.08,21.87,0.25,0.00,0.03,0.03,0.03,2.4,0.05,0.11
Travel for Household Activity,2.51,24.75,8.88,0.00,1.47,0.02,0.98,51.8,2.26,2.77
Household Production,20.69,19.64,58.04,0.01,9.51,14.25,10.79,92.9,19.80,21.57
Household Children,2.45,18.05,6.32,,2.18,1.32,0.22,41.0,2.19,2.71
Household Adults,0.26,17.91,0.67,0.00,0.22,0.16,0.03,7.1,0.13,0.40
Non-Household Members,0.75,18.09,1.94,0.00,0.63,0.26,0.06,10.0,0.53,0.98
Travel for Household Members,1.18,24.75,4.17,0.00,0.79,0.01,0.37,28.1,1.06,1.30
Travel for Non-Household Members,0.33,24.75,1.16,0.00,0.21,0.00,0.10,8.3,0.27,0.39
Caring and Helping,4.97,20.08,14.26,0.00,4.03,1.76,0.77,49.5,4.55,5.39
Eating & Drinking,7.36,18.25,19.18,0.00,5.06,4.30,1.32,96.3,7.10,7.62
Personal Health Care,0.80,17.95,2.05,0.00,0.20,0.28,0.45,8.5,0.60,0.99
Grooming,5.87,18.17,15.24,0.00,,,,89.0,5.69,6.05
Sleeping,57.95,18.58,153.81,,,,,100.0,57.35,58.56
"Private, Personal, or N/A",1.61,20.56,4.71,0.00,0.57,0.58,0.54,23.8,1.36,1.85
Personal Time,73.59,18.55,195.00,0.01,5.82,5.16,2.31,100.0,72.79,74.38
Socializing,4.41,20.35,12.83,0.00,3.47,1.98,0.29,42.2,4.07,4.76
Passive Leisure,17.52,17.40,43.54,0.01,11.17,16.65,6.08,87.4,16.66,18.38
Active Leisure,1.51,17.40,3.76,0.00,0.63,0.35,0.61,18.9,1.35,1.68
Attendance Leisure,0.91,17.40,2.27,0.03,0.75,0.03,0.04,5.0,0.68,1.14
Religious Activities,1.04,23.41,3.47,0.00,0.74,0.25,0.22,10.0,0.84,1.24
Volunteering,1.06,23.41,3.54,0.00,0.44,0.27,0.20,7.8,0.87,1.25
Travel Related to Leisure,2.47,24.75,8.72,0.00,1.74,0.02,0.61,48.7,2.09,2.84
Leisure,28.92,18.91,78.13,0.04,18.95,19.55,8.05,96.5,27.52,30.32
Working at Job,36.64,29.49,154.35,0.00,1.32,5.52,6.67,68.3,34.96,38.32
Educational Activities,0.62,23.41,2.06,0.00,0.06,0.44,0.43,2.0,0.24,0.99
Commuting to Work or School,2.58,24.75,9.13,0.00,0.25,0.03,2.22,54.2,2.22,2.94
Work and Education,39.84,29.09,165.53,0.00,1.63,5.99,9.32,69.4,38.13,41.54
Total,168.00,21.29,510.97,0.05,39.95,46.72,31.24,,,
