time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.95,18.31,5.09,0.01,0.11,1.83,1.68,21.1,1.81,2.08
Food Cooking & Clean-up,2.12,18.40,5.57,0.01,0.23,1.99,1.57,43.3,1.92,2.31
"Pets, Home & Vehicles",2.74,20.06,7.86,0.02,0.23,2.30,2.20,23.0,2.58,2.90
Household Management,0.76,24.72,2.67,0.00,0.05,0.52,0.59,16.8,0.66,0.85
Shopping,1.71,18.13,4.43,0.01,0.23,0.07,1.05,37.6,1.57,1.85
Obtaining Services,0.08,21.87,0.25,0.00,0.00,0.01,0.05,2.1,0.06,0.10
Travel for Household Activity,1.87,24.75,6.61,0.01,0.18,0.03,1.35,41.5,1.77,1.97
Household Production,11.22,20.26,32.47,0.07,1.04,6.75,8.49,75.8,10.91,11.53
Household Children,0.00,18.05,0.01,,0.00,0.00,0.00,0.0,,0.01
Household Adults,0.06,17.91,0.16,0.00,0.03,0.04,0.02,1.7,0.04,0.08
Non-Household Members,0.93,18.09,2.40,0.00,0.44,0.23,0.14,11.5,0.84,1.02
Travel for Household Members,0.04,24.75,0.14,0.00,0.01,0.00,0.01,1.0,0.03,0.05
Travel for Non-Household Members,0.46,24.75,1.64,0.00,0.10,0.00,0.23,10.0,0.39,0.54
Caring and Helping,1.50,20.33,4.34,0.00,0.58,0.28,0.40,13.2,1.35,1.64
Eating & Drinking,7.43,18.25,19.37,0.03,1.09,3.47,3.49,94.4,7.22,7.64
Personal Health Care,0.44,17.95,1.13,0.00,0.05,0.25,0.32,4.6,0.32,0.56
Grooming,4.16,18.17,10.79,0.01,,,,79.8,4.04,4.28
Sleeping,60.09,18.58,159.50,,,,,99.9,59.53,60.66
"Private, Personal, or N/A",1.83,20.56,5.37,0.01,0.13,0.63,0.95,21.5,1.66,2.00
Personal Time,73.95,18.57,196.16,0.05,1.28,4.35,4.76,100.0,73.50,74.40
Socializing,4.36,20.35,12.68,0.02,1.25,1.21,0.51,32.2,4.16,4.56
Passive Leisure,25.54,17.40,63.47,0.10,2.12,22.86,19.22,89.8,24.19,26.88
Active Leisure,2.65,17.40,6.60,0.01,0.30,0.35,1.29,20.7,2.36,2.95
Attendance Leisure,0.90,17.40,2.25,0.00,0.18,0.04,0.16,4.6,0.81,1.00
Religious Activities,0.44,23.41,1.47,0.00,0.08,0.08,0.18,4.0,0.37,0.51
Volunteering,0.43,23.41,1.42,0.00,0.03,0.06,0.13,2.7,0.35,0.50
Travel Related to Leisure,3.05,24.75,10.80,0.01,0.35,0.04,1.85,53.1,2.78,3.33
Leisure,37.37,18.48,98.68,0.14,4.32,24.64,23.35,97.0,36.13,38.62
Working at Job,39.82,27.27,155.10,0.00,0.44,3.80,8.35,68.7,38.53,41.10
Educational Activities,0.84,23.41,2.81,0.00,0.05,0.41,0.53,3.1,0.69,0.99
Commuting to Work or School,3.30,24.75,11.68,0.00,0.06,0.04,2.91,59.3,3.09,3.52
Work and Education,43.96,27.01,169.58,0.00,0.56,4.25,11.79,71.1,42.48,45.43
Total,168.00,20.89,501.25,0.26,7.77,40.26,48.80,,,
