time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,5.51,18.31,14.42,0.00,1.27,5.41,4.20,48.5,5.12,5.90
Food Cooking & Clean-up,5.34,18.40,14.03,0.00,2.18,5.14,3.11,71.5,5.05,5.62
"Pets, Home & Vehicles",3.00,20.06,8.59,0.00,1.22,2.47,1.76,34.8,2.64,3.35
Household Management,1.23,24.72,4.36,0.00,0.49,0.95,0.72,28.1,1.09,1.37
Shopping,3.05,18.13,7.89,0.00,1.31,0.10,1.48,42.7,2.69,3.40
Obtaining Services,0.16,21.87,0.51,0.00,0.07,0.03,0.06,3.6,0.09,0.23
Travel for Household Activity,2.33,24.75,8.24,0.00,1.10,0.02,1.16,47.8,2.13,2.52
Household Production,20.61,19.70,58.02,0.00,7.63,14.11,12.49,92.4,19.83,21.40
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.27,17.91,0.70,0.00,0.21,0.14,0.05,5.9,0.18,0.36
Non-Household Members,1.64,18.09,4.23,0.00,1.36,0.66,0.17,14.8,1.33,1.95
Travel for Household Members,0.13,24.75,0.45,0.00,0.09,0.00,0.03,2.6,0.08,0.18
Travel for Non-Household Members,0.56,24.75,1.99,0.00,0.34,0.00,0.18,10.9,0.46,0.67
Caring and Helping,2.60,19.83,7.36,0.00,1.99,0.81,0.44,19.3,2.22,2.98
Eating & Drinking,8.02,18.25,20.91,0.00,5.01,4.72,1.97,97.6,7.73,8.31
Personal Health Care,0.95,17.95,2.45,0.00,0.18,0.36,0.58,10.8,0.70,1.21
Grooming,5.82,18.17,15.11,0.00,,,,86.3,5.63,6.01
Sleeping,57.67,18.58,153.07,,,,,100.0,57.05,58.29
"Private, Personal, or N/A",1.71,20.56,5.01,0.00,0.38,0.58,0.70,24.4,1.48,1.94
Personal Time,74.17,18.55,196.54,0.00,5.57,5.66,3.25,100.0,73.43,74.91
Socializing,4.87,20.35,14.16,0.00,3.93,2.34,0.39,41.1,4.44,5.30
Passive Leisure,20.53,17.40,51.03,0.00,11.36,19.53,8.93,91.3,19.72,21.34
Active Leisure,1.51,17.40,3.75,0.00,0.46,0.30,0.67,18.5,1.26,1.75
Attendance Leisure,0.69,17.40,1.73,0.00,0.51,0.05,0.08,3.9,0.55,0.83
Religious Activities,1.21,23.41,4.06,0.00,0.68,0.38,0.36,11.5,1.00,1.43
Volunteering,0.84,23.41,2.80,0.00,0.18,0.28,0.28,6.3,0.63,1.04
Travel Related to Leisure,2.64,24.75,9.32,0.00,1.59,0.02,0.90,46.2,2.21,3.06
Leisure,32.29,18.83,86.83,0.00,18.72,22.91,11.63,97.5,31.42,33.15
Working at Job,35.60,30.43,154.76,0.00,1.22,5.81,8.16,67.8,34.33,36.87
Educational Activities,0.15,23.41,0.50,0.00,0.03,0.13,0.11,0.6,0.03,0.26
Commuting to Work or School,2.58,24.75,9.12,0.00,0.31,0.02,2.20,52.6,2.35,2.80
Work and Education,38.33,30.02,164.38,0.00,1.55,5.96,10.48,68.4,37.03,39.63
Total,168.00,21.38,513.13,0.00,35.47,49.45,38.28,,,
