time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,0.98,18.31,2.56,0.10,0.28,0.92,0.52,14.9,0.86,1.09
Food Cooking & Clean-up,0.71,18.40,1.86,0.05,0.30,0.66,0.26,20.0,0.62,0.80
"Pets, Home & Vehicles",1.47,20.06,4.21,0.07,0.59,1.14,0.62,16.4,1.29,1.65
Household Management,0.41,24.72,1.43,0.02,0.15,0.26,0.17,15.1,0.33,0.48
Shopping,1.19,18.13,3.09,0.04,0.67,0.02,0.14,23.5,1.03,1.35
Obtaining Services,0.02,21.87,0.05,0.00,0.01,0.00,0.00,0.6,0.01,0.03
Travel for Household Activity,1.11,24.75,3.92,0.02,0.60,0.01,0.19,26.7,0.98,1.24
Household Production,5.88,20.39,17.12,0.30,2.59,3.01,1.90,57.8,5.52,6.24
Household Children,0.32,18.05,0.83,,0.08,0.25,0.01,6.0,0.23,0.42
Household Adults,0.12,17.91,0.31,0.01,0.10,0.07,0.01,3.2,0.06,0.18
Non-Household Members,0.48,18.09,1.24,0.02,0.20,0.07,0.03,11.9,0.38,0.58
Travel for Household Members,0.16,24.75,0.57,0.00,0.09,0.00,0.03,4.9,0.12,0.20
Travel for Non-Household Members,0.38,24.75,1.34,0.00,0.12,0.00,0.10,10.7,0.32,0.43
Caring and Helping,1.46,20.53,4.29,0.03,0.59,0.39,0.17,19.3,1.26,1.66
Eating & Drinking,6.51,18.25,16.98,0.21,3.08,3.89,1.21,96.3,6.31,6.71
Personal Health Care,0.23,17.95,0.58,0.01,0.09,0.08,0.08,3.5,0.14,0.31
Grooming,4.37,18.17,11.35,0.08,,,,84.8,4.23,4.52
Sleeping,67.24,18.58,178.47,,,,,100.0,66.62,67.86
"Private, Personal, or N/A",1.99,20.56,5.85,0.07,0.33,0.72,0.76,22.3,1.72,2.26
Personal Time,80.34,18.58,213.22,0.37,3.50,4.69,2.06,100.0,79.69,80.99
Socializing,6.09,20.35,17.70,0.18,1.98,2.47,0.95,48.4,5.65,6.52
Passive Leisure,29.53,17.40,73.39,1.20,5.94,25.90,16.26,92.7,26.64,32.42
Active Leisure,7.11,17.40,17.68,0.25,1.02,1.34,1.32,41.6,6.63,7.60
Attendance Leisure,1.40,17.40,3.48,0.03,0.35,0.05,0.16,8.2,1.09,1.71
Religious Activities,0.70,23.41,2.34,0.02,0.38,0.06,0.07,6.1,0.55,0.85
Volunteering,1.00,23.41,3.34,0.02,0.17,0.06,0.12,6.2,0.84,1.16
Travel Related to Leisure,3.53,24.75,12.47,0.06,1.37,0.04,0.76,66.5,3.06,4.00
Leisure,49.36,18.49,130.41,1.76,11.20,29.91,19.65,98.8,47.60,51.11
Working at Job,4.39,12.80,8.02,0.00,0.14,0.19,0.15,11.7,3.79,4.98
Educational Activities,24.73,23.41,82.71,0.37,0.57,5.10,4.56,55.7,23.65,25.82
Commuting to Work or School,1.84,24.75,6.51,0.02,0.35,0.02,0.79,46.6,1.59,2.09
Work and Education,30.96,21.98,97.24,0.39,1.06,5.31,5.49,63.3,29.39,32.54
Total,168.00,19.26,462.27,2.85,18.94,43.31,29.27,,,
