time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.35,18.31,3.54,0.00,0.57,1.32,0.79,16.3,1.14,1.56
Food Cooking & Clean-up,2.08,18.40,5.46,0.00,1.11,2.03,0.95,40.5,1.90,2.26
"Pets, Home & Vehicles",6.33,20.06,18.14,0.00,1.84,5.80,4.35,42.7,5.62,7.04
Household Management,0.98,24.72,3.45,0.00,0.46,0.76,0.48,20.9,0.81,1.15
Shopping,2.05,18.13,5.32,0.00,1.28,0.08,0.71,35.2,1.86,2.25
Obtaining Services,0.16,21.87,0.51,0.00,0.05,0.06,0.07,2.8,0.10,0.23
Travel for Household Activity,2.07,24.75,7.32,0.00,1.06,0.02,0.97,39.5,1.90,2.24
Household Production,15.03,20.38,43.75,0.00,6.36,10.07,8.32,78.9,14.15,15.90
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.24,17.91,0.61,0.00,0.19,0.13,0.05,6.4,0.18,0.30
Non-Household Members,0.78,18.09,2.01,0.00,0.62,0.21,0.07,7.8,0.59,0.96
Travel for Household Members,0.21,24.75,0.73,0.00,0.14,0.00,0.07,3.7,0.14,0.27
Travel for Non-Household Members,0.25,24.75,0.89,0.00,0.12,0.00,0.10,6.2,0.20,0.30
Caring and Helping,1.48,20.13,4.24,0.00,1.06,0.34,0.28,13.6,1.20,1.75
Eating & Drinking,8.41,18.25,21.91,0.00,4.99,4.84,2.23,96.6,8.13,8.68
Personal Health Care,0.48,17.95,1.23,0.00,0.13,0.19,0.24,5.3,0.32,0.64
Grooming,4.14,18.17,10.75,0.00,,,,81.5,3.99,4.30
Sleeping,56.47,18.58,149.87,,,,,99.9,55.75,57.19
"Private, Personal, or N/A",1.32,20.56,3.89,0.00,0.35,0.47,0.54,17.9,1.15,1.50
Personal Time,70.82,18.55,187.65,0.00,5.48,5.50,3.00,100.0,70.23,71.40
Socializing,3.84,20.35,11.16,0.00,3.16,1.87,0.15,33.7,3.52,4.16
Passive Leisure,23.91,17.40,59.43,0.00,14.15,22.63,9.31,92.7,22.86,24.96
Active Leisure,2.23,17.40,5.54,0.00,0.69,0.41,0.96,18.7,2.00,2.47
Attendance Leisure,0.80,17.40,1.99,0.01,0.65,0.02,0.05,4.0,0.61,0.99
Religious Activities,0.68,23.41,2.27,0.00,0.44,0.14,0.17,6.0,0.55,0.81
Volunteering,0.78,23.41,2.62,0.00,0.23,0.14,0.15,5.2,0.59,0.98
Travel Related to Leisure,2.55,24.75,9.02,0.00,1.37,0.03,1.03,46.9,2.33,2.78
Leisure,34.80,18.52,92.04,0.01,20.70,25.23,11.82,97.5,33.79,35.80
Working at Job,41.96,37.65,225.67,0.00,0.95,4.11,8.16,71.1,40.48,43.43
Educational Activities,0.25,23.41,0.84,0.00,0.04,0.17,0.14,0.9,0.10,0.40
Commuting to Work or School,3.67,24.75,12.99,0.00,0.22,0.04,3.26,60.0,3.43,3.91
Work and Education,45.88,36.54,239.50,0.00,1.21,4.32,11.56,72.1,44.28,47.49
Total,168.00,23.63,567.18,0.01,34.81,45.46,34.98,,,
