time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,7.78,18.31,20.36,0.04,1.39,7.58,6.30,60.3,6.80,8.76
Food Cooking & Clean-up,6.42,18.40,16.88,0.01,2.18,6.21,4.16,79.3,5.91,6.94
"Pets, Home & Vehicles",5.05,20.06,14.46,0.02,1.57,4.44,3.44,41.2,4.17,5.92
Household Management,2.00,24.72,7.05,0.01,0.66,1.70,1.29,34.0,1.66,2.34
Shopping,3.38,18.13,8.76,0.00,1.30,0.11,1.94,45.0,2.90,3.87
Obtaining Services,0.28,21.87,0.86,0.00,0.14,0.19,0.07,5.5,0.08,0.47
Travel for Household Activity,2.34,24.75,8.26,0.00,1.03,0.02,1.27,49.6,1.97,2.70
Household Production,27.24,19.69,76.63,0.07,8.28,20.25,18.48,95.5,25.52,28.96
Household Children,0.07,18.05,0.17,,0.06,0.05,0.01,0.5,,0.13
Household Adults,0.35,17.91,0.90,0.00,0.18,0.08,0.04,5.6,0.08,0.62
Non-Household Members,3.05,18.09,7.89,0.00,2.53,1.48,0.19,20.4,2.40,3.71
Travel for Household Members,0.21,24.75,0.74,0.00,0.12,0.01,0.05,3.6,0.11,0.31
Travel for Non-Household Members,0.81,24.75,2.88,0.00,0.47,0.00,0.30,13.9,0.60,1.03
Caring and Helping,4.49,19.59,12.57,0.00,3.36,1.62,0.59,25.1,3.69,5.29
Eating & Drinking,8.59,18.25,22.39,0.01,5.88,5.74,1.90,97.4,8.18,8.99
Personal Health Care,1.55,17.95,3.98,0.00,0.31,0.78,1.03,16.1,1.02,2.08
Grooming,5.64,18.17,14.65,0.00,,,,84.5,5.24,6.04
Sleeping,59.39,18.58,157.63,,,,,100.0,58.51,60.26
"Private, Personal, or N/A",2.10,20.56,6.17,0.00,0.49,0.74,0.88,29.7,1.69,2.51
Personal Time,77.27,18.55,204.81,0.01,6.68,7.26,3.81,100.0,76.15,78.40
Socializing,6.28,20.35,18.26,0.00,4.81,3.09,0.64,52.1,5.50,7.06
Passive Leisure,24.73,17.40,61.47,0.06,13.50,23.40,10.91,92.7,23.41,26.05
Active Leisure,2.24,17.40,5.58,0.00,0.76,0.41,1.07,24.3,1.88,2.60
Attendance Leisure,0.80,17.40,1.99,0.00,0.58,0.02,0.08,4.7,0.54,1.06
Religious Activities,1.28,23.41,4.28,0.01,0.84,0.26,0.25,13.5,1.02,1.54
Volunteering,2.07,23.41,6.93,0.00,0.47,1.01,1.03,13.7,1.49,2.66
Travel Related to Leisure,3.17,24.75,11.21,0.00,2.01,0.01,1.06,53.4,2.72,3.63
Leisure,40.58,18.93,109.72,0.08,22.96,28.21,15.04,98.7,39.13,42.03
Working at Job,16.98,20.93,50.77,0.00,1.35,4.03,3.96,47.9,15.33,18.63
Educational Activities,0.20,23.41,0.68,0.00,0.00,0.20,0.20,0.4,,0.48
Commuting to Work or School,1.23,24.75,4.34,0.00,0.11,0.01,1.08,33.3,1.01,1.44
Work and Education,18.41,21.21,55.80,0.00,1.46,4.25,5.25,48.9,16.59,20.23
Total,168.00,19.15,459.54,0.15,42.74,61.58,43.16,,,
