time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.11,18.31,2.91,0.12,0.29,1.04,0.58,15.9,0.96,1.27
Food Cooking & Clean-up,0.82,18.40,2.15,0.06,0.34,0.77,0.31,20.7,0.70,0.93
"Pets, Home & Vehicles",1.32,20.06,3.78,0.07,0.49,1.04,0.56,15.4,1.14,1.50
Household Management,0.40,24.72,1.43,0.02,0.15,0.25,0.17,14.2,0.34,0.47
Shopping,1.27,18.13,3.30,0.04,0.67,0.03,0.19,24.8,1.10,1.45
Obtaining Services,0.02,21.87,0.06,0.00,0.01,0.01,0.01,0.6,,0.03
Travel for Household Activity,1.18,24.75,4.18,0.02,0.61,0.00,0.23,27.8,1.00,1.36
Household Production,6.13,20.34,17.80,0.33,2.56,3.14,2.05,58.4,5.67,6.58
Household Children,0.44,18.05,1.14,,0.13,0.35,0.01,6.7,0.32,0.57
Household Adults,0.10,17.91,0.25,0.01,0.08,0.04,0.01,3.1,0.06,0.14
Non-Household Members,0.48,18.09,1.24,0.02,0.24,0.08,0.03,11.2,0.37,0.60
Travel for Household Members,0.18,24.75,0.63,0.00,0.10,0.00,0.03,5.0,0.14,0.22
Travel for Non-Household Members,0.36,24.75,1.28,0.00,0.11,0.00,0.10,9.7,0.30,0.42
Caring and Helping,1.56,20.37,4.55,0.03,0.66,0.47,0.17,19.3,1.33,1.80
Eating & Drinking,6.62,18.25,17.25,0.22,3.11,4.07,1.35,96.3,6.42,6.82
Personal Health Care,0.26,17.95,0.67,0.01,0.07,0.12,0.16,3.3,0.14,0.38
Grooming,4.35,18.17,11.28,0.08,,,,83.2,4.20,4.49
Sleeping,67.47,18.58,179.09,,,,,99.9,66.74,68.21
"Private, Personal, or N/A",2.19,20.56,6.43,0.08,0.32,0.78,0.84,22.3,1.85,2.53
Personal Time,80.89,18.58,214.73,0.38,3.50,4.97,2.34,100.0,80.11,81.67
Socializing,6.23,20.35,18.11,0.17,1.96,2.48,1.04,47.0,5.80,6.66
Passive Leisure,30.20,17.40,75.07,1.33,5.66,26.40,16.67,93.2,27.25,33.16
Active Leisure,7.27,17.40,18.07,0.24,0.94,1.38,1.48,42.8,6.81,7.73
Attendance Leisure,1.40,17.40,3.48,0.03,0.39,0.06,0.15,8.2,1.07,1.73
Religious Activities,0.75,23.41,2.51,0.02,0.41,0.07,0.07,6.4,0.58,0.92
Volunteering,0.96,23.41,3.22,0.03,0.17,0.07,0.15,5.8,0.77,1.15
Travel Related to Leisure,3.70,24.75,13.09,0.07,1.36,0.03,0.85,65.9,3.19,4.22
Leisure,50.52,18.50,133.56,1.88,10.89,30.49,20.41,98.9,48.59,52.45
Working at Job,4.11,13.95,8.19,0.00,0.05,0.16,0.27,9.7,3.44,4.78
Educational Activities,23.01,23.41,76.94,0.33,0.51,5.29,5.23,52.6,21.82,24.19
Commuting to Work or School,1.78,24.75,6.29,0.01,0.32,0.02,0.84,43.4,1.50,2.06
Work and Education,28.90,22.14,91.42,0.35,0.88,5.46,6.34,61.0,27.14,30.66
Total,168.00,19.25,462.05,2.98,18.50,44.52,31.32,,,
