time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,4.66,18.31,12.18,0.00,0.43,4.51,4.09,41.3,4.27,5.04
Food Cooking & Clean-up,3.42,18.40,8.98,0.01,0.67,3.22,2.48,58.8,3.14,3.69
"Pets, Home & Vehicles",2.49,20.06,7.15,0.00,0.19,2.00,2.07,33.8,2.26,2.73
Household Management,1.03,24.72,3.62,0.00,0.12,0.83,0.81,27.7,0.92,1.13
Shopping,2.73,18.13,7.07,0.00,0.62,0.12,1.70,43.6,2.46,3.00
Obtaining Services,0.20,21.87,0.64,0.00,0.02,0.08,0.11,4.2,0.15,0.25
Travel for Household Activity,2.05,24.75,7.26,0.00,0.34,0.01,1.48,47.3,1.83,2.27
Household Production,16.58,19.80,46.90,0.01,2.39,10.77,12.74,88.0,15.97,17.19
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.25,17.91,0.65,0.00,0.17,0.19,0.03,4.6,0.10,0.40
Non-Household Members,1.12,18.09,2.88,0.00,0.81,0.37,0.12,15.2,0.95,1.28
Travel for Household Members,0.08,24.75,0.29,0.00,0.05,0.00,0.02,1.8,0.04,0.12
Travel for Non-Household Members,0.59,24.75,2.09,0.00,0.22,0.01,0.25,12.4,0.49,0.70
Caring and Helping,2.04,20.26,5.91,0.00,1.24,0.56,0.42,19.0,1.78,2.30
Eating & Drinking,6.56,18.25,17.11,0.00,1.49,3.44,3.05,92.6,6.36,6.77
Personal Health Care,1.11,17.95,2.85,0.00,0.08,0.44,0.76,11.5,0.83,1.39
Grooming,6.16,18.17,16.00,0.00,,,,87.9,5.97,6.35
Sleeping,58.31,18.58,154.78,,,,,99.9,57.57,59.05
"Private, Personal, or N/A",1.89,20.56,5.56,0.00,0.15,0.70,1.11,27.0,1.71,2.08
Personal Time,74.04,18.56,196.30,0.00,1.72,4.58,4.92,100.0,73.25,74.84
Socializing,5.00,20.35,14.53,0.00,2.30,2.03,0.94,42.1,4.59,5.41
Passive Leisure,21.69,17.40,53.91,0.02,2.70,20.10,16.93,90.0,20.85,22.53
Active Leisure,1.47,17.40,3.65,0.00,0.15,0.35,0.83,16.8,1.27,1.67
Attendance Leisure,0.72,17.40,1.78,0.00,0.29,0.02,0.10,3.9,0.57,0.86
Religious Activities,0.91,23.41,3.04,0.00,0.16,0.32,0.49,9.3,0.74,1.08
Volunteering,0.80,23.41,2.68,0.00,0.08,0.22,0.25,5.3,0.54,1.06
Travel Related to Leisure,2.41,24.75,8.51,0.00,0.44,0.02,1.43,46.1,2.17,2.64
Leisure,32.99,18.69,88.09,0.02,6.12,23.07,20.98,97.3,32.17,33.80
Working at Job,38.97,29.01,161.51,0.00,0.22,5.43,8.17,69.4,37.84,40.10
Educational Activities,0.47,23.41,1.56,0.00,0.01,0.40,0.43,1.5,0.12,0.81
Commuting to Work or School,2.91,24.75,10.28,0.00,0.05,0.03,2.63,55.5,2.59,3.22
Work and Education,42.34,28.66,173.34,0.00,0.27,5.86,11.23,70.7,41.15,43.54
Total,168.00,21.27,510.55,0.03,11.74,44.85,50.30,,,
