time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,3.80,18.31,9.94,0.00,1.82,3.40,1.91,33.3,2.72,4.88
Food Cooking & Clean-up,4.05,18.40,10.64,0.05,2.07,3.96,1.90,60.8,3.32,4.78
"Pets, Home & Vehicles",1.76,20.06,5.04,0.00,0.85,1.34,0.80,28.9,0.77,2.75
Household Management,0.98,24.72,3.45,0.00,0.62,0.63,0.31,22.3,0.56,1.40
Shopping,2.79,18.13,7.22,0.00,1.51,0.12,1.18,44.8,2.14,3.43
Obtaining Services,0.03,21.87,0.10,0.00,0.00,0.00,0.03,1.3,,0.08
Travel for Household Activity,2.07,24.75,7.33,0.00,1.30,0.00,0.74,47.9,1.57,2.58
Household Production,15.48,19.77,43.73,0.05,8.18,9.44,6.88,85.0,13.49,17.47
Household Children,0.17,18.05,0.43,,0.17,0.17,0.00,0.6,,0.52
Household Adults,0.69,17.91,1.77,0.00,0.68,0.13,0.01,7.7,,1.84
Non-Household Members,0.95,18.09,2.45,0.00,0.67,0.27,0.22,11.2,0.35,1.54
Travel for Household Members,0.14,24.75,0.49,0.00,0.12,0.00,0.02,3.5,0.02,0.26
Travel for Non-Household Members,0.48,24.75,1.69,0.00,0.24,0.00,0.18,7.7,0.15,0.80
Caring and Helping,2.42,19.73,6.82,0.00,1.88,0.57,0.43,17.2,0.99,3.85
Eating & Drinking,8.28,18.25,21.59,0.05,5.81,4.19,1.44,95.7,7.34,9.23
Personal Health Care,1.05,17.95,2.69,0.00,0.73,0.70,0.21,5.8,,2.36
Grooming,6.02,18.17,15.63,0.00,,,,86.2,5.50,6.54
Sleeping,62.10,18.58,164.84,,,,,100.0,60.36,63.85
"Private, Personal, or N/A",1.49,20.56,4.36,0.00,0.42,0.63,0.67,16.5,0.69,2.28
Personal Time,78.94,18.54,209.11,0.05,6.96,5.52,2.32,100.0,76.14,81.74
Socializing,5.29,20.35,15.38,0.02,4.32,1.82,0.29,37.1,4.04,6.55
Passive Leisure,21.85,17.40,54.31,0.37,15.04,19.86,6.40,88.6,19.51,24.20
Active Leisure,1.63,17.40,4.06,0.00,0.87,0.40,0.51,18.1,1.06,2.21
Attendance Leisure,0.63,17.40,1.56,0.00,0.46,0.01,0.08,3.2,0.13,1.12
Religious Activities,0.41,23.41,1.38,0.01,0.36,0.04,0.03,2.6,0.16,0.66
Volunteering,0.57,23.41,1.89,0.00,0.33,0.02,0.03,3.4,,1.16
Travel Related to Leisure,2.56,24.75,9.06,0.00,1.66,0.00,0.83,49.3,1.92,3.20
Leisure,32.95,18.62,87.65,0.40,23.04,22.14,8.17,95.8,30.11,35.78
Working at Job,34.42,24.63,121.09,0.00,1.16,4.20,4.55,66.6,30.60,38.24
Educational Activities,0.77,23.41,2.57,0.00,0.15,0.45,0.32,3.0,,1.57
Commuting to Work or School,3.03,24.75,10.71,0.00,0.19,0.04,2.73,54.1,2.43,3.63
Work and Education,38.21,24.61,134.37,0.00,1.49,4.69,7.60,68.3,34.11,42.31
Total,168.00,20.07,481.67,0.51,41.55,42.36,25.40,,,
