time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,7.74,18.31,20.25,4.33,3.90,7.58,3.71,59.0,6.42,9.06
Food Cooking & Clean-up,7.60,18.40,19.98,5.43,4.44,7.46,3.07,77.4,6.48,8.73
"Pets, Home & Vehicles",1.97,20.06,5.63,1.29,1.25,1.70,0.71,21.5,1.25,2.68
Household Management,1.12,24.72,3.96,0.63,0.74,0.83,0.31,23.4,0.64,1.60
Shopping,3.89,18.13,10.09,2.03,3.05,0.14,0.72,43.1,2.93,4.86
Obtaining Services,0.07,21.87,0.22,0.06,0.06,0.05,0.00,2.2,0.01,0.13
Travel for Household Activity,2.18,24.75,7.72,1.13,1.65,0.00,0.47,46.1,1.64,2.73
Household Production,24.58,19.32,67.85,14.90,15.09,17.77,9.00,95.4,21.44,27.71
Household Children,12.71,18.05,32.77,,12.24,10.50,0.21,76.9,10.50,14.92
Household Adults,0.08,17.91,0.20,0.02,0.07,0.05,0.01,5.4,0.02,0.13
Non-Household Members,0.75,18.09,1.95,0.36,0.70,0.27,0.01,10.5,0.24,1.27
Travel for Household Members,1.83,24.75,6.46,0.08,1.38,0.01,0.41,40.1,1.34,2.32
Travel for Non-Household Members,0.26,24.75,0.94,0.11,0.18,0.00,0.04,9.4,0.14,0.39
Caring and Helping,15.63,18.95,42.31,0.58,14.57,10.84,0.67,80.2,12.99,18.27
Eating & Drinking,7.29,18.25,19.00,4.62,5.78,5.29,1.08,95.8,6.70,7.87
Personal Health Care,0.37,17.95,0.94,0.06,0.10,0.19,0.16,6.2,0.12,0.61
Grooming,5.17,18.17,13.42,1.83,,,,80.8,3.68,6.66
Sleeping,61.47,18.58,163.17,,,,,100.0,59.70,63.25
"Private, Personal, or N/A",3.35,20.56,9.84,1.83,1.37,1.71,0.84,29.6,2.16,4.54
Personal Time,77.65,18.60,206.36,8.34,7.25,7.18,2.09,100.0,75.14,80.15
Socializing,4.98,20.35,14.49,3.24,4.18,2.67,0.28,40.3,3.59,6.38
Passive Leisure,16.68,17.40,41.46,8.91,11.53,16.01,4.81,82.6,14.90,18.46
Active Leisure,1.10,17.40,2.72,0.69,0.78,0.24,0.20,11.7,0.70,1.49
Attendance Leisure,1.28,17.40,3.18,0.59,0.83,0.22,0.22,5.1,0.52,2.05
Religious Activities,1.08,23.41,3.61,0.67,0.93,0.18,0.08,7.4,0.59,1.57
Volunteering,0.58,23.41,1.92,0.17,0.14,0.19,0.28,5.2,0.17,0.98
Travel Related to Leisure,1.87,24.75,6.60,1.11,1.40,0.05,0.35,36.3,1.31,2.43
Leisure,27.56,18.79,73.99,15.39,19.79,19.55,6.23,93.1,24.53,30.60
Working at Job,5.47,21.40,16.72,0.57,0.50,1.00,0.51,10.8,2.87,8.07
Educational Activities,15.79,23.41,52.81,3.20,3.99,8.66,6.71,43.1,11.50,20.09
Commuting to Work or School,1.32,24.75,4.65,0.03,0.12,0.00,1.17,28.6,0.94,1.69
Work and Education,22.58,23.00,74.19,3.80,4.61,9.65,8.38,53.9,16.94,28.22
Total,168.00,19.36,464.70,43.00,61.31,64.99,26.38,,,
