time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,4.15,18.31,10.86,1.98,1.67,4.10,2.46,32.0,,9.18
Food Cooking & Clean-up,3.63,18.40,9.54,2.32,2.13,3.61,1.48,54.7,2.15,5.11
"Pets, Home & Vehicles",8.03,20.06,23.01,2.68,2.44,7.20,5.14,41.0,5.44,10.62
Household Management,0.72,24.72,2.53,0.25,0.40,0.49,0.21,16.7,0.35,1.08
Shopping,2.87,18.13,7.42,1.02,2.01,0.07,0.74,39.7,1.97,3.76
Obtaining Services,0.06,21.87,0.19,0.00,0.02,0.05,0.04,1.2,,0.17
Travel for Household Activity,2.38,24.75,8.41,0.79,1.37,0.09,0.89,45.6,1.60,3.15
Household Production,21.83,19.87,61.96,9.04,10.04,15.60,10.97,85.0,16.96,26.70
Household Children,5.02,18.05,12.94,,4.64,3.42,0.20,51.8,3.48,6.56
Household Adults,0.34,17.91,0.88,0.02,0.18,0.18,0.16,6.4,,0.68
Non-Household Members,1.21,18.09,3.11,0.06,0.31,0.12,0.46,9.7,0.08,2.33
Travel for Household Members,1.29,24.75,4.57,0.02,0.93,0.03,0.35,33.2,0.70,1.88
Travel for Non-Household Members,0.24,24.75,0.84,0.05,0.12,0.00,0.10,8.5,0.07,0.40
Caring and Helping,8.10,19.32,22.35,0.14,6.18,3.75,1.28,59.9,6.18,10.02
Eating & Drinking,7.29,18.25,19.00,3.66,5.16,5.41,1.39,93.7,6.51,8.07
Personal Health Care,0.35,17.95,0.89,0.05,0.21,0.06,0.09,6.1,0.09,0.60
Grooming,3.34,18.17,8.67,1.05,,,,67.5,2.82,3.86
Sleeping,59.88,18.58,158.92,,,,,100.0,58.04,61.71
"Private, Personal, or N/A",4.48,20.56,13.15,1.83,1.27,3.20,2.52,35.5,3.18,5.78
Personal Time,75.33,18.64,200.63,6.58,6.64,8.68,4.00,100.0,72.79,77.86
Socializing,6.36,20.35,18.50,2.58,5.53,2.63,0.18,39.3,3.89,8.84
Passive Leisure,28.07,17.40,69.75,14.73,16.92,27.10,10.39,91.3,23.41,32.72
Active Leisure,2.74,17.40,6.81,0.76,0.98,0.44,0.72,17.5,1.61,3.87
Attendance Leisure,1.56,17.40,3.88,0.76,1.18,0.12,0.13,8.3,0.68,2.45
Religious Activities,0.62,23.41,2.08,0.39,0.48,0.14,0.12,6.6,0.29,0.95
Volunteering,0.88,23.41,2.93,0.34,0.36,0.10,0.13,5.8,0.15,1.60
Travel Related to Leisure,3.17,24.75,11.22,1.10,1.78,0.04,1.17,48.1,2.29,4.06
Leisure,43.40,18.58,115.18,20.67,27.23,30.57,12.85,97.0,36.91,49.89
Working at Job,17.07,27.40,66.82,0.37,0.48,1.39,2.11,30.8,13.28,20.87
Educational Activities,0.42,23.41,1.42,0.20,0.01,0.34,0.35,1.2,,0.99
Commuting to Work or School,1.85,24.75,6.53,0.01,0.21,0.01,1.55,27.7,1.24,2.45
Work and Education,19.34,27.06,74.76,0.59,0.70,1.73,4.01,33.1,15.15,23.54
Total,168.00,19.79,474.87,37.02,50.80,60.33,33.11,,,
