time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,6.53,18.31,17.10,0.08,1.35,6.51,5.16,44.5,4.18,8.89
Food Cooking & Clean-up,5.75,18.40,15.12,0.22,2.17,5.65,3.55,65.7,3.87,7.64
"Pets, Home & Vehicles",2.27,20.06,6.51,0.00,0.80,2.20,1.45,32.0,1.48,3.06
Household Management,0.81,24.72,2.86,0.01,0.27,0.50,0.50,16.1,0.41,1.21
Shopping,2.48,18.13,6.42,0.00,1.71,0.01,0.58,31.1,1.32,3.64
Obtaining Services,0.21,21.87,0.66,0.00,0.08,0.19,0.12,3.6,,0.45
Travel for Household Activity,1.83,24.75,6.47,0.00,1.23,0.00,0.53,33.6,1.24,2.42
Household Production,19.89,19.40,55.13,0.31,7.61,15.06,11.88,83.8,14.72,25.06
Household Children,0.11,18.05,0.28,,0.08,0.11,0.00,1.4,,0.22
Household Adults,0.47,17.91,1.20,0.00,0.37,0.06,0.10,8.4,0.04,0.91
Non-Household Members,2.63,18.09,6.80,0.00,2.31,1.68,0.16,15.3,0.81,4.46
Travel for Household Members,0.47,24.75,1.65,0.00,0.44,0.00,0.03,6.9,0.08,0.86
Travel for Non-Household Members,0.52,24.75,1.83,0.00,0.27,0.00,0.24,8.7,0.11,0.92
Caring and Helping,4.20,19.63,11.77,0.00,3.47,1.84,0.53,22.4,1.97,6.42
Eating & Drinking,6.96,18.25,18.13,0.05,4.93,5.97,1.90,97.1,5.49,8.43
Personal Health Care,5.36,17.95,13.74,0.00,1.36,4.36,3.67,36.2,3.16,7.55
Grooming,4.00,18.17,10.38,0.05,,,,64.3,2.92,5.08
Sleeping,69.46,18.58,184.37,,,,,100.0,64.48,74.44
"Private, Personal, or N/A",1.75,20.56,5.15,0.14,0.49,0.63,0.79,20.4,1.19,2.31
Personal Time,87.53,18.54,231.78,0.24,6.78,10.96,6.36,100.0,84.83,90.23
Socializing,5.88,20.35,17.10,0.13,4.62,3.62,0.66,48.3,3.67,8.10
Passive Leisure,44.29,17.40,110.07,0.41,24.71,43.32,18.73,95.1,35.27,53.30
Active Leisure,0.23,17.40,0.58,0.00,0.07,0.19,0.16,4.8,0.07,0.39
Attendance Leisure,0.29,17.40,0.73,0.00,0.23,0.14,0.04,1.6,,0.60
Religious Activities,1.05,23.41,3.51,0.00,0.89,0.20,0.09,7.2,0.28,1.82
Volunteering,0.40,23.41,1.35,0.00,0.01,0.18,0.18,1.9,,0.84
Travel Related to Leisure,2.04,24.75,7.23,0.00,1.36,0.00,0.28,30.6,1.03,3.06
Leisure,54.19,18.16,140.57,0.54,31.88,47.66,20.15,97.6,47.74,60.65
Working at Job,1.23,0.00,0.00,0.00,0.00,0.07,0.07,3.6,,2.45
Educational Activities,0.74,23.41,2.49,0.00,0.00,0.74,0.74,1.5,,2.11
Commuting to Work or School,0.22,24.75,0.78,0.00,0.02,0.00,0.20,3.5,,0.55
Work and Education,2.19,10.44,3.27,0.00,0.02,0.81,1.01,5.8,0.14,4.24
Total,168.00,18.44,442.52,1.10,49.77,76.34,39.93,,,
