time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,8.23,18.31,21.53,5.39,3.68,7.91,4.19,55.0,7.40,9.06
Food Cooking & Clean-up,7.61,18.40,20.00,5.17,3.96,7.39,3.25,74.7,7.00,8.22
"Pets, Home & Vehicles",1.36,20.06,3.90,0.61,0.68,1.20,0.55,13.8,0.91,1.81
Household Management,1.03,24.72,3.65,0.52,0.50,0.72,0.40,20.2,0.75,1.32
Shopping,2.72,18.13,7.03,1.42,1.84,0.05,0.67,42.1,2.26,3.17
Obtaining Services,0.15,21.87,0.47,0.07,0.09,0.07,0.03,3.0,0.07,0.23
Travel for Household Activity,2.35,24.75,8.31,1.23,1.59,0.03,0.62,46.8,1.77,2.93
Household Production,23.45,19.37,64.89,14.41,12.34,17.37,9.70,90.3,21.93,24.97
Household Children,13.70,18.05,35.34,,12.77,11.74,0.33,69.9,12.39,15.01
Household Adults,0.34,17.91,0.87,0.19,0.32,0.25,0.01,4.9,0.15,0.53
Non-Household Members,0.79,18.09,2.03,0.35,0.56,0.23,0.07,8.7,0.50,1.07
Travel for Household Members,1.56,24.75,5.51,0.02,1.11,0.01,0.38,31.3,1.28,1.83
Travel for Non-Household Members,0.30,24.75,1.06,0.13,0.21,0.00,0.05,6.3,0.18,0.42
Caring and Helping,16.69,18.80,44.81,0.68,14.97,12.23,0.82,74.0,15.27,18.10
Eating & Drinking,6.15,18.25,16.04,3.75,4.57,4.71,0.74,92.2,5.63,6.67
Personal Health Care,1.13,17.95,2.90,0.43,0.45,0.54,0.57,8.5,0.72,1.54
Grooming,4.64,18.17,12.04,1.99,,,,73.3,4.23,5.04
Sleeping,65.88,18.58,174.85,,,,,100.0,64.43,67.33
"Private, Personal, or N/A",2.85,20.56,8.36,1.50,1.22,1.29,0.74,31.1,2.33,3.36
Personal Time,80.64,18.59,214.19,7.67,6.24,6.55,2.04,100.0,79.01,82.28
Socializing,6.28,20.35,18.27,3.51,4.68,2.67,0.41,37.0,5.38,7.19
Passive Leisure,24.14,17.40,59.99,12.22,13.35,22.32,8.80,90.1,22.31,25.96
Active Leisure,1.70,17.40,4.22,0.74,0.90,0.44,0.38,11.0,1.07,2.33
Attendance Leisure,0.72,17.40,1.80,0.30,0.46,0.05,0.04,3.4,0.38,1.07
Religious Activities,0.90,23.41,3.01,0.40,0.64,0.19,0.18,7.5,0.61,1.19
Volunteering,0.74,23.41,2.47,0.29,0.23,0.10,0.12,4.6,0.35,1.13
Travel Related to Leisure,2.06,24.75,7.27,0.98,1.33,0.02,0.33,38.9,1.75,2.36
Leisure,36.54,18.59,97.03,18.44,21.60,25.79,10.25,96.5,34.32,38.76
Working at Job,6.45,15.82,14.57,0.70,0.22,0.93,0.42,12.8,4.59,8.30
Educational Activities,3.40,23.41,11.37,0.35,0.30,1.09,1.19,7.9,2.07,4.73
Commuting to Work or School,0.84,24.75,2.96,0.06,0.09,0.01,0.56,17.5,0.63,1.04
Work and Education,10.68,18.94,28.90,1.11,0.61,2.03,2.17,22.1,8.54,12.82
Total,168.00,18.74,449.82,42.31,55.76,63.97,24.99,,,
