time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,8.56,18.31,22.40,0.00,2.24,8.41,6.28,64.3,8.15,8.97
Food Cooking & Clean-up,7.68,18.40,20.19,0.01,2.96,7.45,4.67,80.3,7.40,7.97
"Pets, Home & Vehicles",4.05,20.06,11.60,0.00,1.62,3.63,2.36,36.5,3.76,4.34
Household Management,2.15,24.72,7.61,0.00,0.86,1.88,1.27,33.3,1.98,2.33
Shopping,3.84,18.13,9.95,0.00,1.93,0.16,1.66,45.9,3.58,4.11
Obtaining Services,0.23,21.87,0.70,0.00,0.11,0.12,0.07,4.6,0.17,0.28
Travel for Household Activity,2.58,24.75,9.13,0.00,1.52,0.02,1.00,49.1,2.43,2.73
Household Production,29.10,19.63,81.58,0.02,11.24,21.66,17.30,95.3,28.41,29.78
Household Children,0.04,18.05,0.10,,0.04,0.04,0.00,0.1,,0.07
Household Adults,0.58,17.91,1.49,0.00,0.50,0.37,0.07,8.1,0.45,0.71
Non-Household Members,2.29,18.09,5.92,0.00,2.00,1.04,0.13,18.0,2.02,2.56
Travel for Household Members,0.13,24.75,0.44,0.00,0.11,0.00,0.02,3.1,0.09,0.16
Travel for Non-Household Members,0.58,24.75,2.07,0.00,0.35,0.01,0.18,12.7,0.50,0.67
Caring and Helping,3.62,19.37,10.01,0.00,3.00,1.45,0.39,24.6,3.25,3.99
Eating & Drinking,9.22,18.25,24.05,0.01,7.41,6.82,1.42,98.2,8.90,9.55
Personal Health Care,1.88,17.95,4.83,0.00,0.67,0.99,0.92,19.5,1.66,2.11
Grooming,5.10,18.17,13.25,0.00,,,,78.0,4.96,5.25
Sleeping,61.68,18.58,163.72,,,,,99.9,61.14,62.23
"Private, Personal, or N/A",2.60,20.56,7.63,0.00,0.81,0.92,0.77,31.5,2.41,2.79
Personal Time,80.49,18.56,213.46,0.01,8.89,8.73,3.10,100.0,79.97,81.00
Socializing,6.37,20.35,18.53,0.00,4.76,3.46,0.75,50.5,5.99,6.75
Passive Leisure,38.00,17.40,94.44,0.02,22.35,36.60,15.33,97.4,36.91,39.09
Active Leisure,2.02,17.40,5.03,0.00,0.84,0.49,0.75,22.1,1.69,2.35
Attendance Leisure,0.96,17.40,2.38,0.00,0.69,0.06,0.10,5.3,0.71,1.21
Religious Activities,1.65,23.41,5.53,0.00,0.90,0.54,0.50,16.3,1.52,1.79
Volunteering,1.89,23.41,6.32,0.00,0.49,0.70,0.73,11.1,1.61,2.17
Travel Related to Leisure,3.15,24.75,11.15,0.00,2.24,0.03,0.75,51.4,2.83,3.48
Leisure,54.05,18.57,143.37,0.02,32.27,41.88,18.90,99.4,53.31,54.78
Working at Job,0.65,18.02,1.68,0.00,0.06,0.27,0.19,2.1,0.47,0.83
Educational Activities,0.04,23.41,0.12,0.00,0.01,0.03,0.02,0.2,,0.07
Commuting to Work or School,0.06,24.75,0.22,0.00,0.02,0.00,0.04,2.0,0.04,0.08
Work and Education,0.75,18.85,2.02,0.00,0.08,0.30,0.25,3.2,0.56,0.94
Total,168.00,18.77,450.45,0.06,55.49,74.02,39.95,,,
