time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.47,18.31,3.84,0.20,0.30,1.40,1.06,18.1,0.95,1.98
Food Cooking & Clean-up,1.04,18.40,2.73,0.36,0.35,0.93,0.44,26.7,0.64,1.43
"Pets, Home & Vehicles",1.38,20.06,3.96,0.27,0.35,1.15,0.68,15.1,0.78,1.99
Household Management,0.74,24.72,2.61,0.02,0.32,0.53,0.23,17.5,0.26,1.22
Shopping,1.71,18.13,4.42,0.16,0.44,0.10,0.37,34.7,1.17,2.25
Obtaining Services,0.21,21.87,0.67,0.01,0.01,0.00,0.18,2.0,,0.44
Travel for Household Activity,1.80,24.75,6.37,0.09,0.34,0.03,0.58,38.9,1.08,2.53
Household Production,8.35,20.62,24.60,1.10,2.12,4.15,3.53,67.8,6.86,9.84
Household Children,0.74,18.05,1.90,,0.47,0.56,0.02,13.2,0.47,1.01
Household Adults,0.13,17.91,0.32,0.01,0.11,0.05,0.01,4.6,0.02,0.24
Non-Household Members,0.71,18.09,1.84,0.02,0.38,0.09,0.02,18.1,0.27,1.16
Travel for Household Members,0.36,24.75,1.28,0.00,0.16,0.00,0.11,9.5,0.15,0.58
Travel for Non-Household Members,0.65,24.75,2.29,0.02,0.11,0.01,0.25,16.8,0.37,0.93
Caring and Helping,2.58,20.68,7.63,0.05,1.23,0.71,0.41,30.0,1.61,3.56
Eating & Drinking,5.82,18.25,15.18,0.63,2.04,2.82,1.29,94.4,5.00,6.65
Personal Health Care,0.35,17.95,0.91,0.00,0.08,0.00,0.13,4.0,,0.73
Grooming,4.44,18.17,11.52,0.26,,,,83.6,3.84,5.04
Sleeping,63.22,18.58,167.80,,,,,99.8,59.86,66.58
"Private, Personal, or N/A",2.01,20.56,5.89,0.09,0.14,0.92,1.25,25.8,1.33,2.69
Personal Time,75.84,18.58,201.31,0.98,2.26,3.75,2.67,100.0,72.83,78.86
Socializing,7.28,20.35,21.16,0.36,1.19,1.73,0.44,54.5,5.47,9.09
Passive Leisure,25.39,17.40,63.11,2.32,3.44,21.88,16.21,88.1,21.29,29.50
Active Leisure,3.52,17.40,8.76,0.33,0.50,0.71,0.94,26.5,2.68,4.36
Attendance Leisure,2.50,17.40,6.22,0.01,0.23,0.02,0.71,12.9,1.25,3.76
Religious Activities,0.93,23.41,3.12,0.09,0.30,0.06,0.16,5.6,0.28,1.59
Volunteering,1.24,23.41,4.15,0.04,0.15,0.08,0.13,5.5,0.17,2.31
Travel Related to Leisure,3.74,24.75,13.22,0.12,0.52,0.04,1.41,66.1,2.47,5.01
Leisure,44.61,18.79,119.75,3.27,6.33,24.52,20.01,96.9,40.67,48.55
Working at Job,19.26,12.83,35.29,0.10,0.52,0.65,1.10,47.0,13.56,24.95
Educational Activities,15.02,23.41,50.23,0.83,0.20,3.87,3.43,37.7,10.94,19.11
Commuting to Work or School,2.33,24.75,8.24,0.06,0.42,0.02,1.46,59.1,1.83,2.83
Work and Education,36.61,17.93,93.76,0.98,1.14,4.54,6.00,74.3,32.39,40.83
Total,168.00,18.63,447.05,6.39,13.08,37.67,32.62,,,
