time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,7.59,18.31,19.84,0.00,1.37,7.26,6.14,61.3,6.65,8.52
Food Cooking & Clean-up,6.53,18.40,17.17,0.00,2.32,6.32,4.15,78.8,5.79,7.28
"Pets, Home & Vehicles",4.71,20.06,13.49,0.00,1.49,4.14,3.19,41.0,4.00,5.42
Household Management,1.92,24.72,6.80,0.00,0.59,1.67,1.30,33.7,1.58,2.27
Shopping,3.41,18.13,8.83,0.00,1.37,0.10,1.89,45.0,2.88,3.93
Obtaining Services,0.31,21.87,0.97,0.00,0.16,0.23,0.10,4.9,0.12,0.50
Travel for Household Activity,2.28,24.75,8.08,0.00,1.04,0.02,1.21,49.5,1.91,2.66
Household Production,26.76,19.67,75.18,0.00,8.34,19.74,17.98,95.0,24.93,28.58
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.45,17.91,1.15,0.00,0.26,0.18,0.09,6.6,,0.94
Non-Household Members,2.73,18.09,7.07,0.00,2.31,1.28,0.16,19.3,2.11,3.36
Travel for Household Members,0.25,24.75,0.90,0.00,0.17,0.01,0.06,4.1,0.06,0.45
Travel for Non-Household Members,0.74,24.75,2.62,0.00,0.41,0.00,0.29,13.7,0.56,0.93
Caring and Helping,4.18,19.66,11.75,0.00,3.15,1.47,0.60,24.7,3.33,5.03
Eating & Drinking,8.51,18.25,22.17,0.00,5.80,5.73,1.92,97.1,8.10,8.91
Personal Health Care,1.66,17.95,4.24,0.00,0.29,0.86,1.11,15.8,1.06,2.25
Grooming,5.51,18.17,14.29,0.00,,,,83.2,5.03,5.98
Sleeping,59.33,18.58,157.47,,,,,100.0,58.62,60.03
"Private, Personal, or N/A",2.05,20.56,6.03,0.00,0.49,0.68,0.82,29.8,1.73,2.38
Personal Time,77.05,18.55,204.21,0.00,6.58,7.27,3.85,100.0,75.87,78.22
Socializing,6.04,20.35,17.55,0.00,4.48,3.01,0.65,50.7,5.24,6.83
Passive Leisure,24.97,17.40,62.05,0.00,13.43,23.62,11.22,92.7,23.69,26.24
Active Leisure,1.97,17.40,4.89,0.00,0.68,0.40,0.95,22.0,1.64,2.30
Attendance Leisure,0.78,17.40,1.93,0.00,0.54,0.02,0.06,4.5,0.51,1.05
Religious Activities,1.32,23.41,4.41,0.00,0.78,0.29,0.32,14.6,1.07,1.56
Volunteering,1.80,23.41,6.01,0.00,0.38,0.87,0.88,12.1,1.31,2.29
Travel Related to Leisure,2.97,24.75,10.50,0.00,1.80,0.02,1.06,52.0,2.57,3.37
Leisure,39.83,18.86,107.35,0.00,22.09,28.23,15.14,98.7,37.86,41.81
Working at Job,18.52,20.02,52.97,0.00,1.45,4.12,4.50,50.1,16.74,20.30
Educational Activities,0.26,23.41,0.87,0.00,0.00,0.21,0.26,0.6,,0.55
Commuting to Work or School,1.40,24.75,4.94,0.00,0.10,0.02,1.25,35.6,1.13,1.67
Work and Education,20.18,20.39,58.79,0.00,1.55,4.35,6.01,51.2,18.34,22.02
Total,168.00,19.05,457.27,0.00,41.71,61.06,43.57,,,
