time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,6.40,18.31,16.74,1.36,1.85,6.24,4.41,51.1,6.31,6.49
Food Cooking & Clean-up,5.84,18.40,15.35,1.57,2.31,5.66,3.35,70.4,5.71,5.98
"Pets, Home & Vehicles",2.47,20.06,7.08,0.28,0.82,2.10,1.54,28.3,2.39,2.55
Household Management,1.42,24.72,5.02,0.18,0.48,1.15,0.86,27.0,1.38,1.46
Shopping,3.09,18.13,8.00,0.51,1.50,0.11,1.25,43.5,2.96,3.21
Obtaining Services,0.16,21.87,0.49,0.02,0.05,0.08,0.06,3.4,0.15,0.17
Travel for Household Activity,2.21,24.75,7.81,0.33,1.05,0.02,0.97,46.8,2.14,2.28
Household Production,21.59,19.62,60.50,4.26,8.07,15.35,12.45,90.7,21.44,21.74
Household Children,3.95,18.05,10.19,,3.73,3.21,0.12,25.6,3.89,4.01
Household Adults,0.33,17.91,0.85,0.03,0.27,0.21,0.04,6.1,0.31,0.36
Non-Household Members,1.19,18.09,3.07,0.08,0.92,0.45,0.11,12.9,1.14,1.24
Travel for Household Members,0.73,24.75,2.57,0.02,0.51,0.01,0.20,15.8,0.67,0.78
Travel for Non-Household Members,0.44,24.75,1.54,0.04,0.21,0.00,0.15,10.0,0.40,0.47
Caring and Helping,6.63,19.23,18.21,0.17,5.64,3.90,0.61,39.6,6.49,6.78
Eating & Drinking,7.58,18.25,19.76,1.35,4.41,4.94,1.99,95.7,7.51,7.65
Personal Health Care,1.35,17.95,3.46,0.08,0.34,0.70,0.77,13.4,1.29,1.41
Grooming,5.41,18.17,14.05,0.62,,,,82.0,5.30,5.52
Sleeping,61.66,18.58,163.67,,,,,99.9,61.28,62.05
"Private, Personal, or N/A",2.29,20.56,6.72,0.35,0.60,0.90,0.88,27.9,2.23,2.34
Personal Time,78.29,18.57,207.65,2.40,5.35,6.55,3.64,100.0,78.05,78.54
Socializing,5.67,20.35,16.48,0.97,3.69,2.71,0.67,44.8,5.45,5.89
Passive Leisure,25.88,17.40,64.32,2.90,10.81,24.36,13.62,90.5,25.23,26.52
Active Leisure,1.64,17.40,4.07,0.24,0.59,0.42,0.65,17.6,1.54,1.73
Attendance Leisure,0.82,17.40,2.03,0.15,0.49,0.05,0.09,4.5,0.72,0.92
Religious Activities,1.13,23.41,3.79,0.17,0.55,0.34,0.38,10.7,1.07,1.20
Volunteering,0.99,23.41,3.30,0.11,0.28,0.31,0.31,6.6,0.92,1.05
Travel Related to Leisure,2.57,24.75,9.10,0.37,1.38,0.03,0.84,47.0,2.38,2.76
Leisure,38.69,18.65,103.08,4.92,17.80,28.22,16.56,97.2,38.48,38.91
Working at Job,19.58,24.62,68.86,0.47,0.56,2.63,3.51,38.8,19.35,19.80
Educational Activities,1.61,23.41,5.39,0.08,0.13,0.81,0.91,5.0,1.49,1.73
Commuting to Work or School,1.61,24.75,5.68,0.03,0.13,0.02,1.39,33.3,1.50,1.71
Work and Education,22.80,24.55,79.94,0.58,0.82,3.45,5.80,43.0,22.53,23.06
Total,168.00,19.56,469.38,12.33,37.67,57.46,39.07,,,
