time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.87,18.31,4.90,0.00,0.30,1.78,1.52,16.5,0.75,3.00
Food Cooking & Clean-up,1.56,18.40,4.10,0.00,0.42,1.48,0.79,29.1,0.99,2.13
"Pets, Home & Vehicles",3.34,20.06,9.58,0.00,1.38,2.58,1.34,25.0,2.13,4.56
Household Management,0.45,24.72,1.58,0.00,0.13,0.36,0.25,12.9,0.23,0.67
Shopping,1.12,18.13,2.91,0.00,0.35,0.01,0.41,25.7,0.69,1.55
Obtaining Services,0.01,21.87,0.03,0.00,0.01,0.00,0.00,0.1,,0.03
Travel for Household Activity,0.89,24.75,3.14,0.00,0.27,0.02,0.36,29.9,0.59,1.19
Household Production,9.24,19.87,26.23,0.00,2.86,6.23,4.67,64.0,7.16,11.32
Household Children,0.12,18.05,0.31,,0.08,0.06,0.01,5.4,0.02,0.22
Household Adults,0.13,17.91,0.34,0.00,0.01,0.01,0.00,1.7,,0.34
Non-Household Members,1.01,18.09,2.61,0.00,0.22,0.27,0.01,13.3,0.25,1.77
Travel for Household Members,0.16,24.75,0.55,0.00,0.04,0.00,0.06,4.9,0.06,0.25
Travel for Non-Household Members,0.56,24.75,1.98,0.00,0.20,0.01,0.19,11.4,0.24,0.87
Caring and Helping,1.98,20.48,5.79,0.00,0.56,0.35,0.27,18.9,1.07,2.89
Eating & Drinking,5.97,18.25,15.56,0.00,2.40,3.59,1.65,94.4,5.26,6.67
Personal Health Care,0.15,17.95,0.38,0.00,0.06,0.04,0.04,3.1,0.03,0.27
Grooming,3.64,18.17,9.44,0.00,,,,73.4,3.16,4.12
Sleeping,66.06,18.58,175.33,,,,,100.0,63.20,68.91
"Private, Personal, or N/A",4.42,20.56,12.99,0.00,0.19,2.25,2.93,21.0,1.32,7.52
Personal Time,80.23,18.64,213.70,0.00,2.65,5.89,4.61,100.0,77.11,83.36
Socializing,8.17,20.35,23.76,0.00,3.13,3.67,1.21,49.6,5.87,10.48
Passive Leisure,31.16,17.40,77.45,0.00,5.79,27.58,18.23,93.4,27.35,34.97
Active Leisure,5.87,17.40,14.58,0.00,0.87,1.23,0.99,33.9,4.35,7.39
Attendance Leisure,0.62,17.40,1.55,0.00,0.11,0.00,0.00,3.6,0.25,1.00
Religious Activities,0.44,23.41,1.47,0.00,0.30,0.12,0.02,5.0,0.16,0.72
Volunteering,0.92,23.41,3.08,0.00,0.09,0.02,0.15,3.2,0.01,1.83
Travel Related to Leisure,2.88,24.75,10.18,0.00,0.72,0.04,0.88,60.7,2.13,3.63
Leisure,50.06,18.47,132.07,0.00,11.01,32.66,21.48,99.2,45.58,54.55
Working at Job,9.09,16.09,20.89,0.00,0.25,0.32,0.24,21.0,4.03,14.15
Educational Activities,15.28,23.41,51.11,0.00,0.46,2.95,3.29,35.5,10.49,20.07
Commuting to Work or School,2.10,24.75,7.44,0.00,0.14,0.07,1.35,45.0,1.52,2.69
Work and Education,26.48,21.00,79.44,0.00,0.85,3.34,4.88,51.0,20.62,32.34
Total,168.00,19.05,457.23,0.00,17.93,48.47,35.91,,,
