time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,8.53,18.31,22.31,3.07,3.18,8.45,5.26,58.7,7.06,9.99
Food Cooking & Clean-up,8.47,18.40,22.26,3.86,3.94,8.38,4.45,78.9,7.77,9.18
"Pets, Home & Vehicles",1.38,20.06,3.95,0.43,0.61,1.25,0.67,19.4,1.02,1.74
Household Management,1.11,24.72,3.92,0.35,0.60,0.86,0.50,18.1,0.69,1.53
Shopping,2.75,18.13,7.12,0.88,1.90,0.06,0.71,38.1,2.17,3.33
Obtaining Services,0.10,21.87,0.31,0.02,0.07,0.04,0.03,2.7,0.02,0.18
Travel for Household Activity,1.84,24.75,6.50,0.65,1.32,0.02,0.46,40.3,1.45,2.23
Household Production,24.18,19.22,66.38,9.26,11.62,19.05,12.08,90.8,21.48,26.87
Household Children,10.27,18.05,26.47,,9.75,8.83,0.32,62.4,8.75,11.78
Household Adults,0.41,17.91,1.04,0.07,0.36,0.20,0.03,11.7,0.19,0.62
Non-Household Members,1.29,18.09,3.34,0.20,1.18,0.83,0.05,12.2,0.74,1.84
Travel for Household Members,1.47,24.75,5.21,0.08,1.06,0.02,0.37,30.2,1.18,1.76
Travel for Non-Household Members,0.35,24.75,1.23,0.07,0.25,0.01,0.08,8.0,0.20,0.49
Caring and Helping,13.79,18.94,37.29,0.42,12.60,9.88,0.84,68.8,12.09,15.48
Eating & Drinking,6.57,18.25,17.12,2.86,5.42,5.59,0.99,94.5,6.00,7.13
Personal Health Care,4.19,17.95,10.73,0.67,1.84,2.72,2.18,25.5,2.09,6.28
Grooming,4.18,18.17,10.85,1.20,,,,71.7,3.80,4.56
Sleeping,66.66,18.58,176.94,,,,,99.8,64.94,68.39
"Private, Personal, or N/A",2.45,20.56,7.18,0.98,1.03,1.01,0.45,29.2,1.82,3.07
Personal Time,84.04,18.56,222.83,5.71,8.30,9.32,3.63,100.0,81.39,86.69
Socializing,6.23,20.35,18.12,2.71,5.30,3.41,0.55,42.9,4.67,7.79
Passive Leisure,32.62,17.40,81.08,10.30,20.50,31.81,11.64,93.4,30.18,35.06
Active Leisure,0.84,17.40,2.09,0.30,0.33,0.32,0.42,7.7,0.48,1.20
Attendance Leisure,0.47,17.40,1.16,0.16,0.42,0.03,0.04,2.8,0.18,0.75
Religious Activities,1.36,23.41,4.55,0.41,0.82,0.47,0.38,10.6,0.95,1.78
Volunteering,0.66,23.41,2.21,0.13,0.22,0.26,0.24,4.4,0.38,0.95
Travel Related to Leisure,1.89,24.75,6.67,0.77,1.54,0.02,0.25,37.4,1.53,2.24
Leisure,44.07,18.41,115.88,14.77,29.15,36.33,13.52,97.5,41.60,46.55
Working at Job,1.49,20.48,4.36,0.06,0.33,0.06,0.28,3.9,0.61,2.38
Educational Activities,0.27,23.41,0.89,0.10,0.03,0.20,0.17,0.7,,0.62
Commuting to Work or School,0.17,24.75,0.59,0.05,0.05,0.00,0.12,3.4,0.05,0.28
Work and Education,1.92,21.26,5.85,0.21,0.40,0.25,0.57,5.1,0.94,2.90
Total,168.00,18.68,448.23,30.36,62.06,74.84,30.65,,,
