time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,7.95,18.31,20.81,4.65,4.37,7.76,3.42,60.2,6.34,9.57
Food Cooking & Clean-up,7.53,18.40,19.79,5.56,4.32,7.36,3.13,76.1,6.37,8.69
"Pets, Home & Vehicles",2.21,20.06,6.33,1.57,1.49,1.94,0.72,22.0,1.33,3.09
Household Management,1.20,24.72,4.23,0.76,0.80,0.94,0.31,24.7,0.61,1.78
Shopping,3.95,18.13,10.23,2.18,3.10,0.15,0.71,43.7,2.85,5.05
Obtaining Services,0.09,21.87,0.27,0.08,0.08,0.07,0.01,2.6,0.01,0.17
Travel for Household Activity,2.10,24.75,7.41,1.20,1.65,0.00,0.37,47.0,1.53,2.66
Household Production,25.03,19.32,69.08,16.00,15.81,18.22,8.67,95.4,21.67,28.38
Household Children,13.74,18.05,35.44,,13.19,11.40,0.25,79.4,11.01,16.48
Household Adults,0.04,17.91,0.11,0.03,0.04,0.03,0.00,4.7,0.01,0.08
Non-Household Members,0.67,18.09,1.73,0.29,0.63,0.23,0.01,9.2,0.09,1.25
Travel for Household Members,1.81,24.75,6.39,0.10,1.39,0.01,0.37,41.5,1.27,2.34
Travel for Non-Household Members,0.19,24.75,0.68,0.10,0.11,0.00,0.03,8.4,0.09,0.29
Caring and Helping,16.46,18.87,44.36,0.52,15.37,11.68,0.66,81.8,13.29,19.62
Eating & Drinking,7.27,18.25,18.94,4.73,5.66,5.16,1.18,96.7,6.64,7.89
Personal Health Care,0.37,17.95,0.96,0.07,0.11,0.23,0.20,5.9,0.09,0.66
Grooming,5.29,18.17,13.74,1.92,,,,81.8,3.48,7.11
Sleeping,61.21,18.58,162.45,,,,,100.0,59.07,63.34
"Private, Personal, or N/A",3.54,20.56,10.41,1.94,1.35,1.86,0.89,28.1,2.08,5.01
Personal Time,77.68,18.61,206.50,8.67,7.12,7.25,2.26,100.0,74.64,80.73
Socializing,5.11,20.35,14.86,3.63,4.27,2.51,0.26,38.1,3.41,6.81
Passive Leisure,15.69,17.40,38.99,8.52,11.19,15.04,4.16,79.8,13.65,17.73
Active Leisure,1.13,17.40,2.80,0.74,0.77,0.28,0.21,12.1,0.68,1.57
Attendance Leisure,1.07,17.40,2.66,0.59,0.73,0.08,0.08,4.7,0.39,1.75
Religious Activities,0.93,23.41,3.10,0.57,0.77,0.17,0.08,6.6,0.44,1.41
Volunteering,0.72,23.41,2.39,0.21,0.16,0.24,0.36,6.4,0.20,1.23
Travel Related to Leisure,1.88,24.75,6.65,1.19,1.37,0.01,0.37,37.1,1.28,2.48
Leisure,26.52,18.86,71.46,15.45,19.26,18.33,5.51,92.0,23.34,29.70
Working at Job,4.88,21.40,14.91,0.13,0.09,0.31,0.37,9.6,1.89,7.87
Educational Activities,16.10,23.41,53.82,3.36,4.12,8.61,6.57,44.7,10.06,22.13
Commuting to Work or School,1.34,24.75,4.73,0.04,0.09,0.00,1.21,29.1,0.92,1.76
Work and Education,22.32,23.05,73.47,3.53,4.31,8.92,8.15,54.2,16.48,28.15
Total,168.00,19.37,464.87,44.16,61.86,64.40,25.25,,,
