time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,8.65,18.31,22.62,0.12,1.28,8.33,7.30,53.9,6.87,10.42
Food Cooking & Clean-up,6.24,18.40,16.39,0.22,1.59,6.17,4.61,68.1,5.37,7.10
"Pets, Home & Vehicles",2.65,20.06,7.59,0.00,0.67,2.29,1.91,34.3,2.02,3.28
Household Management,0.97,24.72,3.42,0.00,0.20,0.80,0.73,21.7,0.72,1.21
Shopping,2.58,18.13,6.68,0.01,1.28,0.13,0.91,34.9,1.85,3.30
Obtaining Services,0.18,21.87,0.55,0.00,0.05,0.16,0.11,3.6,0.04,0.31
Travel for Household Activity,2.00,24.75,7.06,0.00,1.13,0.00,0.70,36.8,1.52,2.48
Household Production,23.25,19.36,64.30,0.35,6.19,17.88,16.27,88.4,20.35,26.15
Household Children,0.36,18.05,0.93,,0.35,0.33,0.01,2.3,0.05,0.67
Household Adults,0.32,17.91,0.82,0.01,0.22,0.09,0.08,7.3,0.10,0.54
Non-Household Members,2.62,18.09,6.77,0.00,2.09,0.85,0.27,16.9,1.55,3.69
Travel for Household Members,0.28,24.75,1.01,0.00,0.26,0.00,0.03,4.2,0.08,0.49
Travel for Non-Household Members,0.64,24.75,2.27,0.00,0.44,0.00,0.19,11.6,0.33,0.95
Caring and Helping,4.23,19.53,11.79,0.01,3.36,1.28,0.57,24.1,2.97,5.48
Eating & Drinking,6.90,18.25,17.99,0.10,4.46,5.67,2.19,95.4,6.10,7.71
Personal Health Care,5.35,17.95,13.71,0.01,1.37,4.19,3.49,37.7,3.84,6.85
Grooming,4.53,18.17,11.75,0.11,,,,70.9,3.76,5.30
Sleeping,67.42,18.58,178.94,,,,,99.9,64.79,70.04
"Private, Personal, or N/A",2.69,20.56,7.90,0.22,0.49,0.81,0.94,27.7,1.81,3.57
Personal Time,86.88,18.55,230.29,0.43,6.32,10.67,6.62,100.0,84.41,89.35
Socializing,5.88,20.35,17.10,0.28,4.27,3.80,1.13,49.3,4.58,7.19
Passive Leisure,40.66,17.40,101.05,0.51,18.20,39.76,21.76,95.4,36.01,45.31
Active Leisure,0.67,17.40,1.66,0.00,0.20,0.30,0.42,8.5,0.37,0.97
Attendance Leisure,0.38,17.40,0.95,0.00,0.26,0.19,0.11,2.4,0.11,0.66
Religious Activities,0.93,23.41,3.11,0.01,0.46,0.47,0.41,8.6,0.57,1.29
Volunteering,0.72,23.41,2.42,0.00,0.19,0.29,0.28,4.7,0.32,1.13
Travel Related to Leisure,1.99,24.75,7.03,0.01,1.18,0.03,0.40,33.4,1.36,2.61
Leisure,51.23,18.22,133.32,0.81,24.76,44.85,24.52,98.6,47.76,54.70
Working at Job,1.68,0.00,0.00,0.01,0.15,0.55,0.45,5.3,0.68,2.67
Educational Activities,0.55,23.41,1.86,0.00,0.00,0.55,0.55,1.2,,1.37
Commuting to Work or School,0.18,24.75,0.65,0.00,0.03,0.00,0.13,3.4,,0.38
Work and Education,2.41,7.26,2.50,0.01,0.18,1.10,1.13,7.0,1.08,3.75
Total,168.00,18.43,442.20,1.60,40.83,75.78,49.11,,,
