time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.92,18.31,5.01,0.00,0.83,1.81,1.08,22.1,1.72,2.11
Food Cooking & Clean-up,2.93,18.40,7.69,0.00,1.52,2.84,1.39,46.9,2.72,3.13
"Pets, Home & Vehicles",10.49,20.06,30.06,0.00,1.98,9.57,8.27,53.4,9.92,11.06
Household Management,1.83,24.72,6.45,0.00,0.66,1.51,1.13,29.5,1.55,2.10
Shopping,2.86,18.13,7.42,0.00,1.74,0.11,1.05,41.4,2.70,3.03
Obtaining Services,0.37,21.87,1.14,0.00,0.11,0.24,0.10,5.2,0.25,0.48
Travel for Household Activity,2.49,24.75,8.82,0.00,1.28,0.03,1.13,46.9,2.31,2.67
Household Production,22.88,20.37,66.58,0.01,8.12,16.12,14.15,86.9,22.12,23.64
Household Children,0.02,18.05,0.05,,0.02,0.02,0.00,0.2,,0.04
Household Adults,0.45,17.91,1.16,0.00,0.38,0.22,0.07,6.8,0.33,0.58
Non-Household Members,1.98,18.09,5.12,0.00,1.57,0.84,0.21,14.3,1.67,2.29
Travel for Household Members,0.17,24.75,0.60,0.00,0.12,0.00,0.04,3.8,0.13,0.21
Travel for Non-Household Members,0.49,24.75,1.72,0.00,0.28,0.00,0.17,10.3,0.43,0.55
Caring and Helping,3.11,19.46,8.65,0.00,2.38,1.08,0.49,20.2,2.78,3.44
Eating & Drinking,9.98,18.25,26.03,0.01,7.64,7.65,1.93,97.8,9.69,10.28
Personal Health Care,1.33,17.95,3.42,0.00,0.48,0.73,0.74,15.2,1.07,1.59
Grooming,3.23,18.17,8.38,0.00,,,,64.7,3.12,3.34
Sleeping,62.00,18.58,164.55,,,,,99.9,61.52,62.47
"Private, Personal, or N/A",2.36,20.56,6.92,0.00,0.65,0.83,0.81,25.3,2.08,2.63
Personal Time,78.90,18.57,209.30,0.01,8.76,9.21,3.48,100.0,78.29,79.51
Socializing,5.28,20.35,15.34,0.00,4.22,2.52,0.23,40.0,4.74,5.81
Passive Leisure,45.43,17.40,112.90,0.02,25.07,44.18,20.10,97.7,44.16,46.69
Active Leisure,3.68,17.40,9.15,0.00,1.06,0.71,1.59,26.8,3.38,3.99
Attendance Leisure,0.82,17.40,2.04,0.00,0.62,0.05,0.09,4.5,0.62,1.02
Religious Activities,1.13,23.41,3.79,0.00,0.77,0.32,0.25,9.7,1.00,1.27
Volunteering,1.78,23.41,5.96,0.00,0.38,0.61,0.78,9.3,1.45,2.12
Travel Related to Leisure,3.43,24.75,12.11,0.00,2.16,0.07,1.10,51.2,3.05,3.80
Leisure,61.55,18.35,161.30,0.03,34.28,48.46,24.14,99.5,60.73,62.36
Working at Job,1.39,23.09,4.58,0.00,0.09,0.42,0.44,4.0,1.11,1.67
Educational Activities,0.04,23.41,0.12,0.00,0.00,0.04,0.04,0.1,,0.08
Commuting to Work or School,0.14,24.75,0.49,0.00,0.02,0.00,0.12,2.9,0.10,0.18
Work and Education,1.56,23.25,5.20,0.00,0.10,0.46,0.59,4.9,1.25,1.88
Total,168.00,18.79,451.02,0.04,53.65,75.34,42.85,,,
