time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,11.17,18.31,29.22,0.00,1.46,11.15,9.67,70.7,8.96,13.38
Food Cooking & Clean-up,9.82,18.40,25.82,0.00,2.89,9.69,6.76,84.3,8.41,11.23
"Pets, Home & Vehicles",5.98,20.06,17.13,0.00,1.54,5.39,4.38,45.4,4.71,7.24
Household Management,1.81,24.72,6.41,0.00,0.39,1.60,1.40,31.0,1.22,2.41
Shopping,4.77,18.13,12.35,0.00,2.26,0.21,2.11,49.5,3.89,5.64
Obtaining Services,0.30,21.87,0.95,0.00,0.17,0.18,0.11,6.4,0.10,0.51
Travel for Household Activity,2.78,24.75,9.83,0.00,1.44,0.03,1.25,50.6,2.11,3.45
Household Production,36.64,19.43,101.70,0.00,10.15,28.23,25.67,97.1,33.83,39.44
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.30,17.91,0.76,0.00,0.26,0.18,0.04,10.4,0.12,0.47
Non-Household Members,3.69,18.09,9.53,0.00,2.72,1.74,0.77,21.5,2.27,5.11
Travel for Household Members,0.11,24.75,0.38,0.00,0.09,0.00,0.01,3.4,0.02,0.19
Travel for Non-Household Members,0.59,24.75,2.10,0.00,0.35,0.00,0.19,14.2,0.34,0.85
Caring and Helping,4.69,19.07,12.77,0.00,3.43,1.92,1.01,28.7,3.11,6.27
Eating & Drinking,8.98,18.25,23.40,0.00,6.44,7.04,2.24,97.0,8.31,9.64
Personal Health Care,1.42,17.95,3.64,0.00,0.36,0.47,0.61,15.3,0.86,1.98
Grooming,5.35,18.17,13.89,0.00,,,,81.9,4.87,5.82
Sleeping,61.05,18.58,162.05,,,,,100.0,59.60,62.51
"Private, Personal, or N/A",2.47,20.56,7.26,0.00,0.58,0.89,0.92,29.7,1.83,3.11
Personal Time,79.27,18.56,210.23,0.00,7.38,8.40,3.77,100.0,77.36,81.18
Socializing,7.27,20.35,21.14,0.00,4.68,4.31,1.10,54.8,6.07,8.48
Passive Leisure,29.44,17.40,73.17,0.00,14.02,28.82,15.14,95.3,27.19,31.69
Active Leisure,2.15,17.40,5.35,0.00,0.74,0.77,1.01,20.0,1.38,2.92
Attendance Leisure,0.46,17.40,1.13,0.00,0.33,0.08,0.08,3.7,0.16,0.75
Religious Activities,1.42,23.41,4.75,0.00,0.66,0.40,0.51,14.9,0.99,1.85
Volunteering,1.83,23.41,6.13,0.00,0.44,0.80,0.65,10.1,0.92,2.75
Travel Related to Leisure,2.32,24.75,8.20,0.00,1.41,0.06,0.68,44.4,1.72,2.92
Leisure,44.89,18.69,119.87,0.00,22.29,35.24,19.15,99.3,42.25,47.53
Working at Job,2.32,0.00,0.00,0.00,0.12,0.74,0.90,6.2,1.17,3.47
Educational Activities,0.00,23.41,0.00,0.00,0.00,0.00,0.00,0.0,,
Commuting to Work or School,0.20,24.75,0.71,0.00,0.05,0.00,0.13,5.2,0.08,0.32
Work and Education,2.52,1.97,0.71,0.00,0.17,0.74,1.03,7.9,1.31,3.72
Total,168.00,18.55,445.28,0.00,43.42,74.52,50.64,,,
