time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,3.50,18.31,9.16,0.07,0.27,3.24,3.07,33.3,2.58,4.42
Food Cooking & Clean-up,2.87,18.40,7.55,0.11,0.32,2.62,2.24,56.5,2.35,3.40
"Pets, Home & Vehicles",1.63,20.06,4.67,0.02,0.05,1.24,1.42,22.4,1.13,2.13
Household Management,1.06,24.72,3.74,0.00,0.24,0.56,0.66,25.0,0.63,1.49
Shopping,2.52,18.13,6.53,0.02,0.59,0.12,1.46,42.0,2.07,2.97
Obtaining Services,0.08,21.87,0.23,0.00,0.00,0.03,0.04,2.7,0.02,0.13
Travel for Household Activity,2.07,24.75,7.31,0.03,0.27,0.01,1.40,46.8,1.68,2.45
Household Production,13.73,19.99,39.20,0.26,1.74,7.82,10.29,84.8,11.96,15.49
Household Children,0.43,18.05,1.10,,0.42,0.29,0.00,3.1,0.16,0.70
Household Adults,0.01,17.91,0.02,0.00,0.00,0.00,0.01,0.7,,0.02
Non-Household Members,1.25,18.09,3.23,0.01,0.89,0.31,0.09,17.0,0.68,1.82
Travel for Household Members,0.15,24.75,0.53,0.00,0.08,0.01,0.07,2.5,0.01,0.29
Travel for Non-Household Members,0.61,24.75,2.16,0.02,0.12,0.00,0.24,12.2,0.36,0.87
Caring and Helping,2.45,20.15,7.04,0.03,1.51,0.61,0.41,20.6,1.63,3.26
Eating & Drinking,6.49,18.25,16.91,0.15,1.08,3.29,3.20,93.1,5.95,7.03
Personal Health Care,0.79,17.95,2.03,0.00,0.05,0.24,0.47,10.0,0.48,1.10
Grooming,5.76,18.17,14.95,0.09,,,,83.9,5.25,6.27
Sleeping,64.06,18.58,170.03,,,,,100.0,61.66,66.46
"Private, Personal, or N/A",2.63,20.56,7.72,0.05,0.20,1.37,1.71,29.9,1.86,3.39
Personal Time,79.73,18.58,211.64,0.30,1.33,4.90,5.38,100.0,77.55,81.90
Socializing,6.86,20.35,19.93,0.07,2.30,2.33,0.89,46.5,5.09,8.62
Passive Leisure,22.76,17.40,56.57,0.49,1.62,19.24,17.35,88.6,20.29,25.23
Active Leisure,1.90,17.40,4.71,0.05,0.10,0.24,0.94,19.5,1.38,2.41
Attendance Leisure,0.96,17.40,2.38,0.16,0.26,0.10,0.08,6.5,0.54,1.38
Religious Activities,0.82,23.41,2.73,0.01,0.05,0.14,0.40,6.8,0.38,1.26
Volunteering,0.76,23.41,2.54,0.01,0.06,0.10,0.17,5.4,0.33,1.19
Travel Related to Leisure,3.60,24.75,12.73,0.02,0.66,0.05,1.88,58.5,2.88,4.32
Leisure,37.65,18.89,101.60,0.81,5.05,22.20,21.71,96.8,35.09,40.21
Working at Job,22.91,16.95,55.50,0.07,0.28,2.91,4.66,53.2,20.22,25.61
Educational Activities,9.09,23.41,30.39,0.00,0.06,3.35,5.04,24.2,6.50,11.68
Commuting to Work or School,2.45,24.75,8.65,0.00,0.02,0.03,2.08,51.0,1.87,3.02
Work and Education,34.45,19.21,94.54,0.07,0.36,6.29,11.78,68.6,31.16,37.74
Total,168.00,18.92,454.03,1.47,10.00,41.82,49.59,,,
