time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,11.23,18.31,29.37,0.00,2.51,10.92,8.35,70.9,9.61,12.84
Food Cooking & Clean-up,9.15,18.40,24.06,0.00,2.80,8.92,6.22,83.3,8.11,10.20
"Pets, Home & Vehicles",5.00,20.06,14.34,0.00,1.40,4.53,3.37,43.5,3.74,6.27
Household Management,1.63,24.72,5.77,0.00,0.67,1.21,0.90,26.6,1.12,2.15
Shopping,4.00,18.13,10.35,0.00,2.24,0.04,1.63,47.8,3.31,4.69
Obtaining Services,0.40,21.87,1.24,0.00,0.09,0.16,0.18,8.8,0.18,0.62
Travel for Household Activity,2.63,24.75,9.29,0.00,1.45,0.01,1.11,51.8,2.18,3.08
Household Production,34.04,19.42,94.42,0.00,11.16,25.80,21.75,97.4,31.53,36.55
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,1.11,17.91,2.84,0.00,0.80,0.82,0.09,13.8,0.48,1.74
Non-Household Members,3.80,18.09,9.81,0.00,3.14,1.63,0.33,26.4,2.57,5.02
Travel for Household Members,0.34,24.75,1.21,0.00,0.22,0.00,0.09,7.2,0.17,0.51
Travel for Non-Household Members,0.88,24.75,3.10,0.00,0.57,0.00,0.24,17.2,0.61,1.15
Caring and Helping,6.12,19.38,16.96,0.00,4.73,2.46,0.75,37.2,4.80,7.45
Eating & Drinking,8.00,18.25,20.84,0.00,6.15,5.71,1.64,96.4,7.38,8.61
Personal Health Care,1.01,17.95,2.58,0.00,0.10,0.41,0.62,12.3,0.52,1.50
Grooming,5.40,18.17,14.01,0.00,,,,77.9,4.80,6.00
Sleeping,61.19,18.58,162.41,,,,,99.6,59.59,62.79
"Private, Personal, or N/A",2.03,20.56,5.95,0.00,0.48,0.72,0.69,28.6,1.38,2.67
Personal Time,77.62,18.56,205.80,0.00,6.72,6.85,2.95,100.0,75.72,79.52
Socializing,7.77,20.35,22.60,0.00,5.86,4.62,1.11,53.3,6.50,9.04
Passive Leisure,28.68,17.40,71.29,0.00,14.42,27.55,14.01,94.3,26.74,30.63
Active Leisure,2.43,17.40,6.03,0.00,0.59,0.59,1.07,19.7,1.11,3.74
Attendance Leisure,1.28,17.40,3.19,0.00,0.76,0.34,0.32,6.1,0.50,2.06
Religious Activities,1.26,23.41,4.22,0.00,0.52,0.46,0.53,13.0,0.92,1.61
Volunteering,1.41,23.41,4.72,0.00,0.19,0.57,0.71,8.6,0.71,2.12
Travel Related to Leisure,3.08,24.75,10.89,0.00,2.10,0.06,0.74,48.2,2.41,3.75
Leisure,45.92,18.74,122.94,0.00,24.44,34.20,18.49,98.5,43.65,48.18
Working at Job,3.70,20.43,10.80,0.00,0.55,0.48,0.33,9.3,2.24,5.16
Educational Activities,0.08,23.41,0.27,0.00,0.00,0.08,0.08,0.5,,0.19
Commuting to Work or School,0.52,24.75,1.83,0.00,0.14,0.00,0.37,8.2,0.26,0.77
Work and Education,4.30,21.00,12.90,0.00,0.70,0.56,0.78,11.1,2.66,5.94
Total,168.00,18.88,453.02,0.00,47.75,69.87,44.73,,,
