time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,8.04,18.31,21.04,5.90,4.15,7.81,3.53,52.7,6.74,9.34
Food Cooking & Clean-up,8.11,18.40,21.32,6.78,4.37,7.90,3.28,77.6,7.06,9.17
"Pets, Home & Vehicles",0.85,20.06,2.45,0.64,0.45,0.77,0.26,10.6,0.49,1.22
Household Management,1.06,24.72,3.73,0.81,0.63,0.89,0.35,18.0,0.39,1.72
Shopping,2.15,18.13,5.56,1.53,1.53,0.02,0.51,33.9,1.47,2.82
Obtaining Services,0.10,21.87,0.30,0.07,0.04,0.06,0.03,2.7,0.01,0.18
Travel for Household Activity,1.50,24.75,5.32,1.02,1.09,0.03,0.33,37.6,1.15,1.86
Household Production,21.81,19.16,59.71,16.76,12.26,17.50,8.28,87.6,19.48,24.14
Household Children,16.18,18.05,41.72,,15.34,13.65,0.33,80.1,11.34,21.01
Household Adults,0.39,17.91,1.00,0.23,0.38,0.36,0.01,3.1,,0.81
Non-Household Members,0.82,18.09,2.12,0.55,0.69,0.16,0.10,8.1,0.29,1.35
Travel for Household Members,1.77,24.75,6.26,0.02,1.26,0.02,0.45,39.7,1.24,2.30
Travel for Non-Household Members,0.35,24.75,1.24,0.18,0.22,0.00,0.06,6.6,0.13,0.57
Caring and Helping,19.51,18.78,52.35,0.97,17.89,14.19,0.95,80.2,14.49,24.54
Eating & Drinking,5.59,18.25,14.56,4.27,4.54,4.33,0.57,90.1,4.99,6.18
Personal Health Care,1.47,17.95,3.77,0.76,0.63,0.74,0.80,7.8,0.44,2.50
Grooming,4.81,18.17,12.49,2.48,,,,73.2,4.26,5.36
Sleeping,66.32,18.58,176.03,,,,,100.0,63.01,69.63
"Private, Personal, or N/A",3.05,20.56,8.96,1.85,1.41,1.48,0.49,28.8,2.12,3.98
Personal Time,81.24,18.60,215.80,9.36,6.59,6.55,1.86,100.0,77.85,84.62
Socializing,6.94,20.35,20.17,4.49,5.90,2.92,0.27,37.8,4.83,9.04
Passive Leisure,21.67,17.40,53.87,14.54,13.81,19.64,6.29,87.1,18.92,24.43
Active Leisure,1.87,17.40,4.64,0.96,1.44,0.48,0.39,10.1,0.57,3.16
Attendance Leisure,0.72,17.40,1.79,0.27,0.72,0.09,0.01,2.9,,1.57
Religious Activities,0.96,23.41,3.22,0.57,0.80,0.11,0.07,8.2,0.39,1.54
Volunteering,1.24,23.41,4.14,0.43,0.44,0.08,0.06,6.1,0.04,2.44
Travel Related to Leisure,1.98,24.75,7.01,1.22,1.51,0.06,0.30,38.0,1.50,2.46
Leisure,35.38,18.76,94.84,22.49,24.63,23.38,7.39,96.0,31.36,39.41
Working at Job,5.74,14.51,11.90,0.20,0.09,0.49,0.57,12.7,3.09,8.39
Educational Activities,3.54,23.41,11.85,0.66,0.58,1.09,1.40,7.8,0.96,6.13
Commuting to Work or School,0.77,24.75,2.74,0.08,0.04,0.00,0.55,16.6,0.37,1.18
Work and Education,10.06,18.43,26.48,0.94,0.70,1.58,2.53,20.2,5.15,14.96
Total,168.00,18.72,449.19,50.52,62.07,63.20,21.00,,,
