time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,12.19,18.31,31.88,0.00,3.18,12.13,8.93,76.2,10.88,13.49
Food Cooking & Clean-up,10.69,18.40,28.10,0.00,4.19,10.59,6.37,87.5,9.89,11.50
"Pets, Home & Vehicles",3.87,20.06,11.08,0.00,1.52,3.48,2.21,38.4,3.11,4.63
Household Management,1.90,24.72,6.73,0.00,0.71,1.51,1.17,31.5,1.42,2.39
Shopping,4.44,18.13,11.50,0.00,2.09,0.09,2.10,55.7,3.84,5.04
Obtaining Services,0.27,21.87,0.84,0.00,0.07,0.13,0.12,5.5,0.14,0.40
Travel for Household Activity,3.02,24.75,10.66,0.00,1.66,0.01,1.28,59.4,2.59,3.44
Household Production,36.38,19.40,100.80,0.00,13.42,27.94,22.17,97.5,34.54,38.21
Household Children,5.36,18.05,13.81,,4.56,3.60,0.54,54.5,4.35,6.36
Household Adults,0.51,17.91,1.30,0.00,0.36,0.25,0.11,12.0,0.28,0.74
Non-Household Members,1.20,18.09,3.10,0.00,1.04,0.63,0.08,15.6,0.70,1.70
Travel for Household Members,2.45,24.75,8.67,0.00,1.64,0.03,0.79,39.8,1.94,2.96
Travel for Non-Household Members,0.43,24.75,1.50,0.00,0.30,0.01,0.11,11.4,0.26,0.59
Caring and Helping,9.94,19.99,28.38,0.00,7.91,4.52,1.63,63.5,8.54,11.33
Eating & Drinking,7.84,18.25,20.44,0.00,6.23,5.93,1.31,95.7,7.43,8.25
Personal Health Care,1.08,17.95,2.78,0.00,0.37,0.55,0.67,10.0,0.55,1.62
Grooming,4.78,18.17,12.41,0.00,,,,75.4,4.36,5.20
Sleeping,61.18,18.58,162.38,,,,,100.0,59.86,62.49
"Private, Personal, or N/A",2.55,20.56,7.48,0.00,0.89,0.85,0.70,34.3,2.02,3.07
Personal Time,77.43,18.58,205.49,0.00,7.49,7.34,2.68,100.0,75.70,79.16
Socializing,7.63,20.35,22.18,0.00,5.90,4.05,0.65,56.9,6.43,8.83
Passive Leisure,22.36,17.40,55.56,0.00,14.21,21.63,7.91,92.6,20.22,24.49
Active Leisure,1.98,17.40,4.92,0.00,0.65,0.62,0.98,20.9,1.45,2.50
Attendance Leisure,0.82,17.40,2.03,0.00,0.62,0.09,0.04,4.2,0.45,1.18
Religious Activities,1.48,23.41,4.94,0.00,1.01,0.36,0.33,14.1,0.98,1.97
Volunteering,2.38,23.41,7.95,0.00,0.65,0.59,0.56,12.7,1.18,3.58
Travel Related to Leisure,2.85,24.75,10.06,0.00,2.00,0.08,0.81,51.2,2.39,3.30
Leisure,39.48,19.09,107.64,0.00,25.05,27.42,11.28,97.7,37.56,41.40
Working at Job,4.03,18.28,10.53,0.00,0.28,1.15,0.67,10.5,2.81,5.25
Educational Activities,0.35,23.41,1.17,0.00,0.00,0.20,0.35,1.6,0.03,0.67
Commuting to Work or School,0.39,24.75,1.39,0.00,0.06,0.00,0.27,8.8,0.21,0.57
Work and Education,4.77,19.18,13.09,0.00,0.33,1.34,1.29,13.6,3.44,6.11
Total,168.00,18.97,455.39,0.00,54.20,68.56,39.05,,,
