time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,8.97,18.31,23.47,0.00,2.49,8.90,6.43,58.9,6.68,11.27
Food Cooking & Clean-up,8.15,18.40,21.41,0.00,3.23,8.09,4.85,78.1,6.92,9.37
"Pets, Home & Vehicles",3.56,20.06,10.19,0.00,1.19,2.73,2.28,32.9,2.47,4.64
Household Management,1.30,24.72,4.58,0.00,0.75,1.17,0.53,24.8,0.47,2.12
Shopping,3.62,18.13,9.38,0.02,1.78,0.12,1.23,43.5,2.62,4.62
Obtaining Services,0.31,21.87,0.96,0.00,0.03,0.15,0.14,3.7,,0.64
Travel for Household Activity,2.41,24.75,8.54,0.01,1.46,0.01,0.70,46.6,1.70,3.13
Household Production,28.31,19.41,78.52,0.03,10.93,21.17,16.16,94.7,24.80,31.82
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.61,17.91,1.55,0.00,0.54,0.42,0.07,10.4,0.15,1.06
Non-Household Members,1.27,18.09,3.27,0.00,1.16,0.85,0.05,9.7,0.34,2.20
Travel for Household Members,0.19,24.75,0.68,0.00,0.12,0.00,0.07,3.9,0.05,0.34
Travel for Non-Household Members,0.29,24.75,1.03,0.00,0.05,0.00,0.09,6.0,,0.58
Caring and Helping,2.36,19.41,6.53,0.00,1.87,1.27,0.28,18.1,1.30,3.41
Eating & Drinking,7.35,18.25,19.15,0.00,5.18,5.65,1.59,96.4,6.50,8.20
Personal Health Care,1.69,17.95,4.34,0.00,0.46,0.91,1.03,10.2,0.56,2.83
Grooming,4.55,18.17,11.80,0.00,,,,74.7,3.97,5.12
Sleeping,66.90,18.58,177.57,,,,,100.0,64.36,69.44
"Private, Personal, or N/A",2.10,20.56,6.17,0.00,0.60,0.67,0.91,20.7,1.29,2.91
Personal Time,82.59,18.56,219.03,0.00,6.24,7.23,3.54,100.0,79.85,85.33
Socializing,7.66,20.35,22.28,0.00,4.87,4.58,1.25,53.1,6.22,9.11
Passive Leisure,32.33,17.40,80.35,0.00,19.36,31.13,12.76,95.3,29.29,35.37
Active Leisure,2.25,17.40,5.59,0.00,0.93,0.79,1.10,22.0,1.51,2.99
Attendance Leisure,0.60,17.40,1.50,0.00,0.32,0.14,0.12,4.1,0.15,1.06
Religious Activities,1.09,23.41,3.64,0.00,0.66,0.31,0.40,10.7,0.63,1.55
Volunteering,0.96,23.41,3.20,0.00,0.13,0.50,0.10,5.8,0.27,1.65
Travel Related to Leisure,2.34,24.75,8.29,0.00,1.55,0.01,0.66,43.4,1.71,2.97
Leisure,47.24,18.50,124.86,0.00,27.83,37.45,16.39,99.5,44.42,50.06
Working at Job,5.96,16.08,13.69,0.00,0.14,1.65,1.69,13.9,2.84,9.08
Educational Activities,0.96,23.41,3.19,0.00,0.26,0.93,0.67,3.5,0.26,1.65
Commuting to Work or School,0.59,24.75,2.10,0.00,0.14,0.01,0.42,12.1,0.30,0.89
Work and Education,7.51,17.69,18.98,0.00,0.54,2.60,2.78,18.6,4.33,10.69
Total,168.00,18.66,447.92,0.03,47.40,69.72,39.15,,,
