time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.81,18.31,7.35,0.00,0.67,2.73,1.76,25.5,2.08,3.53
Food Cooking & Clean-up,2.19,18.40,5.76,0.00,0.78,1.93,0.96,42.0,1.71,2.67
"Pets, Home & Vehicles",1.23,20.06,3.53,0.00,0.47,0.74,0.43,17.8,0.85,1.61
Household Management,1.13,24.72,3.99,0.00,0.13,0.78,0.75,20.7,0.67,1.59
Shopping,3.17,18.13,8.21,0.00,1.28,0.08,0.75,45.6,2.66,3.68
Obtaining Services,0.19,21.87,0.61,0.00,0.08,0.06,0.03,2.9,0.02,0.36
Travel for Household Activity,2.31,24.75,8.16,0.01,0.79,0.01,0.86,47.4,1.87,2.74
Household Production,13.03,20.20,37.61,0.01,4.20,6.32,5.54,78.4,11.58,14.49
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.31,17.91,0.78,0.00,0.21,0.13,0.05,5.7,0.10,0.51
Non-Household Members,0.76,18.09,1.97,0.00,0.45,0.19,0.06,14.4,0.45,1.08
Travel for Household Members,0.15,24.75,0.51,0.00,0.11,0.00,0.01,3.1,0.06,0.23
Travel for Non-Household Members,0.44,24.75,1.57,0.00,0.07,0.00,0.16,12.0,0.31,0.57
Caring and Helping,1.66,20.42,4.84,0.00,0.85,0.32,0.28,19.4,1.22,2.10
Eating & Drinking,7.56,18.25,19.70,0.01,2.93,4.12,1.81,95.5,7.09,8.03
Personal Health Care,0.63,17.95,1.62,0.00,0.22,0.08,0.18,7.7,0.29,0.98
Grooming,6.14,18.17,15.93,0.00,,,,83.2,5.53,6.74
Sleeping,66.69,18.58,177.02,,,,,100.0,65.19,68.20
"Private, Personal, or N/A",3.26,20.56,9.57,0.00,0.30,1.40,1.65,28.8,2.25,4.27
Personal Time,84.28,18.59,223.84,0.01,3.45,5.60,3.64,100.0,82.50,86.05
Socializing,8.23,20.35,23.94,0.00,2.72,3.63,1.08,55.1,6.97,9.49
Passive Leisure,23.74,17.40,59.00,0.02,5.64,19.65,12.45,86.1,21.84,25.63
Active Leisure,2.53,17.40,6.28,0.00,0.44,0.36,0.83,22.9,2.00,3.05
Attendance Leisure,1.24,17.40,3.08,0.00,0.35,0.09,0.19,6.8,0.78,1.70
Religious Activities,0.64,23.41,2.14,0.00,0.30,0.11,0.15,5.9,0.44,0.85
Volunteering,0.67,23.41,2.23,0.00,0.04,0.02,0.10,4.2,0.30,1.03
Travel Related to Leisure,3.47,24.75,12.28,0.00,0.99,0.02,1.26,60.6,2.64,4.31
Leisure,40.52,18.82,108.95,0.02,10.49,23.90,16.06,95.7,38.42,42.62
Working at Job,8.38,15.39,18.44,0.00,0.16,0.56,0.40,20.2,6.63,10.14
Educational Activities,18.11,23.41,60.56,0.00,0.74,8.03,9.12,46.1,15.74,20.48
Commuting to Work or School,2.02,24.75,7.13,0.00,0.18,0.01,1.60,41.3,1.59,2.44
Work and Education,28.51,21.15,86.12,0.00,1.09,8.60,11.12,62.0,25.74,31.28
Total,168.00,19.22,461.36,0.04,20.07,44.75,36.64,,,
