time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,4.70,18.31,12.30,0.00,1.08,4.64,3.59,40.3,3.86,5.54
Food Cooking & Clean-up,4.17,18.40,10.96,0.00,1.55,4.03,2.50,60.9,3.63,4.70
"Pets, Home & Vehicles",2.51,20.06,7.20,0.00,1.07,1.94,1.36,33.7,1.99,3.03
Household Management,1.28,24.72,4.52,0.00,0.52,0.89,0.74,24.6,0.80,1.76
Shopping,3.20,18.13,8.30,0.00,1.92,0.07,1.17,45.0,2.57,3.84
Obtaining Services,0.24,21.87,0.76,0.00,0.08,0.11,0.12,4.0,0.08,0.41
Travel for Household Activity,2.25,24.75,7.96,0.00,1.15,0.01,1.05,48.8,1.81,2.69
Household Production,18.36,19.82,51.99,0.00,7.37,11.68,10.53,86.3,16.67,20.05
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.23,17.91,0.60,0.00,0.22,0.17,0.01,10.3,0.09,0.38
Non-Household Members,1.27,18.09,3.28,0.00,0.80,0.36,0.11,13.8,0.73,1.81
Travel for Household Members,0.34,24.75,1.20,0.00,0.21,0.00,0.13,6.5,0.15,0.53
Travel for Non-Household Members,0.36,24.75,1.28,0.00,0.20,0.00,0.12,10.0,0.22,0.50
Caring and Helping,2.21,20.19,6.36,0.00,1.43,0.54,0.38,22.5,1.61,2.80
Eating & Drinking,7.35,18.25,19.15,0.00,4.94,4.49,1.66,95.7,6.74,7.96
Personal Health Care,0.74,17.95,1.90,0.00,0.13,0.24,0.37,11.6,0.44,1.05
Grooming,5.58,18.17,14.50,0.00,,,,83.6,5.10,6.07
Sleeping,63.14,18.58,167.59,,,,,100.0,61.52,64.76
"Private, Personal, or N/A",1.76,20.56,5.16,0.00,0.51,0.62,0.73,26.6,1.31,2.20
Personal Time,78.57,18.56,208.30,0.00,5.58,5.35,2.77,100.0,76.95,80.20
Socializing,5.02,20.35,14.61,0.00,3.77,2.38,0.58,41.8,4.02,6.03
Passive Leisure,24.96,17.40,62.03,0.01,16.11,23.56,8.21,90.0,22.63,27.28
Active Leisure,1.97,17.40,4.89,0.00,0.98,0.75,0.78,17.0,1.29,2.64
Attendance Leisure,1.00,17.40,2.49,0.00,0.72,0.04,0.05,5.8,0.52,1.49
Religious Activities,0.54,23.41,1.80,0.00,0.38,0.14,0.11,6.3,0.31,0.76
Volunteering,0.78,23.41,2.60,0.00,0.31,0.19,0.23,5.1,0.36,1.20
Travel Related to Leisure,2.31,24.75,8.18,0.00,1.52,0.07,0.71,44.7,1.68,2.94
Leisure,36.58,18.48,96.59,0.01,23.79,27.13,10.68,97.8,34.03,39.13
Working at Job,25.62,16.85,61.68,0.00,0.73,2.70,3.56,58.5,22.79,28.45
Educational Activities,3.92,23.41,13.09,0.00,0.50,1.78,1.95,13.0,2.65,5.18
Commuting to Work or School,2.75,24.75,9.72,0.00,0.21,0.03,2.45,54.7,2.26,3.24
Work and Education,32.28,18.32,84.49,0.00,1.44,4.51,7.96,65.8,28.98,35.59
Total,168.00,18.66,447.75,0.02,39.61,49.21,32.31,,,
