time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.80,18.31,7.33,0.00,0.01,2.66,2.61,28.2,2.11,3.50
Food Cooking & Clean-up,3.17,18.40,8.34,0.00,0.11,2.99,2.93,56.5,2.72,3.63
"Pets, Home & Vehicles",2.41,20.06,6.89,0.03,0.23,1.84,2.11,20.8,1.61,3.20
Household Management,0.53,24.72,1.86,0.00,0.03,0.38,0.39,14.0,0.35,0.70
Shopping,1.44,18.13,3.73,0.00,0.18,0.11,1.05,28.2,1.09,1.80
Obtaining Services,0.21,21.87,0.66,0.00,0.09,0.11,0.05,2.3,,0.43
Travel for Household Activity,1.46,24.75,5.18,0.00,0.21,0.01,1.10,31.5,1.00,1.93
Household Production,12.03,19.79,34.00,0.04,0.85,8.09,10.26,78.7,10.45,13.61
Household Children,0.03,18.05,0.08,,0.03,0.03,0.00,0.4,,0.07
Household Adults,0.00,17.91,0.00,0.00,0.00,0.00,0.00,0.0,,
Non-Household Members,0.67,18.09,1.73,0.00,0.42,0.13,0.08,10.0,0.36,0.98
Travel for Household Members,0.00,24.75,0.01,0.00,0.00,0.00,0.00,0.1,,
Travel for Non-Household Members,0.33,24.75,1.15,0.00,0.08,0.01,0.17,7.4,0.18,0.48
Caring and Helping,1.03,20.21,2.97,0.00,0.53,0.17,0.24,10.3,0.61,1.44
Eating & Drinking,6.01,18.25,15.66,0.01,0.67,4.54,4.32,93.3,5.39,6.63
Personal Health Care,5.26,17.95,13.50,0.00,0.23,2.56,4.59,33.6,2.70,7.83
Grooming,3.02,18.17,7.84,0.01,,,,54.9,2.58,3.46
Sleeping,68.37,18.58,181.47,,,,,98.9,66.13,70.61
"Private, Personal, or N/A",2.33,20.56,6.83,0.00,0.22,0.73,1.34,23.1,1.74,2.91
Personal Time,84.99,18.56,225.31,0.02,1.11,7.83,10.25,100.0,82.28,87.70
Socializing,5.88,20.35,17.10,0.00,1.91,1.63,0.68,36.0,4.80,6.96
Passive Leisure,57.78,17.40,143.62,0.09,2.27,54.95,52.47,96.9,54.63,60.94
Active Leisure,1.26,17.40,3.12,0.00,0.07,0.27,0.96,12.0,0.79,1.72
Attendance Leisure,0.42,17.40,1.04,0.01,0.02,0.01,0.28,1.8,0.10,0.74
Religious Activities,0.76,23.41,2.53,0.01,0.06,0.37,0.48,6.7,0.48,1.03
Volunteering,0.36,23.41,1.19,0.00,0.01,0.13,0.20,2.7,0.14,0.57
Travel Related to Leisure,2.08,24.75,7.36,0.00,0.20,0.05,1.41,39.4,1.67,2.50
Leisure,68.54,17.97,175.96,0.12,4.54,57.41,56.48,97.9,65.56,71.51
Working at Job,0.94,0.00,0.00,0.00,0.00,0.02,0.02,2.1,0.33,1.55
Educational Activities,0.25,23.41,0.83,0.00,0.00,0.16,0.14,0.8,,0.55
Commuting to Work or School,0.23,24.75,0.80,0.00,0.01,0.00,0.18,3.3,0.08,0.38
Work and Education,1.42,8.05,1.63,0.00,0.01,0.18,0.34,4.2,0.63,2.21
Total,168.00,18.33,439.87,0.17,7.04,73.68,77.58,,,
