time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.38,18.31,3.61,0.99,1.03,1.25,0.34,14.8,1.16,1.60
Food Cooking & Clean-up,1.97,18.40,5.18,1.45,1.42,1.90,0.52,35.8,1.78,2.16
"Pets, Home & Vehicles",3.61,20.06,10.35,2.17,1.60,3.37,1.77,24.1,3.16,4.07
Household Management,0.73,24.72,2.57,0.38,0.40,0.52,0.28,16.0,0.59,0.87
Shopping,2.25,18.13,5.83,1.34,1.69,0.05,0.48,36.1,1.96,2.54
Obtaining Services,0.13,21.87,0.42,0.05,0.04,0.04,0.07,1.8,0.06,0.21
Travel for Household Activity,1.87,24.75,6.63,0.86,1.09,0.02,0.64,39.5,1.66,2.09
Household Production,11.95,20.26,34.59,7.25,7.27,7.16,4.10,69.9,11.12,12.78
Household Children,6.89,18.05,17.76,,6.74,5.62,0.13,59.3,6.37,7.40
Household Adults,0.16,17.91,0.40,0.09,0.13,0.04,0.02,4.7,0.08,0.23
Non-Household Members,0.52,18.09,1.36,0.09,0.26,0.03,0.04,6.7,,1.05
Travel for Household Members,0.76,24.75,2.70,0.06,0.59,0.01,0.16,21.2,0.65,0.88
Travel for Non-Household Members,0.32,24.75,1.12,0.05,0.13,0.01,0.10,6.3,0.22,0.41
Caring and Helping,8.65,18.89,23.33,0.30,7.84,5.71,0.45,63.3,8.07,9.22
Eating & Drinking,8.35,18.25,21.78,4.35,5.69,5.05,1.38,96.7,8.10,8.61
Personal Health Care,0.27,17.95,0.70,0.08,0.14,0.14,0.10,3.9,0.16,0.39
Grooming,4.00,18.17,10.39,1.23,,,,79.7,3.84,4.16
Sleeping,58.14,18.58,154.31,,,,,99.9,57.47,58.81
"Private, Personal, or N/A",1.53,20.56,4.48,0.68,0.59,0.53,0.40,17.8,1.28,1.78
Personal Time,72.29,18.56,191.66,6.35,6.42,5.71,1.89,100.0,71.60,72.98
Socializing,5.11,20.35,14.86,2.95,4.35,2.43,0.11,37.8,4.57,5.65
Passive Leisure,17.74,17.40,44.10,9.44,13.14,16.56,4.20,86.7,17.02,18.47
Active Leisure,2.18,17.40,5.42,0.85,1.03,0.42,0.61,16.4,1.82,2.54
Attendance Leisure,0.69,17.40,1.72,0.42,0.56,0.03,0.05,3.4,0.49,0.90
Religious Activities,0.93,23.41,3.11,0.59,0.71,0.20,0.14,8.6,0.76,1.09
Volunteering,0.62,23.41,2.09,0.27,0.30,0.12,0.12,4.4,0.44,0.80
Travel Related to Leisure,2.35,24.75,8.32,1.04,1.44,0.02,0.72,46.3,2.01,2.70
Leisure,29.63,18.81,79.61,15.55,21.52,19.78,5.95,95.8,28.41,30.86
Working at Job,41.20,32.30,190.13,1.54,0.85,3.26,7.62,70.7,39.51,42.89
Educational Activities,0.19,23.41,0.65,0.08,0.09,0.15,0.10,1.1,0.09,0.30
Commuting to Work or School,4.09,24.75,14.45,0.07,0.18,0.04,3.42,60.4,3.79,4.39
Work and Education,45.48,31.59,205.23,1.69,1.11,3.45,11.14,71.5,43.72,47.24
Total,168.00,22.27,534.41,31.13,44.17,41.81,23.53,,,
