time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,3.96,18.31,10.36,0.24,1.40,3.88,2.54,38.1,3.59,4.33
Food Cooking & Clean-up,3.61,18.40,9.50,0.25,1.77,3.49,1.80,61.0,3.18,4.05
"Pets, Home & Vehicles",2.56,20.06,7.34,0.05,1.29,1.86,1.23,35.9,2.30,2.82
Household Management,1.14,24.72,4.04,0.04,0.64,0.89,0.48,23.4,0.95,1.34
Shopping,2.94,18.13,7.62,0.12,1.76,0.14,1.00,44.4,2.53,3.35
Obtaining Services,0.11,21.87,0.34,0.00,0.05,0.04,0.04,2.7,0.07,0.15
Travel for Household Activity,2.30,24.75,8.13,0.07,1.21,0.03,0.96,47.4,2.13,2.47
Household Production,16.63,19.92,47.33,0.77,8.11,10.34,8.04,89.7,16.00,17.26
Household Children,1.41,18.05,3.63,,1.37,1.30,0.01,5.3,1.06,1.76
Household Adults,0.10,17.91,0.25,0.00,0.08,0.05,0.02,4.6,0.07,0.12
Non-Household Members,0.53,18.09,1.37,0.01,0.41,0.15,0.04,8.8,0.39,0.68
Travel for Household Members,0.20,24.75,0.72,0.00,0.13,0.00,0.07,4.4,0.14,0.27
Travel for Non-Household Members,0.35,24.75,1.24,0.02,0.17,0.00,0.12,7.2,0.28,0.42
Caring and Helping,2.59,19.49,7.21,0.03,2.15,1.51,0.27,17.4,2.14,3.04
Eating & Drinking,7.97,18.25,20.78,0.28,5.00,3.93,1.71,95.1,7.72,8.22
Personal Health Care,0.76,17.95,1.95,0.01,0.31,0.26,0.33,7.0,0.54,0.98
Grooming,5.85,18.17,15.18,0.14,,,,86.9,5.69,6.00
Sleeping,60.86,18.58,161.52,,,,,100.0,60.31,61.41
"Private, Personal, or N/A",1.63,20.56,4.80,0.07,0.53,0.59,0.65,21.4,1.40,1.87
Personal Time,77.07,18.55,204.23,0.51,5.84,4.78,2.69,100.0,76.43,77.71
Socializing,5.26,20.35,15.30,0.28,3.90,2.05,0.44,40.8,4.83,5.70
Passive Leisure,19.04,17.40,47.32,0.69,12.91,17.56,5.81,87.9,17.57,20.50
Active Leisure,2.23,17.40,5.55,0.05,0.97,0.43,0.85,24.3,1.97,2.49
Attendance Leisure,0.96,17.40,2.40,0.01,0.76,0.04,0.07,5.1,0.70,1.23
Religious Activities,0.56,23.41,1.87,0.03,0.41,0.07,0.09,4.5,0.44,0.68
Volunteering,0.58,23.41,1.93,0.00,0.27,0.10,0.13,4.1,0.36,0.79
Travel Related to Leisure,3.09,24.75,10.91,0.06,1.96,0.04,0.95,52.1,2.70,3.47
Leisure,31.72,18.82,85.28,1.12,21.16,20.29,8.34,97.1,30.63,32.81
Working at Job,36.13,29.87,154.14,0.06,1.07,5.59,7.44,66.9,34.91,37.35
Educational Activities,1.07,23.41,3.58,0.01,0.22,0.80,0.67,4.8,0.81,1.33
Commuting to Work or School,2.80,24.75,9.89,0.01,0.21,0.04,2.43,53.3,2.41,3.18
Work and Education,39.99,29.34,167.60,0.09,1.51,6.42,10.54,69.1,38.54,41.45
Total,168.00,21.32,511.65,2.51,38.78,43.33,29.90,,,
