time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,6.51,18.31,17.04,0.07,1.49,6.32,4.96,53.7,6.09,6.93
Food Cooking & Clean-up,5.60,18.40,14.71,0.04,2.15,5.42,3.37,72.8,5.26,5.93
"Pets, Home & Vehicles",3.97,20.06,11.37,0.02,1.42,3.38,2.52,38.5,3.50,4.43
Household Management,1.75,24.72,6.18,0.01,0.66,1.42,1.07,31.6,1.55,1.95
Shopping,3.41,18.13,8.83,0.02,1.52,0.10,1.69,46.3,3.13,3.68
Obtaining Services,0.26,21.87,0.82,0.01,0.11,0.14,0.10,5.1,0.17,0.35
Travel for Household Activity,2.45,24.75,8.68,0.01,1.19,0.02,1.21,50.2,2.23,2.68
Household Production,23.95,19.76,67.62,0.19,8.53,16.80,14.91,93.0,23.07,24.83
Household Children,0.29,18.05,0.74,,0.27,0.25,0.00,1.0,0.12,0.46
Household Adults,0.56,17.91,1.43,0.00,0.45,0.26,0.06,8.3,0.35,0.76
Non-Household Members,2.31,18.09,5.98,0.00,1.87,1.01,0.17,18.0,1.98,2.64
Travel for Household Members,0.25,24.75,0.88,0.00,0.17,0.00,0.07,4.8,0.16,0.34
Travel for Non-Household Members,0.59,24.75,2.09,0.00,0.32,0.00,0.22,12.7,0.50,0.69
Caring and Helping,4.00,19.46,11.13,0.00,3.08,1.52,0.53,25.8,3.52,4.49
Eating & Drinking,8.17,18.25,21.30,0.07,5.83,5.26,1.62,97.1,7.91,8.43
Personal Health Care,1.25,17.95,3.21,0.00,0.35,0.57,0.67,13.8,0.92,1.58
Grooming,5.70,18.17,14.80,0.04,,,,84.6,5.36,6.05
Sleeping,60.55,18.58,160.72,,,,,100.0,59.88,61.23
"Private, Personal, or N/A",2.07,20.56,6.08,0.02,0.51,0.69,0.84,28.9,1.86,2.28
Personal Time,77.75,18.56,206.11,0.12,6.69,6.53,3.12,100.0,76.99,78.50
Socializing,5.68,20.35,16.52,0.06,4.39,2.73,0.51,48.2,5.20,6.16
Passive Leisure,25.34,17.40,62.98,0.17,15.45,24.06,9.61,92.4,24.39,26.29
Active Leisure,2.05,17.40,5.09,0.00,0.83,0.58,0.90,21.5,1.83,2.27
Attendance Leisure,0.86,17.40,2.13,0.01,0.61,0.04,0.07,5.1,0.69,1.03
Religious Activities,1.17,23.41,3.92,0.02,0.68,0.28,0.31,12.1,1.01,1.34
Volunteering,1.54,23.41,5.15,0.00,0.41,0.63,0.66,10.3,1.25,1.83
Travel Related to Leisure,3.02,24.75,10.69,0.02,2.00,0.02,0.91,51.9,2.66,3.38
Leisure,39.66,18.79,106.47,0.29,24.37,28.35,12.97,98.7,38.67,40.65
Working at Job,19.86,19.69,55.87,0.00,0.91,3.45,3.94,51.1,18.59,21.13
Educational Activities,1.09,23.41,3.66,0.00,0.14,0.53,0.59,3.8,0.75,1.44
Commuting to Work or School,1.68,24.75,5.96,0.00,0.13,0.01,1.50,40.1,1.45,1.92
Work and Education,22.64,20.25,65.49,0.00,1.18,4.00,6.04,53.5,21.21,24.06
Total,168.00,19.03,456.82,0.61,43.85,57.20,37.57,,,
