time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,3.28,18.31,8.58,0.00,0.04,3.19,3.18,33.8,2.90,3.66
Food Cooking & Clean-up,3.79,18.40,9.95,0.00,0.07,3.68,3.59,62.9,3.46,4.12
"Pets, Home & Vehicles",6.66,20.06,19.09,0.00,0.17,6.08,6.16,38.5,5.70,7.63
Household Management,1.56,24.72,5.50,0.00,0.03,1.25,1.37,27.3,1.32,1.79
Shopping,2.39,18.13,6.19,0.00,0.10,0.18,1.93,40.0,2.12,2.66
Obtaining Services,0.32,21.87,1.00,0.00,0.01,0.19,0.15,3.8,0.18,0.46
Travel for Household Activity,2.25,24.75,7.97,0.00,0.14,0.04,1.90,45.9,2.08,2.43
Household Production,20.25,20.15,58.29,0.01,0.57,14.62,18.28,87.6,19.06,21.45
Household Children,0.01,18.05,0.02,,0.01,0.01,0.00,0.0,,0.03
Household Adults,0.00,17.91,0.00,0.00,0.00,0.00,0.00,0.1,,
Non-Household Members,1.22,18.09,3.14,0.00,0.58,0.19,0.29,12.7,0.96,1.47
Travel for Household Members,0.00,24.75,0.01,0.00,0.00,0.00,0.00,0.1,,0.02
Travel for Non-Household Members,0.57,24.75,2.03,0.00,0.14,0.01,0.30,10.6,0.42,0.73
Caring and Helping,1.80,20.22,5.21,0.00,0.73,0.21,0.59,12.8,1.46,2.15
Eating & Drinking,7.92,18.25,20.66,0.00,0.54,5.65,5.87,96.1,7.61,8.24
Personal Health Care,1.76,17.95,4.52,0.00,0.07,0.93,1.31,18.9,1.36,2.16
Grooming,3.02,18.17,7.84,0.00,,,,60.8,2.81,3.23
Sleeping,62.43,18.58,165.71,,,,,99.8,61.59,63.27
"Private, Personal, or N/A",2.10,20.56,6.17,0.00,0.07,0.72,1.14,25.6,1.82,2.38
Personal Time,77.24,18.57,204.90,0.00,0.68,7.31,8.33,100.0,76.42,78.06
Socializing,5.06,20.35,14.70,0.00,1.50,1.72,0.78,34.9,4.48,5.63
Passive Leisure,53.72,17.40,133.53,0.03,1.04,51.52,50.60,97.5,52.48,54.97
Active Leisure,3.07,17.40,7.62,0.00,0.14,0.69,2.05,23.9,2.69,3.44
Attendance Leisure,0.69,17.40,1.70,0.00,0.11,0.04,0.30,3.8,0.42,0.95
Religious Activities,0.92,23.41,3.07,0.00,0.07,0.34,0.57,8.1,0.74,1.09
Volunteering,1.11,23.41,3.71,0.00,0.03,0.31,0.62,5.5,0.88,1.33
Travel Related to Leisure,2.90,24.75,10.27,0.00,0.23,0.07,2.17,47.3,2.58,3.23
Leisure,67.46,18.12,174.60,0.03,3.12,54.68,57.09,99.2,66.14,68.78
Working at Job,1.08,20.67,3.18,0.00,0.00,0.26,0.46,2.7,0.72,1.43
Educational Activities,0.07,23.41,0.24,0.00,0.00,0.07,0.07,0.3,,0.15
Commuting to Work or School,0.09,24.75,0.33,0.00,0.00,0.00,0.08,2.6,0.06,0.13
Work and Education,1.24,21.13,3.75,0.00,0.01,0.33,0.61,3.8,0.86,1.62
Total,168.00,18.61,446.74,0.04,5.11,77.15,84.90,,,
