time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,6.10,18.31,15.97,2.25,2.16,6.02,3.77,47.8,5.30,6.91
Food Cooking & Clean-up,5.90,18.40,15.51,2.70,2.50,5.75,3.12,65.4,5.34,6.46
"Pets, Home & Vehicles",0.81,20.06,2.32,0.22,0.25,0.73,0.53,14.8,0.61,1.01
Household Management,0.82,24.72,2.90,0.22,0.33,0.64,0.44,17.1,0.59,1.05
Shopping,2.58,18.13,6.69,0.74,1.39,0.05,0.73,35.5,2.20,2.97
Obtaining Services,0.13,21.87,0.40,0.01,0.05,0.09,0.05,3.6,0.07,0.19
Travel for Household Activity,1.74,24.75,6.15,0.49,0.80,0.03,0.58,37.4,1.46,2.02
Household Production,18.09,19.33,49.94,6.63,7.47,13.31,9.23,81.6,16.86,19.31
Household Children,8.81,18.05,22.72,,7.65,7.54,0.43,54.8,7.69,9.93
Household Adults,0.19,17.91,0.48,0.03,0.15,0.08,0.03,4.9,0.09,0.29
Non-Household Members,0.87,18.09,2.25,0.15,0.64,0.19,0.04,10.4,0.58,1.16
Travel for Household Members,1.03,24.75,3.64,0.07,0.70,0.03,0.27,22.3,0.83,1.23
Travel for Non-Household Members,0.37,24.75,1.32,0.08,0.23,0.00,0.11,8.8,0.26,0.48
Caring and Helping,11.27,18.89,30.41,0.34,9.36,7.84,0.87,60.0,9.99,12.55
Eating & Drinking,5.30,18.25,13.82,1.90,3.44,4.46,1.28,90.3,4.96,5.64
Personal Health Care,4.54,17.95,11.63,0.75,1.00,3.06,2.87,27.9,3.09,5.99
Grooming,4.42,18.17,11.48,1.09,,,,68.6,3.99,4.86
Sleeping,68.62,18.58,182.14,,,,,100.0,66.76,70.49
"Private, Personal, or N/A",3.21,20.56,9.44,0.87,0.94,1.66,1.24,30.2,2.38,4.05
Personal Time,86.10,18.58,228.51,4.61,5.38,9.17,5.40,100.0,83.69,88.51
Socializing,6.06,20.35,17.63,2.13,4.03,3.12,0.72,38.4,5.12,7.01
Passive Leisure,38.30,17.40,95.19,10.12,13.83,36.90,21.27,92.0,35.21,41.39
Active Leisure,0.79,17.40,1.97,0.23,0.57,0.41,0.19,8.2,0.34,1.24
Attendance Leisure,0.64,17.40,1.59,0.11,0.24,0.04,0.18,2.5,0.25,1.03
Religious Activities,1.37,23.41,4.59,0.43,0.77,0.44,0.38,12.0,1.01,1.74
Volunteering,0.53,23.41,1.78,0.19,0.19,0.10,0.20,3.3,0.24,0.82
Travel Related to Leisure,1.71,24.75,6.06,0.48,1.02,0.01,0.48,33.7,1.45,1.98
Leisure,49.42,18.25,128.82,13.70,20.65,41.02,23.42,97.1,46.52,52.32
Working at Job,1.14,14.95,2.43,0.09,0.04,0.10,0.12,2.6,0.55,1.72
Educational Activities,1.65,23.41,5.50,0.14,0.21,0.73,0.70,5.4,0.83,2.46
Commuting to Work or School,0.35,24.75,1.22,0.06,0.08,0.02,0.20,6.0,0.16,0.53
Work and Education,3.13,20.48,9.15,0.29,0.32,0.85,1.02,9.7,2.08,4.17
Total,168.00,18.62,446.83,25.56,43.18,72.19,39.95,,,
