time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,5.87,18.31,15.35,0.03,2.00,5.78,3.76,46.4,4.87,6.87
Food Cooking & Clean-up,6.63,18.40,17.43,0.05,2.81,6.51,3.79,69.8,5.70,7.56
"Pets, Home & Vehicles",2.33,20.06,6.68,0.00,0.90,2.20,1.40,27.6,1.63,3.03
Household Management,1.04,24.72,3.67,0.01,0.53,0.78,0.51,19.9,0.66,1.42
Shopping,2.46,18.13,6.37,0.01,1.76,0.15,0.61,26.0,1.74,3.18
Obtaining Services,0.10,21.87,0.32,0.00,0.07,0.06,0.01,1.9,,0.20
Travel for Household Activity,1.56,24.75,5.52,0.00,1.14,0.03,0.38,30.7,1.19,1.93
Household Production,19.99,19.38,55.33,0.10,9.21,15.50,10.45,85.8,17.76,22.22
Household Children,0.11,18.05,0.29,,0.09,0.05,0.00,0.8,,0.25
Household Adults,0.54,17.91,1.37,0.00,0.50,0.34,0.04,7.5,0.04,1.03
Non-Household Members,1.80,18.09,4.66,0.03,1.63,1.01,0.09,13.0,0.63,2.98
Travel for Household Members,0.18,24.75,0.64,0.00,0.18,0.00,0.01,4.4,0.05,0.32
Travel for Non-Household Members,0.43,24.75,1.50,0.02,0.27,0.01,0.10,9.2,0.21,0.64
Caring and Helping,3.06,19.38,8.46,0.05,2.67,1.42,0.24,20.2,1.68,4.43
Eating & Drinking,7.50,18.25,19.56,0.08,6.14,6.49,1.24,96.7,6.56,8.44
Personal Health Care,4.66,17.95,11.95,0.00,1.83,3.48,2.53,36.0,2.90,6.43
Grooming,3.97,18.17,10.32,0.01,,,,66.2,3.36,4.58
Sleeping,69.45,18.58,184.33,,,,,99.2,66.77,72.13
"Private, Personal, or N/A",1.69,20.56,4.97,0.01,0.63,0.51,0.32,19.9,1.17,2.21
Personal Time,87.28,18.54,231.12,0.10,8.60,10.49,4.10,100.0,84.52,90.04
Socializing,6.87,20.35,19.99,0.00,5.78,4.14,0.62,42.5,5.60,8.15
Passive Leisure,45.06,17.40,111.99,0.13,28.21,43.31,16.11,95.7,42.25,47.87
Active Leisure,0.65,17.40,1.60,0.00,0.37,0.38,0.21,7.3,0.36,0.93
Attendance Leisure,0.32,17.40,0.80,0.00,0.22,0.09,0.05,1.5,0.04,0.60
Religious Activities,1.43,23.41,4.80,0.00,0.92,0.47,0.34,10.6,0.90,1.97
Volunteering,0.32,23.41,1.05,0.00,0.07,0.16,0.10,1.8,0.04,0.59
Travel Related to Leisure,1.77,24.75,6.25,0.01,1.40,0.05,0.26,30.1,1.17,2.37
Leisure,56.42,18.17,146.49,0.15,36.97,48.61,17.68,97.8,53.83,59.01
Working at Job,0.85,0.00,0.00,0.00,0.16,0.48,0.41,1.3,,1.80
Educational Activities,0.36,23.41,1.21,0.00,0.10,0.30,0.26,0.7,,0.89
Commuting to Work or School,0.05,24.75,0.16,0.00,0.01,0.00,0.03,1.6,,0.09
Work and Education,1.26,7.65,1.37,0.00,0.27,0.78,0.70,2.4,0.10,2.41
Total,168.00,18.45,442.78,0.40,57.72,76.79,33.18,,,
