time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,9.09,18.31,23.79,7.38,4.53,8.58,4.25,58.0,7.73,10.45
Food Cooking & Clean-up,7.60,18.40,19.98,6.22,4.52,7.46,2.74,74.9,6.64,8.57
"Pets, Home & Vehicles",1.43,20.06,4.09,0.54,0.83,1.27,0.45,12.5,0.32,2.53
Household Management,1.03,24.72,3.62,0.68,0.56,0.60,0.34,19.8,0.65,1.40
Shopping,2.88,18.13,7.45,2.07,2.26,0.09,0.47,43.6,2.17,3.59
Obtaining Services,0.21,21.87,0.67,0.14,0.16,0.08,0.02,4.7,0.04,0.38
Travel for Household Activity,2.07,24.75,7.32,1.45,1.39,0.05,0.56,49.2,1.62,2.52
Household Production,24.31,19.27,66.92,18.48,14.24,18.12,8.83,92.0,21.79,26.83
Household Children,18.59,18.05,47.94,,18.02,16.47,0.25,80.0,16.29,20.88
Household Adults,0.23,17.91,0.58,0.21,0.23,0.22,0.00,3.7,,0.54
Non-Household Members,0.35,18.09,0.90,0.19,0.21,0.08,0.02,7.4,0.12,0.57
Travel for Household Members,1.48,24.75,5.23,0.01,1.10,0.02,0.28,28.2,1.01,1.95
Travel for Non-Household Members,0.22,24.75,0.77,0.10,0.12,0.00,0.05,5.8,0.11,0.33
Caring and Helping,20.86,18.60,55.43,0.50,19.68,16.79,0.61,80.7,18.32,23.40
Eating & Drinking,6.83,18.25,17.81,4.99,5.27,5.36,0.55,93.4,5.63,8.03
Personal Health Care,0.67,17.95,1.72,0.27,0.25,0.09,0.36,7.8,0.24,1.10
Grooming,4.31,18.17,11.18,2.51,,,,69.3,3.78,4.83
Sleeping,65.88,18.58,174.86,,,,,100.0,63.88,67.88
"Private, Personal, or N/A",2.64,20.56,7.76,1.89,1.29,0.90,0.47,32.6,1.82,3.46
Personal Time,80.33,18.59,213.33,9.66,6.82,6.35,1.37,100.0,77.90,82.76
Socializing,5.81,20.35,16.89,4.63,4.82,2.19,0.19,33.0,4.65,6.97
Passive Leisure,21.39,17.40,53.15,14.96,14.92,19.64,4.40,90.3,19.15,23.62
Active Leisure,2.32,17.40,5.78,1.04,0.92,0.55,0.57,11.4,1.00,3.65
Attendance Leisure,0.57,17.40,1.42,0.49,0.46,0.00,0.00,3.8,0.18,0.97
Religious Activities,0.62,23.41,2.07,0.32,0.34,0.19,0.19,5.0,0.31,0.93
Volunteering,0.15,23.41,0.51,0.03,0.01,0.01,0.02,1.2,,0.38
Travel Related to Leisure,1.91,24.75,6.74,1.24,1.39,0.01,0.17,36.3,1.43,2.38
Leisure,32.77,18.49,86.56,22.71,22.87,22.59,5.53,96.5,29.79,35.75
Working at Job,7.20,14.44,14.85,1.74,0.35,1.51,0.17,13.1,4.14,10.26
Educational Activities,1.65,23.41,5.50,0.30,0.24,0.47,0.70,5.1,0.60,2.69
Commuting to Work or School,0.88,24.75,3.11,0.09,0.09,0.02,0.60,15.5,0.49,1.28
Work and Education,9.73,16.89,23.47,2.13,0.69,2.00,1.48,20.8,6.29,13.16
Total,168.00,18.57,445.71,53.49,64.30,65.84,17.83,,,
