time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.83,18.31,4.77,0.01,0.91,1.78,0.89,20.2,1.63,2.02
Food Cooking & Clean-up,2.31,18.40,6.07,0.01,1.32,2.22,0.95,46.7,2.12,2.51
"Pets, Home & Vehicles",3.72,20.06,10.67,0.01,1.13,3.09,2.52,35.3,3.36,4.08
Household Management,0.91,24.72,3.20,0.00,0.51,0.70,0.36,16.6,0.70,1.11
Shopping,2.15,18.13,5.57,0.01,1.35,0.08,0.71,39.0,1.99,2.31
Obtaining Services,0.11,21.87,0.36,0.00,0.05,0.06,0.04,2.3,0.06,0.17
Travel for Household Activity,2.05,24.75,7.26,0.03,1.16,0.01,0.84,41.9,1.88,2.23
Household Production,13.08,20.28,37.91,0.08,6.43,7.94,6.30,78.8,12.52,13.65
Household Children,0.00,18.05,0.01,,0.00,0.00,0.00,0.0,,0.01
Household Adults,0.13,17.91,0.34,0.00,0.09,0.04,0.04,6.3,0.09,0.17
Non-Household Members,0.78,18.09,2.00,0.01,0.53,0.17,0.07,7.4,0.57,0.98
Travel for Household Members,0.16,24.75,0.57,0.00,0.10,0.00,0.06,4.1,0.12,0.20
Travel for Non-Household Members,0.33,24.75,1.16,0.00,0.12,0.00,0.13,6.2,0.24,0.42
Caring and Helping,1.40,20.40,4.08,0.01,0.84,0.22,0.31,13.0,1.12,1.67
Eating & Drinking,8.00,18.25,20.86,0.02,4.77,4.01,1.91,95.8,7.78,8.22
Personal Health Care,0.47,17.95,1.19,0.00,0.13,0.30,0.30,3.8,0.23,0.70
Grooming,4.09,18.17,10.61,0.00,,,,81.5,3.91,4.26
Sleeping,59.10,18.58,156.86,,,,,99.9,58.40,59.79
"Private, Personal, or N/A",1.38,20.56,4.05,0.02,0.39,0.52,0.54,18.2,1.17,1.58
Personal Time,73.03,18.55,193.57,0.05,5.29,4.83,2.74,100.0,72.14,73.92
Socializing,4.50,20.35,13.07,0.01,3.64,1.63,0.15,34.7,4.15,4.85
Passive Leisure,23.32,17.40,57.96,0.13,14.45,21.69,8.19,89.7,22.10,24.54
Active Leisure,2.98,17.40,7.41,0.00,1.07,0.40,1.13,24.2,2.67,3.29
Attendance Leisure,0.85,17.40,2.12,0.00,0.63,0.03,0.05,4.7,0.61,1.10
Religious Activities,0.39,23.41,1.29,0.00,0.29,0.06,0.04,3.3,0.28,0.49
Volunteering,0.48,23.41,1.61,0.00,0.21,0.09,0.09,3.5,0.33,0.63
Travel Related to Leisure,3.02,24.75,10.69,0.01,1.72,0.03,1.07,52.5,2.64,3.41
Leisure,35.54,18.54,94.16,0.16,22.01,23.92,10.73,97.0,34.41,36.67
Working at Job,40.90,32.64,190.74,0.00,1.24,5.07,8.71,70.6,39.44,42.36
Educational Activities,0.52,23.41,1.75,0.00,0.14,0.33,0.30,2.3,0.38,0.66
Commuting to Work or School,3.52,24.75,12.44,0.00,0.25,0.03,3.03,58.6,3.21,3.83
Work and Education,44.94,31.92,204.93,0.00,1.63,5.43,12.05,71.7,43.29,46.60
Total,168.00,22.28,534.64,0.30,36.20,42.34,32.14,,,
