time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,6.51,18.31,17.04,0.11,0.22,6.30,6.09,52.7,5.44,7.59
Food Cooking & Clean-up,4.36,18.40,11.45,0.26,0.79,3.86,3.25,64.2,3.79,4.92
"Pets, Home & Vehicles",3.09,20.06,8.85,0.00,0.10,2.69,2.84,30.1,2.30,3.88
Household Management,1.97,24.72,6.95,0.05,0.17,1.48,1.56,30.9,0.85,3.09
Shopping,3.31,18.13,8.58,0.10,0.59,0.12,2.22,47.5,2.75,3.87
Obtaining Services,0.32,21.87,1.00,0.00,0.00,0.21,0.13,3.6,,0.70
Travel for Household Activity,2.48,24.75,8.76,0.07,0.32,0.03,1.89,51.4,2.14,2.82
Household Production,22.04,19.89,62.63,0.60,2.18,14.68,17.97,92.7,20.42,23.66
Household Children,0.29,18.05,0.75,,0.29,0.24,0.00,2.1,0.07,0.51
Household Adults,0.07,17.91,0.17,0.00,0.01,0.06,0.05,0.6,,0.17
Non-Household Members,2.12,18.09,5.48,0.06,1.53,0.71,0.20,20.9,1.51,2.73
Travel for Household Members,0.07,24.75,0.24,0.00,0.06,0.00,0.01,0.9,,0.14
Travel for Non-Household Members,0.76,24.75,2.68,0.00,0.17,0.00,0.40,16.4,0.54,0.98
Caring and Helping,3.30,19.75,9.32,0.06,2.06,1.02,0.66,23.1,2.61,4.00
Eating & Drinking,6.59,18.25,17.19,0.26,1.29,3.97,3.57,93.4,6.05,7.14
Personal Health Care,1.47,17.95,3.76,0.19,0.26,0.67,0.94,15.7,0.88,2.05
Grooming,5.48,18.17,14.23,0.07,,,,78.7,5.10,5.86
Sleeping,64.18,18.58,170.34,,,,,99.7,62.67,65.68
"Private, Personal, or N/A",5.82,20.56,17.09,0.12,0.46,3.56,4.34,40.6,4.33,7.31
Personal Time,83.54,18.65,222.61,0.63,2.00,8.19,8.86,100.0,81.63,85.45
Socializing,8.24,20.35,23.97,0.32,2.75,2.84,1.66,50.3,6.74,9.74
Passive Leisure,30.18,17.40,75.01,0.45,2.63,26.98,25.18,90.8,28.01,32.35
Active Leisure,1.19,17.40,2.97,0.00,0.08,0.36,0.84,14.0,0.77,1.62
Attendance Leisure,0.99,17.40,2.47,0.01,0.15,0.07,0.26,5.5,0.57,1.41
Religious Activities,1.70,23.41,5.67,0.08,0.18,0.52,1.01,12.4,1.28,2.11
Volunteering,1.32,23.41,4.42,0.00,0.10,0.42,0.49,6.8,0.73,1.92
Travel Related to Leisure,2.68,24.75,9.47,0.04,0.40,0.04,1.61,53.5,2.27,3.08
Leisure,46.30,18.74,123.97,0.90,6.29,31.24,31.05,97.8,43.81,48.80
Working at Job,10.27,19.04,27.94,0.00,0.02,2.00,2.71,22.9,8.14,12.41
Educational Activities,1.53,23.41,5.11,0.00,0.04,0.79,1.16,4.8,0.75,2.30
Commuting to Work or School,1.01,24.75,3.58,0.00,0.03,0.01,0.92,21.9,0.77,1.26
Work and Education,12.81,20.01,36.63,0.00,0.09,2.80,4.79,31.1,10.46,15.16
Total,168.00,18.97,455.17,2.20,12.62,57.92,63.32,,,
