time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,3.43,18.31,8.97,1.96,1.59,3.43,1.81,31.5,2.51,4.35
Food Cooking & Clean-up,4.18,18.40,10.98,3.08,2.44,3.96,1.67,52.0,3.30,5.05
"Pets, Home & Vehicles",3.03,20.06,8.68,1.24,1.10,2.52,1.57,27.8,1.75,4.31
Household Management,1.64,24.72,5.80,0.48,1.13,0.91,0.48,22.7,0.78,2.51
Shopping,2.69,18.13,6.98,1.18,2.20,0.07,0.37,31.0,1.90,3.49
Obtaining Services,1.00,21.87,3.12,0.05,0.05,0.92,0.18,4.3,,2.60
Travel for Household Activity,1.66,24.75,5.85,0.70,1.10,0.01,0.43,38.7,1.25,2.06
Household Production,17.63,20.01,50.39,8.69,9.60,11.82,6.51,81.2,14.81,20.45
Household Children,8.31,18.05,21.44,,7.98,6.81,0.25,52.7,6.70,9.92
Household Adults,0.32,17.91,0.81,0.09,0.21,0.18,0.11,13.4,0.12,0.51
Non-Household Members,0.56,18.09,1.44,0.11,0.37,0.10,0.11,7.3,,1.11
Travel for Household Members,1.21,24.75,4.26,0.22,0.85,0.01,0.33,27.6,0.75,1.66
Travel for Non-Household Members,0.32,24.75,1.12,0.03,0.15,0.00,0.10,7.5,0.14,0.49
Caring and Helping,10.71,19.00,29.07,0.46,9.57,7.10,0.90,60.5,8.70,12.72
Eating & Drinking,6.61,18.25,17.24,3.75,5.38,5.51,1.12,94.9,5.97,7.26
Personal Health Care,3.84,17.95,9.84,1.29,1.36,3.09,2.33,24.6,2.33,5.35
Grooming,2.88,18.17,7.48,1.17,,,,59.0,2.42,3.34
Sleeping,66.28,18.58,175.93,,,,,99.9,63.52,69.04
"Private, Personal, or N/A",2.90,20.56,8.51,1.30,1.10,1.18,0.79,30.3,1.82,3.97
Personal Time,82.51,18.58,218.99,7.51,7.83,9.79,4.23,100.0,79.26,85.76
Socializing,6.54,20.35,19.00,3.22,5.52,4.02,0.32,41.8,4.10,8.97
Passive Leisure,41.02,17.40,101.95,17.66,26.51,40.20,14.19,95.2,37.62,44.42
Active Leisure,2.15,17.40,5.35,0.74,1.26,0.60,0.44,12.7,,4.54
Attendance Leisure,0.64,17.40,1.59,0.22,0.29,0.24,0.27,4.0,0.16,1.12
Religious Activities,0.78,23.41,2.61,0.51,0.60,0.26,0.13,7.3,0.36,1.20
Volunteering,0.57,23.41,1.89,0.32,0.31,0.15,0.03,3.0,0.18,0.95
Travel Related to Leisure,1.95,24.75,6.90,0.91,1.35,0.06,0.47,35.0,1.39,2.52
Leisure,53.65,18.18,139.29,23.58,35.85,45.52,15.86,97.6,49.44,57.85
Working at Job,2.77,21.58,8.55,0.25,0.00,0.24,0.62,6.4,1.32,4.22
Educational Activities,0.39,23.41,1.31,0.06,0.01,0.20,0.38,1.4,0.01,0.77
Commuting to Work or School,0.34,24.75,1.21,0.01,0.02,0.00,0.30,7.0,0.16,0.53
Work and Education,3.51,22.10,11.07,0.32,0.03,0.43,1.30,8.0,1.82,5.19
Total,168.00,18.70,448.81,40.57,62.88,74.67,28.80,,,
