time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.92,18.31,5.03,1.31,1.29,1.84,0.62,21.5,1.69,2.16
Food Cooking & Clean-up,2.60,18.40,6.83,1.87,1.68,2.48,0.87,46.3,2.36,2.84
"Pets, Home & Vehicles",3.10,20.06,8.87,1.44,1.08,2.69,1.85,22.7,2.80,3.39
Household Management,0.84,24.72,2.95,0.41,0.48,0.60,0.30,17.9,0.72,0.95
Shopping,1.98,18.13,5.12,1.19,1.43,0.08,0.49,35.2,1.78,2.18
Obtaining Services,0.08,21.87,0.24,0.02,0.02,0.03,0.04,1.8,0.02,0.13
Travel for Household Activity,1.87,24.75,6.60,0.84,1.05,0.02,0.76,38.6,1.72,2.01
Household Production,12.37,20.16,35.63,7.07,7.03,7.73,4.94,76.8,11.83,12.90
Household Children,10.62,18.05,27.40,,10.45,9.55,0.13,71.3,9.94,11.30
Household Adults,0.15,17.91,0.40,0.08,0.14,0.05,0.02,4.7,0.10,0.21
Non-Household Members,0.46,18.09,1.20,0.16,0.26,0.09,0.02,5.6,0.32,0.60
Travel for Household Members,0.88,24.75,3.10,0.05,0.64,0.02,0.23,21.6,0.79,0.97
Travel for Non-Household Members,0.23,24.75,0.82,0.05,0.11,0.00,0.08,4.5,0.17,0.29
Caring and Helping,12.35,18.65,32.91,0.33,11.60,9.71,0.48,73.4,11.72,12.98
Eating & Drinking,8.13,18.25,21.20,4.47,5.65,4.95,1.27,97.0,7.95,8.31
Personal Health Care,0.26,17.95,0.66,0.07,0.12,0.08,0.10,3.1,0.17,0.34
Grooming,3.74,18.17,9.70,1.32,,,,78.7,3.61,3.87
Sleeping,57.36,18.58,152.24,,,,,100.0,56.88,57.84
"Private, Personal, or N/A",1.69,20.56,4.96,0.82,0.78,0.86,0.50,20.2,1.47,1.91
Personal Time,71.17,18.56,188.76,6.67,6.55,5.88,1.87,100.0,70.48,71.87
Socializing,5.01,20.35,14.57,3.18,4.40,2.47,0.09,39.1,4.67,5.35
Passive Leisure,16.98,17.40,42.21,8.76,12.58,15.78,3.89,85.7,16.41,17.56
Active Leisure,1.80,17.40,4.47,0.65,0.81,0.34,0.56,16.0,1.61,1.99
Attendance Leisure,0.68,17.40,1.68,0.40,0.54,0.05,0.04,3.7,0.53,0.83
Religious Activities,0.75,23.41,2.52,0.52,0.62,0.15,0.09,7.3,0.66,0.85
Volunteering,0.54,23.41,1.80,0.19,0.22,0.08,0.08,3.7,0.43,0.65
Travel Related to Leisure,2.23,24.75,7.88,1.10,1.37,0.03,0.67,43.3,2.05,2.41
Leisure,27.99,18.79,75.12,14.80,20.53,18.90,5.42,94.8,27.22,28.76
Working at Job,40.22,32.52,186.86,1.40,1.06,4.16,7.39,70.1,39.23,41.20
Educational Activities,0.31,23.41,1.04,0.08,0.06,0.18,0.18,1.5,0.21,0.41
Commuting to Work or School,3.59,24.75,12.70,0.09,0.14,0.06,3.09,58.4,3.39,3.80
Work and Education,44.12,31.83,200.60,1.57,1.26,4.40,10.66,71.2,43.05,45.19
Total,168.00,22.21,533.03,30.44,46.96,46.62,23.37,,,
