time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,5.50,18.31,14.39,0.01,1.58,5.40,3.87,47.4,5.12,5.88
Food Cooking & Clean-up,4.79,18.40,12.58,0.00,1.94,4.69,2.79,69.4,4.57,5.01
"Pets, Home & Vehicles",2.96,20.06,8.49,0.00,1.30,2.53,1.64,35.9,2.70,3.23
Household Management,1.29,24.72,4.55,0.00,0.54,1.04,0.72,27.9,1.12,1.46
Shopping,3.01,18.13,7.79,0.00,1.46,0.12,1.35,44.5,2.81,3.20
Obtaining Services,0.11,21.87,0.34,0.00,0.03,0.04,0.05,2.7,0.05,0.17
Travel for Household Activity,2.31,24.75,8.18,0.00,1.08,0.02,1.16,48.3,2.13,2.49
Household Production,19.96,19.74,56.31,0.01,7.93,13.84,11.58,92.7,19.32,20.61
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.33,17.91,0.83,0.00,0.25,0.17,0.07,8.1,0.23,0.42
Non-Household Members,1.33,18.09,3.44,0.00,1.13,0.54,0.11,13.3,1.07,1.60
Travel for Household Members,0.18,24.75,0.64,0.00,0.13,0.00,0.05,3.8,0.11,0.25
Travel for Non-Household Members,0.47,24.75,1.65,0.00,0.23,0.00,0.18,9.9,0.38,0.55
Caring and Helping,2.31,19.94,6.57,0.00,1.73,0.71,0.41,20.1,2.01,2.60
Eating & Drinking,7.62,18.25,19.85,0.00,4.86,4.26,1.63,95.9,7.35,7.89
Personal Health Care,1.05,17.95,2.68,0.00,0.26,0.42,0.56,11.3,0.85,1.24
Grooming,5.95,18.17,15.45,0.00,,,,87.7,5.76,6.14
Sleeping,58.03,18.58,154.02,,,,,100.0,57.38,58.68
"Private, Personal, or N/A",1.74,20.56,5.11,0.00,0.60,0.62,0.63,23.7,1.48,1.99
Personal Time,74.38,18.55,197.11,0.00,5.72,5.29,2.82,100.0,73.77,74.99
Socializing,4.82,20.35,14.02,0.00,3.80,2.28,0.41,44.4,4.44,5.20
Passive Leisure,19.59,17.40,48.70,0.01,11.90,18.55,7.34,89.8,18.75,20.44
Active Leisure,1.53,17.40,3.80,0.00,0.66,0.38,0.56,18.2,1.31,1.75
Attendance Leisure,0.79,17.40,1.96,0.00,0.67,0.04,0.05,4.2,0.61,0.96
Religious Activities,0.94,23.41,3.14,0.00,0.55,0.20,0.23,8.8,0.81,1.07
Volunteering,0.89,23.41,2.97,0.00,0.33,0.30,0.22,6.2,0.68,1.09
Travel Related to Leisure,2.61,24.75,9.21,0.00,1.69,0.02,0.74,47.8,2.36,2.85
Leisure,31.17,18.82,83.81,0.01,19.60,21.76,9.56,97.3,30.28,32.05
Working at Job,37.08,29.76,157.63,0.00,0.95,4.41,6.07,67.1,35.97,38.18
Educational Activities,0.35,23.41,1.18,0.00,0.06,0.25,0.25,1.4,0.22,0.48
Commuting to Work or School,2.75,24.75,9.72,0.00,0.31,0.03,2.35,55.9,2.55,2.95
Work and Education,40.18,29.36,168.54,0.00,1.31,4.70,8.67,67.8,38.92,41.44
Total,168.00,21.35,512.33,0.02,36.30,46.30,33.04,,,
