time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,3.96,18.31,10.35,0.00,1.35,3.87,2.57,37.7,3.61,4.30
Food Cooking & Clean-up,3.68,18.40,9.68,0.00,1.74,3.49,1.87,61.3,3.28,4.09
"Pets, Home & Vehicles",2.72,20.06,7.78,0.00,1.34,2.01,1.32,36.9,2.44,2.99
Household Management,1.13,24.72,4.00,0.00,0.63,0.88,0.48,23.8,0.96,1.31
Shopping,2.95,18.13,7.64,0.00,1.72,0.14,1.02,45.6,2.60,3.30
Obtaining Services,0.11,21.87,0.34,0.00,0.04,0.03,0.04,2.7,0.07,0.15
Travel for Household Activity,2.37,24.75,8.38,0.00,1.21,0.03,1.02,48.7,2.19,2.55
Household Production,16.92,19.93,48.19,0.01,8.05,10.45,8.32,90.1,16.31,17.54
Household Children,0.01,18.05,0.02,,0.01,0.01,0.00,0.0,,0.02
Household Adults,0.12,17.91,0.30,0.00,0.09,0.07,0.02,5.1,0.07,0.16
Non-Household Members,0.55,18.09,1.42,0.00,0.43,0.15,0.04,9.1,0.40,0.70
Travel for Household Members,0.11,24.75,0.40,0.00,0.07,0.00,0.04,2.7,0.07,0.16
Travel for Non-Household Members,0.36,24.75,1.27,0.00,0.17,0.00,0.13,7.6,0.29,0.43
Caring and Helping,1.15,20.82,3.41,0.00,0.77,0.22,0.24,13.5,0.98,1.32
Eating & Drinking,7.99,18.25,20.83,0.00,4.93,3.90,1.76,95.1,7.73,8.25
Personal Health Care,0.78,17.95,2.00,0.00,0.30,0.30,0.37,7.0,0.55,1.01
Grooming,5.92,18.17,15.37,0.00,,,,87.5,5.72,6.12
Sleeping,61.07,18.58,162.10,,,,,100.0,60.56,61.59
"Private, Personal, or N/A",1.58,20.56,4.65,0.00,0.50,0.57,0.68,20.6,1.34,1.83
Personal Time,77.35,18.55,204.95,0.00,5.72,4.76,2.80,100.0,76.66,78.03
Socializing,5.17,20.35,15.04,0.00,3.80,1.99,0.45,40.2,4.75,5.60
Passive Leisure,19.27,17.40,47.90,0.00,12.76,17.77,6.11,88.2,18.07,20.47
Active Leisure,2.29,17.40,5.70,0.00,0.95,0.50,0.91,24.1,1.99,2.60
Attendance Leisure,0.97,17.40,2.42,0.00,0.77,0.04,0.06,5.1,0.69,1.26
Religious Activities,0.52,23.41,1.73,0.00,0.36,0.06,0.09,4.5,0.41,0.63
Volunteering,0.59,23.41,1.97,0.00,0.28,0.09,0.12,4.0,0.39,0.79
Travel Related to Leisure,3.18,24.75,11.23,0.00,2.03,0.04,0.96,51.9,2.93,3.42
Leisure,31.99,18.81,85.99,0.01,20.94,20.50,8.72,97.0,30.88,33.11
Working at Job,36.65,29.33,153.59,0.00,1.10,5.64,7.39,67.5,35.50,37.81
Educational Activities,1.10,23.41,3.67,0.00,0.22,0.79,0.68,4.7,0.83,1.36
Commuting to Work or School,2.84,24.75,10.04,0.00,0.23,0.04,2.47,53.9,2.44,3.24
Work and Education,40.59,28.85,167.30,0.00,1.54,6.46,10.54,69.7,39.20,41.98
Total,168.00,21.24,509.84,0.03,37.01,42.41,30.62,,,
