time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,10.70,18.31,27.98,0.02,1.68,10.35,8.80,65.8,8.82,12.57
Food Cooking & Clean-up,8.25,18.40,21.68,0.05,2.31,8.06,5.88,80.7,6.98,9.52
"Pets, Home & Vehicles",5.08,20.06,14.56,0.14,1.77,4.51,3.25,41.6,3.67,6.49
Household Management,1.60,24.72,5.65,0.02,0.68,1.12,0.87,27.6,1.16,2.05
Shopping,4.32,18.13,11.19,0.00,2.25,0.06,2.01,44.5,3.47,5.17
Obtaining Services,0.40,21.87,1.25,0.00,0.03,0.21,0.18,6.5,0.06,0.74
Travel for Household Activity,2.67,24.75,9.45,0.01,1.36,0.01,1.26,46.6,2.01,3.33
Household Production,33.02,19.45,91.76,0.24,10.08,24.33,22.25,96.2,30.12,35.91
Household Children,0.03,18.05,0.09,,0.03,0.03,0.00,0.8,,0.08
Household Adults,0.51,17.91,1.29,0.00,0.42,0.40,0.08,9.2,,1.10
Non-Household Members,4.44,18.09,11.48,0.00,3.91,2.21,0.25,26.5,2.75,6.13
Travel for Household Members,0.21,24.75,0.74,0.00,0.16,0.01,0.04,4.7,0.08,0.33
Travel for Non-Household Members,1.06,24.75,3.75,0.01,0.74,0.01,0.30,17.6,0.69,1.43
Caring and Helping,6.25,19.43,17.34,0.01,5.26,2.64,0.68,33.8,4.39,8.11
Eating & Drinking,7.96,18.25,20.74,0.04,6.14,5.75,1.68,95.9,7.18,8.73
Personal Health Care,1.11,17.95,2.85,0.00,0.06,0.47,0.77,13.5,0.54,1.68
Grooming,5.16,18.17,13.41,0.01,,,,77.2,4.62,5.71
Sleeping,61.21,18.58,162.47,,,,,100.0,59.60,62.82
"Private, Personal, or N/A",1.69,20.56,4.98,0.03,0.26,0.80,0.87,24.7,1.09,2.30
Personal Time,77.14,18.55,204.44,0.08,6.46,7.01,3.32,100.0,75.09,79.18
Socializing,7.53,20.35,21.89,0.00,6.13,4.06,0.83,49.1,6.04,9.01
Passive Leisure,30.31,17.40,75.34,0.04,16.24,29.06,13.87,94.7,27.95,32.68
Active Leisure,2.32,17.40,5.76,0.00,0.87,0.53,0.91,19.6,1.51,3.12
Attendance Leisure,1.04,17.40,2.58,0.00,0.53,0.35,0.36,5.0,0.29,1.79
Religious Activities,1.30,23.41,4.34,0.02,0.65,0.56,0.50,12.5,0.84,1.76
Volunteering,1.68,23.41,5.60,0.00,0.49,0.64,0.74,8.7,0.73,2.62
Travel Related to Leisure,3.27,24.75,11.56,0.00,2.21,0.02,0.74,47.5,2.37,4.17
Leisure,47.44,18.75,127.07,0.07,27.12,35.21,17.95,98.3,44.66,50.22
Working at Job,3.54,19.27,9.76,0.00,0.37,0.72,0.52,9.2,1.99,5.10
Educational Activities,0.18,23.41,0.59,0.05,0.03,0.18,0.15,1.0,,0.38
Commuting to Work or School,0.43,24.75,1.53,0.00,0.14,0.00,0.30,8.5,0.17,0.69
Work and Education,4.15,20.02,11.88,0.05,0.54,0.89,0.96,11.7,2.43,5.88
Total,168.00,18.85,452.50,0.44,49.45,70.08,45.16,,,
