time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.65,18.31,6.93,0.00,0.56,2.47,1.84,27.0,2.26,3.04
Food Cooking & Clean-up,2.19,18.40,5.75,0.00,0.95,2.00,0.92,36.5,1.86,2.52
"Pets, Home & Vehicles",0.82,20.06,2.35,0.00,0.22,0.60,0.47,15.1,0.61,1.03
Household Management,0.81,24.72,2.87,0.00,0.23,0.56,0.35,21.8,0.58,1.04
Shopping,2.68,18.13,6.93,0.00,1.08,0.08,0.60,44.0,2.23,3.12
Obtaining Services,0.06,21.87,0.20,0.00,0.03,0.01,0.00,1.6,0.01,0.12
Travel for Household Activity,2.19,24.75,7.74,0.00,0.84,0.01,0.55,46.9,1.78,2.60
Household Production,11.40,20.13,32.78,0.00,3.91,5.73,4.74,72.4,10.26,12.54
Household Children,0.59,18.05,1.52,,0.39,0.29,0.06,12.8,0.45,0.73
Household Adults,0.15,17.91,0.37,0.00,0.10,0.08,0.04,4.6,0.03,0.26
Non-Household Members,0.87,18.09,2.24,0.00,0.43,0.08,0.08,18.9,0.59,1.15
Travel for Household Members,0.46,24.75,1.64,0.00,0.25,0.00,0.15,11.4,0.32,0.60
Travel for Non-Household Members,0.69,24.75,2.43,0.00,0.19,0.00,0.25,16.6,0.52,0.86
Caring and Helping,2.75,20.85,8.20,0.00,1.36,0.45,0.56,32.1,2.29,3.22
Eating & Drinking,6.31,18.25,16.44,0.00,2.78,3.45,1.36,93.8,5.88,6.74
Personal Health Care,0.79,17.95,2.04,0.00,0.20,0.17,0.41,7.6,0.40,1.19
Grooming,6.45,18.17,16.76,0.00,,,,89.7,6.06,6.85
Sleeping,64.94,18.58,172.36,,,,,99.9,63.83,66.05
"Private, Personal, or N/A",2.24,20.56,6.58,0.00,0.37,0.91,0.92,28.6,1.78,2.70
Personal Time,80.73,18.57,214.17,0.00,3.35,4.54,2.69,100.0,79.58,81.88
Socializing,7.42,20.35,21.58,0.00,2.75,2.78,0.74,51.4,6.23,8.61
Passive Leisure,20.24,17.40,50.31,0.00,4.67,16.30,10.05,86.0,19.05,21.44
Active Leisure,2.48,17.40,6.15,0.00,0.41,0.38,0.47,19.8,1.94,3.01
Attendance Leisure,1.27,17.40,3.16,0.00,0.53,0.02,0.05,7.5,0.89,1.65
Religious Activities,0.77,23.41,2.58,0.00,0.27,0.14,0.17,7.6,0.57,0.97
Volunteering,1.24,23.41,4.15,0.00,0.21,0.08,0.11,8.8,0.80,1.68
Travel Related to Leisure,3.52,24.75,12.43,0.00,1.07,0.03,1.06,65.1,3.03,4.00
Leisure,36.94,19.02,100.35,0.00,9.93,19.74,12.64,97.1,35.37,38.50
Working at Job,18.67,13.15,35.07,0.00,0.20,0.92,2.05,45.4,16.59,20.75
Educational Activities,14.90,23.41,49.84,0.00,0.65,4.25,4.68,38.8,12.94,16.87
Commuting to Work or School,2.61,24.75,9.21,0.00,0.20,0.00,1.96,61.0,2.25,2.96
Work and Education,36.18,18.21,94.13,0.00,1.05,5.18,8.69,71.6,33.76,38.60
Total,168.00,18.73,449.63,0.00,19.59,35.64,29.33,,,
