time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.19,18.31,5.72,0.00,0.87,1.96,1.31,22.9,1.45,2.92
Food Cooking & Clean-up,2.50,18.40,6.56,0.00,0.93,2.49,1.47,40.7,1.96,3.03
"Pets, Home & Vehicles",4.97,20.06,14.24,0.00,1.15,4.71,3.77,36.1,4.01,5.93
Household Management,1.03,24.72,3.63,0.00,0.36,0.83,0.48,14.9,0.55,1.51
Shopping,1.79,18.13,4.64,0.00,1.04,0.10,0.67,29.1,1.38,2.20
Obtaining Services,0.20,21.87,0.64,0.00,0.02,0.11,0.14,3.1,,0.44
Travel for Household Activity,1.66,24.75,5.88,0.00,0.88,0.02,0.74,33.7,1.31,2.02
Household Production,14.34,20.17,41.31,0.00,5.26,10.23,8.59,71.0,12.56,16.12
Household Children,0.00,18.05,0.01,,0.00,0.00,0.00,0.2,,0.01
Household Adults,0.60,17.91,1.53,0.00,0.33,0.19,0.26,9.5,0.33,0.87
Non-Household Members,1.14,18.09,2.95,0.00,0.90,0.81,0.15,10.0,0.65,1.63
Travel for Household Members,0.32,24.75,1.12,0.00,0.25,0.02,0.07,6.0,0.14,0.49
Travel for Non-Household Members,0.22,24.75,0.78,0.00,0.15,0.01,0.07,5.6,0.13,0.31
Caring and Helping,2.28,19.61,6.39,0.00,1.64,1.02,0.54,17.7,1.55,3.01
Eating & Drinking,8.30,18.25,21.63,0.01,5.79,7.21,2.38,96.6,7.72,8.88
Personal Health Care,3.68,17.95,9.44,0.00,0.81,2.58,2.56,28.9,1.82,5.54
Grooming,3.00,18.17,7.79,0.00,,,,56.4,2.63,3.37
Sleeping,65.52,18.58,173.90,,,,,100.0,63.49,67.54
"Private, Personal, or N/A",1.54,20.56,4.53,0.00,0.49,0.34,0.50,21.6,1.15,1.93
Personal Time,82.04,18.54,217.28,0.01,7.09,10.12,5.44,100.0,79.93,84.15
Socializing,5.46,20.35,15.88,0.00,4.16,3.26,0.28,38.9,4.31,6.62
Passive Leisure,55.59,17.40,138.16,0.05,28.16,54.99,26.62,96.8,52.96,58.21
Active Leisure,1.48,17.40,3.68,0.00,0.61,0.40,0.84,15.0,0.95,2.01
Attendance Leisure,0.40,17.40,0.99,0.00,0.22,0.00,0.12,2.9,0.17,0.63
Religious Activities,1.43,23.41,4.79,0.03,0.96,0.38,0.30,10.5,1.06,1.80
Volunteering,0.43,23.41,1.45,0.00,0.09,0.11,0.20,3.1,0.16,0.71
Travel Related to Leisure,2.46,24.75,8.72,0.01,1.51,0.01,0.92,33.1,1.50,3.43
Leisure,67.26,18.07,173.67,0.09,35.70,59.16,29.29,98.4,64.46,70.06
Working at Job,1.90,0.00,0.00,0.00,0.02,0.60,0.64,3.4,0.72,3.08
Educational Activities,0.02,23.41,0.08,0.00,0.01,0.02,0.02,0.2,,0.05
Commuting to Work or School,0.15,24.75,0.55,0.00,0.02,0.00,0.12,2.8,0.02,0.29
Work and Education,2.08,2.09,0.62,0.00,0.05,0.62,0.78,3.9,0.81,3.36
Total,168.00,18.30,439.27,0.10,49.73,81.15,44.64,,,
