time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,4.85,18.31,12.69,3.87,2.83,4.66,1.99,47.9,4.46,5.24
Food Cooking & Clean-up,5.84,18.40,15.34,4.73,3.67,5.62,2.12,76.6,5.50,6.18
"Pets, Home & Vehicles",1.02,20.06,2.93,0.79,0.74,0.82,0.25,14.8,0.85,1.19
Household Management,1.06,24.72,3.74,0.71,0.75,0.79,0.29,24.1,0.89,1.23
Shopping,2.72,18.13,7.05,1.86,2.10,0.07,0.56,41.0,2.47,2.97
Obtaining Services,0.11,21.87,0.35,0.09,0.07,0.07,0.02,2.6,0.04,0.18
Travel for Household Activity,1.90,24.75,6.74,1.24,1.44,0.02,0.43,43.8,1.72,2.09
Household Production,17.51,19.53,48.83,13.30,11.59,12.06,5.66,91.7,16.79,18.22
Household Children,20.39,18.05,52.58,,19.89,18.32,0.37,91.4,19.25,21.53
Household Adults,0.13,17.91,0.34,0.08,0.11,0.08,0.01,5.0,0.09,0.18
Non-Household Members,0.32,18.09,0.84,0.17,0.26,0.07,0.03,5.6,0.20,0.45
Travel for Household Members,1.83,24.75,6.48,0.08,1.36,0.03,0.46,39.7,1.65,2.02
Travel for Non-Household Members,0.19,24.75,0.69,0.12,0.15,0.00,0.03,4.4,0.15,0.24
Caring and Helping,22.87,18.65,60.93,0.45,21.77,18.50,0.90,92.4,21.72,24.03
Eating & Drinking,7.08,18.25,18.45,4.99,5.62,4.40,0.72,95.5,6.82,7.33
Personal Health Care,0.59,17.95,1.50,0.18,0.26,0.17,0.22,6.2,0.41,0.77
Grooming,4.65,18.17,12.08,2.29,,,,82.1,4.50,4.81
Sleeping,58.62,18.58,155.58,,,,,99.9,57.79,59.44
"Private, Personal, or N/A",1.95,20.56,5.73,1.28,0.95,0.82,0.43,26.3,1.71,2.19
Personal Time,72.89,18.57,193.35,8.73,6.83,5.39,1.37,100.0,72.08,73.69
Socializing,4.77,20.35,13.86,3.45,4.29,2.18,0.11,39.3,4.27,5.27
Passive Leisure,13.28,17.40,33.01,7.83,10.78,12.42,2.36,83.3,12.36,14.20
Active Leisure,1.27,17.40,3.16,0.87,0.92,0.27,0.24,14.6,1.05,1.49
Attendance Leisure,0.56,17.40,1.39,0.42,0.50,0.01,0.03,3.4,0.41,0.71
Religious Activities,0.59,23.41,1.97,0.41,0.53,0.09,0.04,5.7,0.47,0.71
Volunteering,0.28,23.41,0.94,0.14,0.18,0.05,0.05,2.9,0.20,0.37
Travel Related to Leisure,1.83,24.75,6.48,1.20,1.44,0.02,0.32,40.4,1.59,2.08
Leisure,22.59,18.85,60.83,14.32,18.64,15.03,3.15,94.3,21.08,24.10
Working at Job,29.73,31.60,134.20,2.61,1.64,4.27,4.96,58.6,28.19,31.26
Educational Activities,0.42,23.41,1.42,0.16,0.15,0.37,0.26,2.2,0.29,0.55
Commuting to Work or School,2.00,24.75,7.07,0.12,0.22,0.01,1.71,44.8,1.82,2.18
Work and Education,32.15,31.07,142.68,2.89,2.02,4.65,6.92,60.1,30.54,33.75
Total,168.00,21.11,506.61,39.70,60.84,55.63,17.99,,,
