time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.93,18.31,5.05,0.00,0.89,1.85,1.03,22.5,1.78,2.08
Food Cooking & Clean-up,2.98,18.40,7.82,0.00,1.58,2.91,1.38,46.1,2.81,3.14
"Pets, Home & Vehicles",9.46,20.06,27.11,0.00,1.90,8.73,7.39,50.3,9.08,9.85
Household Management,1.90,24.72,6.72,0.00,0.67,1.61,1.19,29.2,1.71,2.09
Shopping,2.67,18.13,6.91,0.00,1.56,0.11,1.02,38.9,2.54,2.79
Obtaining Services,0.37,21.87,1.17,0.00,0.11,0.23,0.13,5.1,0.30,0.45
Travel for Household Activity,2.36,24.75,8.34,0.00,1.24,0.02,1.06,44.3,2.23,2.48
Household Production,21.67,20.39,63.13,0.00,7.95,15.46,13.20,85.3,21.13,22.22
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.57,17.91,1.46,0.00,0.49,0.32,0.08,8.3,0.46,0.68
Non-Household Members,1.57,18.09,4.06,0.00,1.22,0.65,0.16,12.1,1.39,1.75
Travel for Household Members,0.19,24.75,0.67,0.00,0.14,0.00,0.04,4.1,0.16,0.22
Travel for Non-Household Members,0.43,24.75,1.51,0.00,0.25,0.00,0.15,8.9,0.38,0.48
Caring and Helping,2.76,19.54,7.70,0.00,2.10,0.98,0.43,19.3,2.54,2.98
Eating & Drinking,10.00,18.25,26.07,0.00,7.76,7.90,1.86,97.9,9.78,10.21
Personal Health Care,1.47,17.95,3.78,0.00,0.62,0.78,0.70,17.5,1.30,1.65
Grooming,3.33,18.17,8.65,0.00,,,,65.0,3.25,3.42
Sleeping,62.83,18.58,166.75,,,,,99.9,62.50,63.15
"Private, Personal, or N/A",2.43,20.56,7.14,0.00,0.67,0.82,0.77,26.5,2.26,2.60
Personal Time,80.06,18.57,212.39,0.00,9.05,9.50,3.33,100.0,79.58,80.54
Socializing,5.00,20.35,14.55,0.00,4.05,2.49,0.21,38.4,4.57,5.44
Passive Leisure,47.15,17.40,117.20,0.00,26.77,45.97,20.07,98.1,45.90,48.41
Active Leisure,3.13,17.40,7.79,0.00,0.87,0.70,1.44,24.9,2.93,3.34
Attendance Leisure,0.68,17.40,1.70,0.00,0.54,0.04,0.07,3.8,0.56,0.81
Religious Activities,1.23,23.41,4.12,0.00,0.81,0.35,0.29,10.7,1.13,1.33
Volunteering,1.65,23.41,5.50,0.00,0.42,0.60,0.68,8.7,1.39,1.90
Travel Related to Leisure,3.06,24.75,10.82,0.00,1.95,0.05,0.97,47.9,2.74,3.38
Leisure,61.91,18.28,161.68,0.00,35.41,50.20,23.74,99.6,61.26,62.56
Working at Job,1.42,25.90,5.27,0.00,0.09,0.42,0.48,3.9,1.20,1.65
Educational Activities,0.04,23.41,0.14,0.00,0.00,0.03,0.04,0.2,0.01,0.07
Commuting to Work or School,0.13,24.75,0.45,0.00,0.02,0.00,0.11,2.8,0.10,0.15
Work and Education,1.59,25.74,5.85,0.00,0.10,0.46,0.63,4.8,1.35,1.83
Total,168.00,18.78,450.75,0.00,54.61,76.59,41.33,,,
