time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,4.73,18.31,12.39,0.00,1.63,4.58,3.08,41.0,4.29,5.18
Food Cooking & Clean-up,4.95,18.40,13.01,0.01,2.16,4.82,2.76,69.5,4.62,5.28
"Pets, Home & Vehicles",2.69,20.06,7.71,0.00,1.15,2.37,1.50,31.7,2.37,3.01
Household Management,1.27,24.72,4.49,0.00,0.54,1.01,0.69,26.1,1.08,1.46
Shopping,2.79,18.13,7.22,0.00,1.40,0.09,1.22,42.1,2.51,3.06
Obtaining Services,0.10,21.87,0.32,0.00,0.05,0.05,0.03,2.2,0.04,0.17
Travel for Household Activity,2.11,24.75,7.46,0.00,1.07,0.01,0.98,45.3,1.89,2.33
Household Production,18.65,19.74,52.60,0.01,8.00,12.94,10.26,89.4,17.81,19.48
Household Children,0.03,18.05,0.07,,0.03,0.03,0.00,0.1,,0.08
Household Adults,0.55,17.91,1.39,0.00,0.50,0.35,0.04,8.0,0.31,0.78
Non-Household Members,1.25,18.09,3.23,0.00,1.05,0.50,0.10,13.0,0.97,1.53
Travel for Household Members,0.16,24.75,0.56,0.00,0.13,0.00,0.03,3.1,0.08,0.24
Travel for Non-Household Members,0.47,24.75,1.65,0.00,0.23,0.01,0.18,9.6,0.36,0.58
Caring and Helping,2.45,19.75,6.91,0.00,1.94,0.88,0.34,19.9,2.01,2.89
Eating & Drinking,8.16,18.25,21.27,0.01,5.47,4.92,1.69,96.3,7.81,8.51
Personal Health Care,1.11,17.95,2.84,0.00,0.39,0.56,0.53,10.5,0.76,1.45
Grooming,5.79,18.17,15.04,0.00,,,,86.0,5.58,6.00
Sleeping,58.94,18.58,156.43,,,,,99.9,58.08,59.80
"Private, Personal, or N/A",1.84,20.56,5.40,0.00,0.71,0.77,0.63,21.2,1.51,2.16
Personal Time,75.83,18.55,200.98,0.01,6.57,6.25,2.85,100.0,74.99,76.68
Socializing,4.45,20.35,12.95,0.00,3.59,2.12,0.34,38.6,4.03,4.88
Passive Leisure,22.45,17.40,55.81,0.06,14.38,21.20,7.70,92.0,21.58,23.33
Active Leisure,1.17,17.40,2.91,0.00,0.54,0.32,0.49,15.2,1.01,1.34
Attendance Leisure,0.64,17.40,1.59,0.00,0.48,0.02,0.07,3.3,0.44,0.84
Religious Activities,0.92,23.41,3.09,0.00,0.51,0.25,0.26,8.5,0.75,1.10
Volunteering,0.70,23.41,2.33,0.00,0.23,0.21,0.17,4.9,0.50,0.89
Travel Related to Leisure,2.47,24.75,8.72,0.00,1.66,0.01,0.71,44.8,2.16,2.77
Leisure,32.81,18.65,87.40,0.06,21.38,24.12,9.73,97.5,31.85,33.77
Working at Job,35.33,28.42,143.41,0.00,0.80,5.10,7.21,65.5,33.83,36.83
Educational Activities,0.26,23.41,0.87,0.00,0.04,0.21,0.17,1.3,0.09,0.43
Commuting to Work or School,2.67,24.75,9.46,0.00,0.29,0.02,2.28,52.6,2.47,2.88
Work and Education,38.26,28.13,153.74,0.00,1.13,5.33,9.67,66.4,36.74,39.79
Total,168.00,20.90,501.62,0.09,39.01,49.51,32.85,,,
