time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.07,18.31,5.41,1.37,1.23,2.02,0.84,23.2,1.85,2.29
Food Cooking & Clean-up,2.86,18.40,7.51,2.11,1.84,2.76,0.98,50.9,2.63,3.08
"Pets, Home & Vehicles",3.60,20.06,10.31,1.95,1.42,3.23,2.06,27.3,3.30,3.90
Household Management,0.85,24.72,2.99,0.46,0.46,0.61,0.35,18.4,0.74,0.95
Shopping,1.95,18.13,5.06,1.05,1.32,0.06,0.54,35.9,1.75,2.16
Obtaining Services,0.09,21.87,0.29,0.05,0.04,0.04,0.02,2.0,0.06,0.12
Travel for Household Activity,1.81,24.75,6.40,0.85,1.04,0.01,0.72,39.3,1.66,1.96
Household Production,13.23,20.09,37.97,7.84,7.36,8.73,5.51,79.3,12.71,13.75
Household Children,8.64,18.05,22.27,,8.39,7.23,0.17,71.0,8.02,9.25
Household Adults,0.14,17.91,0.37,0.09,0.13,0.08,0.01,5.2,0.09,0.20
Non-Household Members,0.37,18.09,0.95,0.13,0.23,0.04,0.06,6.0,0.26,0.48
Travel for Household Members,1.29,24.75,4.58,0.06,0.88,0.02,0.39,33.4,1.16,1.43
Travel for Non-Household Members,0.24,24.75,0.85,0.08,0.12,0.01,0.08,5.2,0.20,0.28
Caring and Helping,10.68,19.01,29.02,0.36,9.75,7.37,0.71,74.0,10.13,11.24
Eating & Drinking,7.69,18.25,20.04,4.28,5.36,4.65,1.31,96.3,7.52,7.86
Personal Health Care,0.32,17.95,0.83,0.07,0.09,0.14,0.17,3.2,0.22,0.43
Grooming,3.82,18.17,9.91,1.24,,,,80.2,3.67,3.96
Sleeping,56.96,18.58,151.19,,,,,100.0,56.33,57.60
"Private, Personal, or N/A",1.48,20.56,4.35,0.71,0.61,0.60,0.40,20.8,1.34,1.62
Personal Time,70.27,18.56,186.33,6.30,6.07,5.39,1.88,100.0,69.55,71.00
Socializing,4.32,20.35,12.57,2.82,3.76,2.08,0.11,36.8,3.95,4.70
Passive Leisure,18.25,17.40,45.36,9.14,12.67,17.01,5.08,88.5,17.58,18.92
Active Leisure,2.44,17.40,6.06,0.97,1.13,0.50,0.81,19.3,2.00,2.88
Attendance Leisure,0.82,17.40,2.03,0.53,0.72,0.03,0.03,4.5,0.67,0.97
Religious Activities,0.66,23.41,2.19,0.46,0.55,0.08,0.07,6.3,0.53,0.78
Volunteering,0.67,23.41,2.23,0.36,0.35,0.07,0.08,4.8,0.53,0.80
Travel Related to Leisure,2.41,24.75,8.53,1.18,1.51,0.03,0.75,47.7,2.18,2.64
Leisure,29.56,18.70,78.97,15.45,20.69,19.80,6.93,96.7,28.59,30.54
Working at Job,40.25,35.15,202.14,1.59,1.01,4.41,8.25,70.8,39.27,41.24
Educational Activities,0.42,23.41,1.40,0.12,0.07,0.28,0.28,1.9,0.27,0.57
Commuting to Work or School,3.58,24.75,12.66,0.08,0.23,0.03,3.12,58.8,3.36,3.80
Work and Education,44.25,34.20,216.21,1.79,1.31,4.71,11.65,72.5,43.14,45.37
Total,168.00,22.85,548.49,31.75,45.18,46.02,26.69,,,
