time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,4.70,18.31,12.31,0.12,1.42,4.60,3.25,42.7,4.48,4.93
Food Cooking & Clean-up,4.39,18.40,11.53,0.12,1.93,4.25,2.42,66.7,4.19,4.58
"Pets, Home & Vehicles",2.84,20.06,8.15,0.02,1.31,2.31,1.49,35.5,2.69,3.00
Household Management,1.23,24.72,4.36,0.02,0.60,0.96,0.60,26.1,1.14,1.33
Shopping,2.93,18.13,7.60,0.05,1.54,0.12,1.21,43.4,2.70,3.17
Obtaining Services,0.12,21.87,0.38,0.00,0.05,0.05,0.04,2.9,0.09,0.15
Travel for Household Activity,2.27,24.75,8.01,0.03,1.13,0.02,1.04,47.1,2.17,2.37
Household Production,18.49,19.81,52.34,0.36,7.98,12.31,10.07,90.9,18.07,18.91
Household Children,0.61,18.05,1.57,,0.59,0.56,0.01,2.5,0.47,0.75
Household Adults,0.21,17.91,0.54,0.00,0.18,0.10,0.03,5.3,0.15,0.27
Non-Household Members,1.11,18.09,2.87,0.01,0.93,0.44,0.09,12.2,0.99,1.23
Travel for Household Members,0.16,24.75,0.55,0.00,0.10,0.00,0.05,3.4,0.12,0.19
Travel for Non-Household Members,0.46,24.75,1.61,0.01,0.25,0.00,0.16,9.3,0.40,0.51
Caring and Helping,2.54,19.67,7.14,0.01,2.04,1.11,0.34,18.8,2.31,2.77
Eating & Drinking,7.97,18.25,20.77,0.13,5.10,4.34,1.74,96.1,7.80,8.13
Personal Health Care,0.93,17.95,2.40,0.01,0.31,0.37,0.46,9.5,0.78,1.09
Grooming,5.85,18.17,15.19,0.07,,,,86.6,5.73,5.98
Sleeping,59.13,18.58,156.95,,,,,100.0,58.75,59.51
"Private, Personal, or N/A",1.71,20.56,5.01,0.03,0.53,0.63,0.68,22.3,1.57,1.85
Personal Time,75.59,18.55,200.31,0.23,5.94,5.33,2.88,100.0,75.23,75.95
Socializing,4.89,20.35,14.20,0.12,3.77,2.12,0.43,41.4,4.67,5.11
Passive Leisure,20.27,17.40,50.39,0.34,12.82,19.01,7.17,90.2,19.35,21.19
Active Leisure,1.76,17.40,4.38,0.02,0.73,0.38,0.70,20.3,1.60,1.92
Attendance Leisure,0.81,17.40,2.01,0.01,0.64,0.04,0.06,4.3,0.69,0.93
Religious Activities,0.84,23.41,2.80,0.02,0.49,0.19,0.21,7.4,0.73,0.94
Volunteering,0.68,23.41,2.28,0.00,0.25,0.19,0.19,5.2,0.57,0.80
Travel Related to Leisure,2.75,24.75,9.73,0.03,1.74,0.02,0.87,48.8,2.50,3.00
Leisure,32.00,18.77,85.79,0.54,20.44,21.95,9.63,97.4,31.32,32.68
Working at Job,36.09,29.74,153.30,0.04,1.03,5.46,7.23,66.8,35.37,36.80
Educational Activities,0.58,23.41,1.94,0.01,0.11,0.44,0.37,2.5,0.47,0.69
Commuting to Work or School,2.71,24.75,9.58,0.00,0.26,0.03,2.34,53.3,2.50,2.92
Work and Education,39.38,29.30,164.83,0.05,1.41,5.93,9.94,68.2,38.54,40.21
Total,168.00,21.27,510.41,1.19,37.81,46.62,32.85,,,
